table_id,row_id,citing_region_country_or_economy,canada,mexico,united_states,argentina,brazil,chile,austria,belgium,czechia,denmark,finland,france,germany,greece,ireland,italy,netherlands,poland,portugal,spain,sweden,united_kingdom,norway,russia,switzerland,turkey,iran,israel,saudi_arabia,egypt,south_africa,china,india,japan,malaysia,pakistan,singapore,south_korea,taiwan,thailand,australia,new_zealand
10021,r001,Canada,8.02,0.28,1.32,0.14,0.18,0.24,0.73,1.06,0.18,0.83,0.88,0.58,0.84,0.49,0.95,0.55,1.45,0.16,0.41,0.39,0.94,1.25,0.87,0.07,1.12,0.31,0.27,0.69,0.28,0.24,0.49,0.58,0.3,0.28,0.25,0.58,1.15,0.42,0.33,0.19,1.31,1.18
10021,r002,Mexico,0.95,17.06,0.85,1.42,0.72,1.81,0.81,1.08,0.24,0.48,0.84,0.47,0.78,1.42,0.69,0.7,1.06,0.31,0.95,1.94,1.0,0.82,0.84,0.21,1.02,0.78,0.83,0.61,1.58,0.5,0.39,0.72,0.77,0.42,0.74,1.49,0.6,0.41,0.96,0.57,0.84,1.22
10021,r003,United States,1.09,0.2,2.86,0.13,0.15,0.22,0.45,0.65,0.19,0.6,0.51,0.32,0.59,0.33,0.67,0.38,0.81,0.11,0.35,0.28,0.55,0.74,0.62,0.07,0.67,0.28,0.18,0.66,0.31,0.3,0.24,0.46,0.25,0.29,0.15,0.33,0.66,0.48,0.39,0.14,0.7,0.74
10021,r004,Argentina,0.85,2.45,0.76,42.0,1.44,2.48,1.0,1.14,0.42,0.66,0.46,0.86,0.76,0.56,1.87,0.97,1.17,0.29,1.09,1.66,0.57,1.06,0.62,0.15,2.35,0.35,0.14,0.78,0.16,0.0,0.34,0.38,0.16,0.22,0.02,0.31,0.32,0.61,0.29,0.0,0.53,0.86
10021,r005,Brazil,0.92,0.75,0.79,1.11,11.5,0.69,0.74,1.04,0.34,0.63,0.87,0.71,0.9,1.28,0.82,0.92,1.2,0.26,1.99,0.91,0.93,0.93,0.78,0.12,1.18,0.51,0.41,0.55,1.17,0.99,0.61,0.69,0.57,0.44,0.4,0.77,0.61,0.59,0.47,0.43,0.96,0.67
10021,r006,Chile,0.96,1.99,0.75,1.55,0.55,23.88,0.59,1.06,0.25,0.5,1.14,0.56,0.78,0.72,0.88,0.74,1.15,0.19,1.05,2.11,0.9,1.02,1.08,0.14,0.87,0.49,0.64,0.85,0.83,0.47,0.42,0.6,0.35,0.33,0.56,0.63,0.4,0.45,0.78,0.25,1.17,1.18
10021,r007,United Kingdom,1.25,0.22,0.83,0.13,0.19,0.37,1.23,1.33,0.29,1.35,0.94,0.58,1.03,0.8,1.79,0.81,1.64,0.21,0.66,0.45,1.23,4.61,1.21,0.09,1.49,0.41,0.26,0.69,0.39,0.45,0.67,0.64,0.45,0.36,0.23,0.47,0.95,0.39,0.42,0.26,1.36,1.18
10021,r008,Austria,0.96,0.2,0.74,0.18,0.19,0.19,22.18,1.84,0.7,1.56,1.72,0.86,2.81,0.88,1.08,1.34,2.36,0.35,0.83,0.88,2.03,1.5,1.48,0.11,3.09,0.39,0.28,0.52,0.27,0.27,0.29,0.45,0.26,0.51,0.36,0.27,0.74,0.54,0.39,0.16,0.93,0.51
10021,r009,Belgium,1.23,0.26,0.79,0.15,0.19,0.58,1.32,20.13,0.49,1.96,1.81,0.96,1.53,0.98,1.26,1.2,3.36,0.24,0.74,0.76,1.3,1.46,1.35,0.16,1.91,0.28,0.26,0.66,0.43,0.14,0.38,0.53,0.14,0.31,0.2,0.26,0.86,0.64,0.43,0.23,1.04,0.59
10021,r010,Czechia,0.77,0.2,0.61,0.32,0.22,0.24,1.35,1.14,23.71,0.96,1.08,0.51,1.34,0.93,0.74,1.18,1.43,2.23,1.09,0.82,1.12,1.03,1.17,0.35,1.42,0.64,0.5,0.76,0.71,0.55,0.37,0.74,0.27,0.5,0.36,0.97,0.73,0.65,0.66,0.25,0.79,0.86
10021,r011,Denmark,0.86,0.21,0.85,0.21,0.24,0.23,2.06,1.96,0.32,26.51,1.77,0.76,1.44,0.47,1.53,0.93,2.68,0.18,0.39,0.47,2.76,1.71,2.71,0.06,1.78,0.24,0.06,0.68,0.24,0.1,0.37,0.47,0.28,0.4,0.12,0.51,1.14,0.42,0.33,0.12,1.06,0.68
10021,r012,Finland,0.96,0.27,0.7,0.07,0.24,0.35,1.23,1.96,0.34,1.77,26.59,0.48,1.3,0.87,1.35,0.85,2.43,0.29,1.21,0.61,2.73,1.4,2.3,0.19,1.46,0.41,0.24,0.61,0.59,0.25,0.39,0.47,0.3,0.42,0.27,0.22,0.78,0.51,0.6,0.27,1.2,1.17
10021,r013,France,0.98,0.25,0.8,0.2,0.41,0.51,1.49,1.72,0.39,0.94,1.16,9.51,1.42,1.36,1.2,1.5,1.65,0.26,0.97,0.62,1.13,1.29,1.12,0.19,2.91,0.35,0.22,0.58,0.53,0.39,0.35,0.68,0.5,0.54,0.22,0.77,0.56,0.52,0.45,0.29,0.81,0.86
10021,r014,Germany,0.85,0.26,0.84,0.2,0.21,0.33,2.66,1.62,0.5,1.45,1.19,0.79,7.0,0.88,1.21,1.0,2.14,0.38,0.64,0.54,1.4,1.19,1.4,0.16,3.15,0.34,0.25,0.78,0.26,0.52,0.31,0.48,0.25,0.42,0.17,0.44,0.78,0.4,0.55,0.22,0.88,0.66
10021,r015,Greece,0.84,0.31,0.71,0.01,0.42,0.33,1.28,1.35,0.69,0.62,1.71,0.62,1.06,34.62,1.05,1.62,1.47,0.65,1.77,1.02,1.32,1.08,1.19,0.16,1.52,1.07,0.64,0.51,1.22,1.62,0.4,0.87,0.65,0.66,0.57,1.02,0.58,0.6,2.01,0.32,1.03,0.83
10021,r016,Ireland,1.03,0.1,0.81,0.13,0.09,0.2,1.12,1.44,0.42,0.93,1.56,0.55,0.95,1.08,28.36,0.71,1.67,0.3,1.12,0.64,1.53,2.49,1.19,0.12,1.31,0.4,0.15,0.73,0.4,0.79,0.4,0.44,0.34,0.32,0.33,0.37,0.65,0.27,0.46,0.14,1.66,1.85
10021,r017,Italy,0.9,0.26,0.69,0.16,0.36,0.33,1.74,1.66,0.54,0.97,1.05,1.04,1.28,1.48,1.27,10.28,1.76,0.36,1.33,0.98,1.02,1.26,1.06,0.15,1.82,0.44,0.27,0.66,0.42,0.62,0.27,0.58,0.35,0.5,0.21,0.64,0.77,0.5,0.43,0.18,0.75,0.69
