table_id,row_id,name_full_path,name_level_1,name_level_2,name_level_3,name_level_4,name_level_5,name_hierarchy_depth,field_funded_publications
10058,r001,<b>U.S. Department of Health and Human Services</b>,<b>U.S. Department of Health and Human Services</b>,,,,,1,1835130
10058,r002,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,,,,2,1795055
10058,r003,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Cancer Institute,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Cancer Institute,,,3,341291
10058,r004,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of General Medical Sciences,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of General Medical Sciences,,,3,261042
10058,r005,"<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Heart, Lung, and Blood Institute",<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,"National Heart, Lung, and Blood Institute",,,3,222137
10058,r006,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Allergy and Infectious Diseases,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Allergy and Infectious Diseases,,,3,187098
10058,r007,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Diabetes and Digestive and Kidney Diseases,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases,,,3,172782
10058,r008,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Neurological Disorders and Stroke,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Neurological Disorders and Stroke,,,3,139466
10058,r009,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Mental Health,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Mental Health,,,3,137386
10058,r010,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute on Aging,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute on Aging,,,3,121282
10058,r011,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Center for Research Resources,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Center for Research Resources,,,3,119188
10058,r012,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Center for Advancing Translational Sciences,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Center for Advancing Translational Sciences,,,3,87045
10058,r013,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute on Drug Abuse,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute on Drug Abuse,,,3,86204
10058,r014,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Environmental Health Sciences,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Environmental Health Sciences,,,3,63823
10058,r015,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,,3,58009
10058,r016,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Eye Institute,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Eye Institute,,,3,54461
10058,r017,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Biomedical Imaging and Bioengineering,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Biomedical Imaging and Bioengineering,,,3,47131
10058,r018,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute on Alcohol Abuse and Alcoholism,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,,,3,40072
10058,r019,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Child Health and Human Development,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Child Health and Human Development,,,3,37027
10058,r020,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute on Deafness and Other Communication Disorders,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,,,3,34554
10058,r021,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute of Dental and Craniofacial Research,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute of Dental and Craniofacial Research,,,3,33118
10058,r022,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Human Genome Research Institute,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Human Genome Research Institute,,,3,25762
10058,r023,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> NIH Office of the Director,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,NIH Office of the Director,,,3,25258
10058,r024,<b>U.S. Department of Health and Human Services</b> -> National Institutes of Health -> National Institute on Minority Health and Health Disparities,<b>U.S. Department of Health and Human Services</b>,National Institutes of Health,National Institute on Minority Health and Health Disparities,,,3,18365
10058,r025,<b>U.S. Department of Health and Human Services</b> -> Centers for Disease Control and Prevention,<b>U.S. Department of Health and Human Services</b>,Centers for Disease Control and Prevention,,,,2,29731
10058,r026,<b>U.S. Department of Health and Human Services</b> -> U.S. Public Health Service,<b>U.S. Department of Health and Human Services</b>,U.S. Public Health Service,,,,2,25643
10058,r027,<b>National Science Foundation</b>,<b>National Science Foundation</b>,,,,,1,842210
10058,r028,<b>National Science Foundation</b> -> Directorate for Mathematical and Physical Sciences,<b>National Science Foundation</b>,Directorate for Mathematical and Physical Sciences,,,,2,81866
10058,r029,<b>National Science Foundation</b> -> Directorate for Engineering,<b>National Science Foundation</b>,Directorate for Engineering,,,,2,20738
10058,r030,<b>National Science Foundation</b> -> Directorate for Computer and Information Science and Engineering,<b>National Science Foundation</b>,Directorate for Computer and Information Science and Engineering,,,,2,20204
10058,r031,<b>National Science Foundation</b> -> Directorate for Biological Sciences,<b>National Science Foundation</b>,Directorate for Biological Sciences,,,,2,17854
10058,r032,<b>National Science Foundation</b> -> Directorate for Geosciences,<b>National Science Foundation</b>,Directorate for Geosciences,,,,2,12595
10058,r033,<b>U.S. Department of Energy</b>,<b>U.S. Department of Energy</b>,,,,,1,249339
10058,r034,<b>U.S. Department of Energy</b> -> Office of Science,<b>U.S. Department of Energy</b>,Office of Science,,,,2,113739
10058,r035,<b>U.S. Department of Energy</b> -> Office of Science -> Basic Energy Sciences,<b>U.S. Department of Energy</b>,Office of Science,Basic Energy Sciences,,,3,44246
10058,r036,<b>U.S. Department of Energy</b> -> Office of Science -> Argonne National Laboratory,<b>U.S. Department of Energy</b>,Office of Science,Argonne National Laboratory,,,3,12848
10058,r037,<b>U.S. Department of Energy</b> -> Office of Science -> Ames Laboratory,<b>U.S. Department of Energy</b>,Office of Science,Ames Laboratory,,,3,12410
10058,r038,<b>U.S. Department of Energy</b> -> Office of Science -> Ames Laboratory -> Division of Materials Sciences and Engineering,<b>U.S. Department of Energy</b>,Office of Science,Ames Laboratory,Division of Materials Sciences and Engineering,,4,11397
10058,r039,<b>U.S. Department of Energy</b> -> Office of Science -> Oak Ridge National Laboratory,<b>U.S. Department of Energy</b>,Office of Science,Oak Ridge National Laboratory,,,3,10268
10058,r040,<b>U.S. Department of Energy</b> -> Office of Science -> Biological and Environmental Research,<b>U.S. Department of Energy</b>,Office of Science,Biological and Environmental Research,,,3,9919
