table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10116,r001,All institutions,All institutions,,1,-,"['37,477,582', '']","['40,768,251', '']","['40,142,223', '']","['39,445,931', '']","['37,961,118', '']","['37,846,802', '']","['38,787,997', '']","['40,248,058', '']","['41,860,369', '']","['44,460,327', '']","['46,106,539', '']","['49,116,033', '']","['53,971,468', '']"
10116,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,737,261', '']","['1,884,025', '']","['1,857,580', '']","['1,898,927', '']","['1,950,016', '']","['1,992,837', '']","['2,104,653', '']","['2,178,605', '']","['2,251,097', '']","['2,482,130', '']","['2,682,410', '']","['2,774,643', '']","['2,971,816', '']"
10116,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['829,885', '']","['948,976', '']","['909,652', '']","['928,193', '']","['909,034', '']","['906,768', '']","['946,787', '']","['952,738', '']","['989,221', '']","['992,643', '']","['1,024,195', '']","['1,046,377', '']","['1,083,090', '']"
10116,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,"['580,279', '']","['636,879', '']","['656,891', '']","['632,593', '']","['599,095', '']","['603,343', '']","['604,298', '']","['641,469', '']","['635,888', '']","['698,925', '']","['727,289', '']","['801,117', '']","['970,696', '']"
10116,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['747,778', '']","['820,125', '']","['791,729', '']","['814,167', '']","['742,160', '']","['735,447', '']","['786,749', '']","['829,695', '']","['849,123', '']","['886,851', '']","['884,880', '']","['891,125', '']","['970,636', '']"
10116,r006,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,5,"['372,122', '']","['427,867', '']","['484,212', '']","['522,134', '']","['512,015', '']","['551,084', '']","['568,430', '']","['584,891', '']","['654,877', '']","['716,207', '']","['790,518', '']","['852,319', '']","['940,488', '']"
10116,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,"['572,213', '']","['645,233', '']","['645,573', '']","['635,987', '']","['608,588', '']","['592,545', '']","['600,457', '']","['647,840', '']","['686,338', '']","['736,536', '']","['762,289', '']","['831,648', '']","['904,346', '']"
10116,r008,All institutions -> Duke U.,All institutions,Duke U.,2,7,"['514,084', '']","['585,262', '']","['587,268', '']","['581,695', '']","['557,969', '']","['559,217', '']","['575,521', '']","['623,573', '']","['645,259', '']","['709,705', '']","['707,746', '']","['776,632', '']","['901,807', '']"
10116,r009,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,8,"['642,180', '']","['707,051', '']","['669,970', '']","['636,589', '']","['620,396', '']","['611,620', '']","['655,791', '']","['669,911', '']","['688,313', '']","['717,359', '']","['721,308', '']","['792,089', '']","['873,318', '']"
10116,r010,All institutions -> Stanford U.,All institutions,Stanford U.,2,9,"['593,016', '']","['656,114', '']","['636,348', '']","['652,472', '']","['637,730', '']","['675,930', '']","['694,693', '']","['710,698', '']","['711,443', '']","['738,957', '']","['751,414', '']","['811,183', '']","['860,125', '']"
10116,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,"['538,521', '']","['563,560', '']","['539,054', '']","['501,368', '']","['465,170', '']","['489,404', '']","['487,869', '']","['487,846', '']","['576,076', '']","['600,714', '']","['655,030', '']","['721,043', '']","['848,138', '']"
