table_id,row_id,characteristics_full_path,characteristics_level_1,characteristics_level_2,characteristics_level_3,characteristics_level_4,characteristics_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
1017,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,54664,35791,16323,2540,996,109,,3502,10752,2409,532,24880,3438,1016,,471,279,864,229
1017,r002,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,,,2,,,,,,,,,,,,,,,,,,,
1017,r003,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Teaching assistantships,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Teaching assistantships,,3,20.6,19.7,22.6,16.4,22.3,14.1,,17.8,22.5,12.3,24.3,20.9,22.4,20.7,27.5,21.9,,19.3,24.2
1017,r004,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Research or other assistantships or traineeships<sup>c</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Research or other assistantships or traineeships<sup>c</sup>,,3,33.3,26.3,47.9,21.0,24.8,9.8,0.0,34.5,54.2,13.6,38.1,27.1,38.0,24.3,33.0,23.0,29.7,21.1,37.9
1017,r005,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Fellowships or grants<sup>d</sup>,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Fellowships or grants<sup>d</sup>,,3,25.0,27.6,19.7,35.6,31.5,40.2,,32.0,15.9,27.4,24.5,26.0,26.4,33.1,,29.9,28.8,29.8,25.8
1017,r006,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Own resources,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Own resources,,3,16.0,21.6,4.0,23.2,2.8,30.4,0.0,12.6,3.9,41.5,10.5,20.9,3.7,19.1,,20.9,,22.8,6.1
1017,r007,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Employer,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Employer,,3,3.2,4.5,0.5,3.3,1.2,5.4,0.0,2.7,0.4,5.1,1.0,4.8,0.4,2.7,,4.3,,5.3,0.0
1017,r008,All doctorate recipients (number) -> Primary source of support (%)<sup>b</sup> -> Other source,All doctorate recipients (number),Primary source of support (%)<sup>b</sup>,Other source,,3,1.9,0.2,5.4,0.5,17.4,0.0,0.0,0.3,3.1,0.2,1.6,0.2,9.2,0.2,8.8,0.0,19.5,1.8,6.1
1017,r009,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup>,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,,,2,,,,,,,,,,,,,,,,,,,
1017,r010,All doctorate recipients (number) -> Postgraduation status (number)<sup>e</sup> -> Definite postgraduation study,All doctorate recipients (number),Postgraduation status (number)<sup>e</sup>,Definite postgraduation study,,3,12604,8144,4420,623,277,20,0,801,2968,401,88,5933,1006,271,35,73,31,22,15
