table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021
10277,r001,All fields,All fields,,,1,21440653
10277,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,1059895
10277,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,1116727
10277,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,202417
10277,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,209250
10277,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,433442
10277,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,271618
10277,r008,All fields -> Life sciences,All fields,Life sciences,,2,10887993
10277,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,90479
10277,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6258458
10277,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,3442503
10277,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,371
10277,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1096181
10277,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,378451
10277,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,2221178
10277,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,80239
10277,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,500765
10277,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,327715
10277,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,807716
10277,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,504744
10277,r021,All fields -> Psychology,All fields,Psychology,,2,1295247
10277,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,13456
10277,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,9981
10277,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1271810
10277,r025,All fields -> Social sciences,All fields,Social sciences,,2,406248
10277,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,19706
10277,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,37620
10277,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,1235
10277,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,27187
10277,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,320500
10277,r031,All fields -> Engineering,All fields,Engineering,,2,1845620
10277,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,59084
10277,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,24551
10277,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,100323
10277,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,57185
10277,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,145790
10277,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,39603
10277,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,93323
10277,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,79694
10277,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,1246065
10277,r041,All fields -> Other fields,All fields,Other fields,,2,2229294
10277,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,21271
10277,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,0
10277,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,319406
10277,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,5453
10277,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,140
10277,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10277,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10277,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,1883024
