table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10287,r001,All locations,All locations,,,1,4282202,882770,2019120,858176,360338,155441,6358
10287,r002,All locations -> Alabama,All locations,Alabama,,2,7174,2142,0,700,4331,0,0
10287,r003,All locations -> Alaska,All locations,Alaska,,2,8646,7963,0,0.05,679,0,0
10287,r004,All locations -> Arizona,All locations,Arizona,,2,11455,718,0,0,10737,0,0
10287,r005,All locations -> Arkansas,All locations,Arkansas,,2,2714,0,0,0,2714,0,0
10287,r006,All locations -> California,All locations,California,,2,656330,31506,537354,17417,54586,15467,0
10287,r007,All locations -> Colorado,All locations,Colorado,,2,137025,82377,41696,0.05,12939,0,0
10287,r008,All locations -> Connecticut,All locations,Connecticut,,2,20080,0,0,0.05,20068,0,0
10287,r009,All locations -> Delaware,All locations,Delaware,,2,1012,0,0,0,1012,0,0
10287,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,134294,57552,0,9059,1455,66228,0
10287,r011,All locations -> Florida,All locations,Florida,,2,73563,59517,0,2491,11555,0,0
10287,r012,All locations -> Georgia,All locations,Georgia,,2,22429,8099,0,4048,10282,0,0
10287,r013,All locations -> Hawaii,All locations,Hawaii,,2,5963,3859,0,0.05,1965,133,0
10287,r014,All locations -> Idaho,All locations,Idaho,,2,321918,0,1233,311587,9097,0,0
10287,r015,All locations -> Illinois,All locations,Illinois,,2,532836,11312,503830,705,16831,158,0
10287,r016,All locations -> Indiana,All locations,Indiana,,2,2396,0,0,0,2396,0,0
10287,r017,All locations -> Iowa,All locations,Iowa,,2,4544,0,4250,0,294,0,0
10287,r018,All locations -> Kansas,All locations,Kansas,,2,12688,8569,0,0,4118,0,0
10287,r019,All locations -> Kentucky,All locations,Kentucky,,2,5981,0,0,0,5981,0,0
10287,r020,All locations -> Louisiana,All locations,Louisiana,,2,29836,15593,0,4779,9464,0,0
10287,r021,All locations -> Maine,All locations,Maine,,2,0,0,0,0,0,0,0
10287,r022,All locations -> Maryland,All locations,Maryland,,2,425711,409567,0,15146,997,0,0
10287,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,22053,0.05,0,0.05,16849,5154,0
10287,r024,All locations -> Michigan,All locations,Michigan,,2,14816,0,0,0.05,14775,0,0
10287,r025,All locations -> Minnesota,All locations,Minnesota,,2,1713,0,0,254,1459,0,0
10287,r026,All locations -> Mississippi,All locations,Mississippi,,2,11844,11627,0,0,217,0,0
10287,r027,All locations -> Missouri,All locations,Missouri,,2,11205,0,0,6338,4867,0,0
10287,r028,All locations -> Montana,All locations,Montana,,2,305,0,0,0.05,268,0,0
10287,r029,All locations -> Nebraska,All locations,Nebraska,,2,2255,360,0,0,1895,0,0
10287,r030,All locations -> Nevada,All locations,Nevada,,2,195150,11660,0,183490,0,0,0
10287,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,7437,3859,0,251,3327,0,0
10287,r032,All locations -> New Jersey,All locations,New Jersey,,2,204964,0,14856,186119,3989,0,0
10287,r033,All locations -> New Mexico,All locations,New Mexico,,2,202430,15544,141683,802,44402,0,0
10287,r034,All locations -> New York,All locations,New York,,2,157399,25026,119044,9635,3694,0,0
10287,r035,All locations -> North Carolina,All locations,North Carolina,,2,19111,1329,0,2352,15430,0,0
10287,r036,All locations -> North Dakota,All locations,North Dakota,,2,3092,0,0,467,2626,0,0
10287,r037,All locations -> Ohio,All locations,Ohio,,2,66737,0,0,1721,0.05,65000,0
10287,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,13124,156,0,659,12309,0,0
10287,r039,All locations -> Oregon,All locations,Oregon,,2,27190,20117,0,222,6851,0,0
10287,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,24616,4661,0,16614,3341,0,0
10287,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,16858,16353,0,215,290,0,0
10287,r042,All locations -> South Carolina,All locations,South Carolina,,2,14978,12849,2129,0,0,0,0
10287,r043,All locations -> South Dakota,All locations,South Dakota,,2,6883,0,0,0,525,0,6358
10287,r044,All locations -> Tennessee,All locations,Tennessee,,2,672544,55,608849,54587,9052,0,0
10287,r045,All locations -> Texas,All locations,Texas,,2,65834,43150,0,96,20592,1997,0
10287,r046,All locations -> Utah,All locations,Utah,,2,802,0,0,0,802,0,0
10287,r047,All locations -> Vermont,All locations,Vermont,,2,730,0,0,0,730,0,0
10287,r048,All locations -> Virginia,All locations,Virginia,,2,56910,6812,14949,28232,6901,0.05,0
10287,r049,All locations -> Washington,All locations,Washington,,2,36058,4108,29247,0,2703,0,0
10287,r050,All locations -> West Virginia,All locations,West Virginia,,2,1557,0,0,0,268,1289,0
10287,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,2085,1425,0,0,660,0,0
10287,r052,All locations -> Wyoming,All locations,Wyoming,,2,0,0,0,0,0,0,0
10287,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,4927,4888,0,0.05,0,0,0
10287,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,325,286,0,0.05,0,0,0
10287,r055,All locations -> Outlying areas -> Other areas<sup>c</sup>,All locations,Outlying areas,Other areas<sup>c</sup>,3,4602,4602,0,0,0,0,0
10287,r056,All locations -> Offices abroad<sup>d</sup>,All locations,Offices abroad<sup>d</sup>,,2,0,0,0,0,0,0,0
10287,r057,All locations -> Undistributed<sup>e</sup>,All locations,Undistributed<sup>e</sup>,,2,0,0,0,0,0,0,0
