table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022_preliminary_
10305,r001,All agencies,All agencies,,,,,1,59533,63191,63825,67105,69871,74588,81118,85305,86244,88464
10305,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10305,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1868,2060,2128,2156,2216,2257,2407,2388,2661,3017
10305,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,2,3,3,3,4,4,4,3,7,7
10305,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,913,1010,1018,1030,1053,1081,1163,1281,1359,1439
10305,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,18,19,20,20,19,18,19,19,21,23
10305,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,71,78,85,85,86,86,86,82,85,90
10305,r008,All agencies -> Departments -> Department of Agriculture -> Foreign Agricultural Service,All agencies,Departments,Department of Agriculture,Foreign Agricultural Service,,4,1,0.05,1,0.05,0.05,0,0,0,0,0
10305,r009,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,301,277,260,281,271,254,255,257,233,290
10305,r010,"All agencies -> Departments -> Department of Agriculture -> Grain Inspection, Packers, and Stockyards Administration",All agencies,Departments,Department of Agriculture,"Grain Inspection, Packers, and Stockyards Administration",,4,5,6,6,6,0.05,na,na,na,na,na
10305,r011,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,7,5,5,5,5,5,5,5,5,6
10305,r012,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,546,657,726,721,774,805,871,738,937,1148
10305,r013,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,NA,NA,NA,NA,NA,NA,NA,NA,12,13
10305,r014,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,4,6,4,4,3,4,4,3,0,0
10305,r015,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1023,1277,1154,1153,1302,1229,1282,1361,1506,1760
10305,r016,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,115,227,41,90,56,56,29,38,56,110
10305,r017,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,526,599,631,625,691,676,703,717,784,817
10305,r018,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,375,442,470,428,547,488,542,598,659,826
10305,r019,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7,10,12,11,8,9,8,8,7,7
10305,r020,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,5955,6704,6691,7152,7178,7653,8268,8915,9735,10377
10305,r021,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1268,1536,1485,1536,1509,1680,1743,2006,1845,1997
10305,r022,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,na,NA,NA,NA,NA,NA,NA,164,133,174
10305,r023,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,1502,1574,1609,1762,1713,1905,2107,2249,2387,2422
10305,r024,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,1257,1418,1390,1522,1684,1689,1956,1907,1914,2089
10305,r025,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,1296,1483,1465,1560,1540,1549,1591,1698,1654,2082
10305,r026,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,na,na,na,na,na,na,na,0,98,76
10305,r027,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,633,693,742,771,732,829,871,892,1704,1537
10305,r028,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,202,208,160,163,174,190,189,189,262,293
10305,r029,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,7333,8092,8642,9465,9584,10508,11370,10525,10777,10470
10305,r030,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,92,150,139,172,151,80,202,219,157,225
10305,r031,All agencies -> Departments -> Department of Energy -> Bonneville Power Administration,All agencies,Departments,Department of Energy,Bonneville Power Administration,,4,13,7,7,7,9,NA,NA,NA,NA,NA
10305,r032,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,53,65,63,69,80,94,87,78,62,68
10305,r033,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,530,540,473,576,853,1285,1270,1248,1395,678
10305,r034,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,3,16,8,10,10,13,9,7,10,12
10305,r035,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,154,162,199,231,230,662,659,679,691,736
10305,r036,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2404,2770,2705,3210,3078,2645,3670,2394,2608,2527
10305,r037,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2148,2519,2527,3010,2881,2422,3434,2155,2328,2258
10305,r038,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,256,251,178,199,197,223,236,239,280,269
10305,r039,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,236,296,639,665,688,763,378,392,346,331
10305,r040,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,na,na,na,na,na,0,40,37,2,99
10305,r041,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,3848,4085,4409,4524,4485,4968,5054,5470,5506,5795
10305,r042,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,29315,30587,30197,32129,33677,36802,38354,44234,42718,42670
10305,r043,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,2,3,2,3,2,3,2,2,5,4
10305,r044,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,0,0,72,66,66,66,66,71,107,111
10305,r045,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,336,335,335,306,300,306,308,308,308,314
10305,r046,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,1,1,2,2,3,3,7,10,11,11
10305,r047,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,334,379,460,494,436,386,366,441,682,649
10305,r048,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,20,34,24,30,29,231,133,224,421,421
10305,r049,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,361,389,376,486,375,478,493,464,589,669
10305,r050,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,27,28,27,26,30,36,33,35,33,38
10305,r051,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,28215,29400,28880,30698,32419,35276,36929,42664,40546,40436
10305,r052,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,19,19,18,18,17,17,17,16,17,18
10305,r053,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,19,19,18,18,17,17,17,16,17,18
10305,r054,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,141,256,217,208,276,369,280,225,238,316
10305,r055,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,7,8,6,7,6,6,6,1,3,2
10305,r056,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,NA,79,37,38,34,14,31,24,21,31
10305,r057,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,na,na,na,na,na,7,13,7,9,4
10305,r058,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,134,168,173,163,235,342,229,193,204,277
10305,r059,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,NA,NA,NA,NA,NA,0,0,0,1,2
10305,r060,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,,,3,44,36,38,43,41,40,61,NA,NA,NA
10305,r061,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,603,649,680,726,722,650,690,698,754,991
10305,r062,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,NA,NA,NA,NA,NA,5,5,0.05,5,4
10305,r063,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,NA,NA,15,17,17,14,14,14,9,11
10305,r064,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,40,48,44,60,63,66,65,59,63,68
10305,r065,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,8,9,7,19,23,17,17,19,18,22
10305,r066,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,15,33,17,24,8,5,8,5,20,16
10305,r067,All agencies -> Departments -> Department of the Interior -> Fish and Wildlife Service,All agencies,Departments,Department of the Interior,Fish and Wildlife Service,,4,NA,NA,30,32,33,33,33,33,33,33
10305,r068,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,535,546,560,566,569,501,539,558,579,812
10305,r069,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,6,14,8,8,9,10,10,10,27,27
10305,r070,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,NA,NA,NA,NA,NA,0,0.05,1,0,0
10305,r071,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,78,142,128,157,87,91,105,85,79,82
10305,r072,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,2,2,3,3,2,1,1,2,0.05,0.05
10305,r073,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,7,0,0,0,0,3,1,5,4,5
10305,r074,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,69,140,126,154,85,87,103,78,75,77
10305,r075,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,14,11,10,6,5,5,4,5,3,4
10305,r076,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,10,7,7,5,3,3,3,3,1,2
10305,r077,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,4,4,3,1,2,2,2,2,2,2
10305,r078,All agencies -> Departments -> Department of Labor -> Pension Benefit Guaranty Corp.,All agencies,Departments,Department of Labor,Pension Benefit Guaranty Corp.,,4,0.05,0.05,0.05,0.05,0,0,NA,NA,NA,NA
10305,r079,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,1,NA,2,2,2,62,62,30,44,47
10305,r080,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,655,653,663,625,696,751,746,900,823,812
10305,r081,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,197,197,207,207,212,195,193,247,267,272
10305,r082,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,327,339,273,247,305,420,415,472,373,361
10305,r083,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,7,7,8,10,11,9,8,9,12,15
10305,r084,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,39,30,33,31,34,33,32,35,35,42
10305,r085,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,14,8,72,35,55,10,3,40,42,33
10305,r086,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,65,65,63,87,69,76,76,69,66,50
10305,r087,All agencies -> Departments -> Department of Transportation -> Office of the Secretary of Transportation,All agencies,Departments,Department of Transportation,Office of the Secretary of Transportation,,4,0,4,2,4,3,3,8,12,12,15
10305,r088,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,2,2,5,5,5,6,11,17,16,24
10305,r089,All agencies -> Departments -> Department of Transportation -> Research and Innovative Technology Administration,All agencies,Departments,Department of Transportation,Research and Innovative Technology Administration,,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
10305,r090,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,73,73,73,82,1,38,46,50,47,50
10305,r091,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,9,9,9,16,0,38,46,49,47,50
10305,r092,All agencies -> Departments -> Department of the Treasury -> Internal Revenue Service,All agencies,Departments,Department of the Treasury,Internal Revenue Service,,4,65,64,64,65,0,0,0,0,NA,NA
10305,r093,All agencies -> Departments -> Department of the Treasury -> Mint,All agencies,Departments,Department of the Treasury,Mint,,4,0.05,1,0.05,2,1,0,0.05,0.05,0.05,0.05
10305,r094,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,604,553,643,677,669,1320,1478,1536,1561,1673
10305,r095,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,,
10305,r096,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,,3,NA,NA,NA,7,8,7,6,5,4,1
10305,r097,All agencies -> Other agencies -> Agency for Global Media,All agencies,Other agencies,Agency for Global Media,,,3,NA,NA,NA,NA,NA,NA,6,5,5,8
10305,r098,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,125,60,212,148,192,120,172,135,51,51
10305,r099,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,0.05,1,0.05,1,0.05,1,1,1,1,0.05
10305,r100,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,1,2,2,2,2,1,1,0.05,0.05,0.05
10305,r101,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,446,453,440,430,417,413,405,412,403,406
10305,r102,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,5,7,5,5,6,5,2,2,0,0
10305,r103,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,3,3,2,3,6,6,6,6,8,9
10305,r104,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,1,1,1,1,1,1,1,1,1,0.05
10305,r105,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,5422,5336,5539,5613,5745,5293,8111,6394,7127,7598
10305,r106,All agencies -> Other agencies -> National Archives and Records Administration,All agencies,Other agencies,National Archives and Records Administration,,,3,1,1,1,1,1,1,1,0,NA,NA
10305,r107,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,4956,5403,5670,5589,5518,5849,5996,6351,6705,7036
10305,r108,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,76,85,92,81,67,78,75,68,77,78
10305,r109,All agencies -> Other agencies -> Patient-Centered Outcomes Research Trust Fund,All agencies,Other agencies,Patient-Centered Outcomes Research Trust Fund,,,3,334,283,152,115,884,492,578,470,460,481
10305,r110,All agencies -> Other agencies -> Postal Service,All agencies,Other agencies,Postal Service,,,3,NA,NA,28,29,73,53,27,18,15,16
10305,r111,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,,3,na,na,na,na,na,na,na,9,0,7
