table_id,row_id,research_degree_full_path,research_degree_level_1,research_degree_level_2,research_degree_hierarchy_depth,field_degree_title,field_2013_number,field_2013_percent,field_2014_number,field_2014_percent,field_2015_number,field_2015_percent,field_2016_number,field_2016_percent,field_2017_number,field_2017_percent
1032,r001,All research doctorates ,All research doctorates ,,1,,52704,100.0,53991,100.0,54901,100.0,54862,100.0,54664,100.0
1032,r002,All research doctorates  -> PhD ,All research doctorates ,PhD ,2,Doctor of Philosophy ,51497,97.7,52946,98.1,53816,98.0,53832,98.1,53559,98.0
1032,r003,All research doctorates  -> EdD ,All research doctorates ,EdD ,2,Doctor of Education ,689,1.3,587,1.1,616,1.1,615,1.1,589,1.1
1032,r004,"All research doctorates  -> DSc, ScD",All research doctorates ,"DSc, ScD",2,Doctor of Science ,127,0.2,106,0.2,105,0.2,103,0.2,122,0.2
1032,r005,"All research doctorates  -> DEng, DESc, DES",All research doctorates ,"DEng, DESc, DES",2,Doctor of Engineering or Engineering Science,19,0.05,32,0.1,36,0.1,33,0.1,40,0.1
1032,r006,All research doctorates  -> DA ,All research doctorates ,DA ,2,Doctor of Arts ,7,0.05,6,0.05,4,0.05,7,0.05,4,0.05
1032,r007,All research doctorates  -> DBA ,All research doctorates ,DBA ,2,Doctor of Business Administration ,39,0.1,31,0.1,35,0.1,32,0.1,32,0.1
1032,r008,All research doctorates  -> DMA ,All research doctorates ,DMA ,2,Doctor of Musical Arts ,204,0.4,168,0.3,178,0.3,141,0.3,139,0.3
1032,r009,All research doctorates  -> DDes ,All research doctorates ,DDes ,2,Doctor of Design ,9,0.05,7,0.05,1,0.05,5,0.05,7,0.05
1032,r010,All research doctorates  -> DPH ,All research doctorates ,DPH ,2,Doctor of Public Health ,20,0.05,21,0.05,27,0.05,20,0.05,53,0.1
1032,r011,All research doctorates  -> DHL ,All research doctorates ,DHL ,2,Doctor of Hebrew Letters ,0,0.0,3,0.05,0,0.0,1,0.05,0,0.0
1032,r012,All research doctorates  -> DME ,All research doctorates ,DME ,2,Doctor of Music Education ,1,0.05,0,0.0,2,0.05,0,0.0,3,0.05
1032,r013,All research doctorates  -> DML ,All research doctorates ,DML ,2,Doctor of Modern Languages ,3,0.05,7,0.05,3,0.05,5,0.05,6,0.05
1032,r014,All research doctorates  -> DNSc ,All research doctorates ,DNSc ,2,Doctor of Nursing Science ,1,0.05,5,0.05,2,0.05,2,0.05,10,0.05
1032,r015,All research doctorates  -> ThD ,All research doctorates ,ThD ,2,Doctor of Theology ,14,0.05,8,0.05,16,0.05,14,0.05,22,0.05
1032,r016,All research doctorates  -> DFA ,All research doctorates ,DFA ,2,Doctor of Fine Arts ,4,0.05,1,0.05,0,0.0,2,0.05,4,0.05
1032,r017,"All research doctorates  -> JSD, SJD",All research doctorates ,"JSD, SJD",2,Doctor of Juridical Science ,63,0.1,61,0.1,54,0.1,45,0.1,67,0.1
1032,r018,All research doctorates  -> STD ,All research doctorates ,STD ,2,Doctor of Sacred Theology ,6,0.05,1,0.05,5,0.05,2,0.05,1,0.05
1032,r019,All research doctorates  -> JCD ,All research doctorates ,JCD ,2,Doctor of Canon Law ,0,0.0,1,0.05,1,0.05,2,0.05,6,0.05
1032,r020,All research doctorates  -> All other research doctorates<sup>a</sup>,All research doctorates ,All other research doctorates<sup>a</sup>,2,,1,0.05,0,0.0,0,0.0,1,0.05,0,0.0
