table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10326,r001,All locations,All locations,,,1,4290,4240,3979,3749,2093,2111,1893,3591,6563,4100,2089
10326,r002,All locations -> Alabama,All locations,Alabama,,2,176,92,37,27,6,1,3,4,98,93,3
10326,r003,All locations -> Alaska,All locations,Alaska,,2,281,134,127,16,5,8,4,174,58,6,7
10326,r004,All locations -> Arizona,All locations,Arizona,,2,7,38,28,7,4,63,6,21,195,30,3
10326,r005,All locations -> Arkansas,All locations,Arkansas,,2,13,6,8,1,2,9,6,9,28,6,6
10326,r006,All locations -> California,All locations,California,,2,524,519,988,972,428,405,291,475,1088,997,118
10326,r007,All locations -> Colorado,All locations,Colorado,,2,118,97,83,89,98,184,116,279,300,141,108
10326,r008,All locations -> Connecticut,All locations,Connecticut,,2,52,49,47,88,4,2,6,3,123,94,2
10326,r009,All locations -> Delaware,All locations,Delaware,,2,1,1,1,0.05,0.05,0.05,0.05,1,13,0.05,1
10326,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,53,19,118,33,106,73,77,180,365,237,135
10326,r011,All locations -> Florida,All locations,Florida,,2,196,173,121,107,2,11,13,57,141,90,48
10326,r012,All locations -> Georgia,All locations,Georgia,,2,18,7,16,99,129,132,36,54,58,45,51
10326,r013,All locations -> Hawaii,All locations,Hawaii,,2,6,2,7,44,6,8,3,25,38,23,15
10326,r014,All locations -> Idaho,All locations,Idaho,,2,13,7,23,23,7,9,6,17,25,31,41
10326,r015,All locations -> Illinois,All locations,Illinois,,2,101,122,123,105,85,89,62,234,281,115,245
10326,r016,All locations -> Indiana,All locations,Indiana,,2,12,12,8,4,3,4,4,7,35,7,2
10326,r017,All locations -> Iowa,All locations,Iowa,,2,16,30,107,32,62,64,11,11,28,7,8
10326,r018,All locations -> Kansas,All locations,Kansas,,2,6,2,1,10,0.05,2,0.05,3,13,4,6
10326,r019,All locations -> Kentucky,All locations,Kentucky,,2,1,3,7,25,7,1,6,3,22,5,8
10326,r020,All locations -> Louisiana,All locations,Louisiana,,2,36,57,17,15,37,6,3,27,28,15,1
10326,r021,All locations -> Maine,All locations,Maine,,2,8,1,5,4,4,2,1,6,1,1,0.05
10326,r022,All locations -> Maryland,All locations,Maryland,,2,210,106,473,515,251,157,262,239,1137,405,235
10326,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,24,233,22,90,49,33,14,49,103,31,28
10326,r024,All locations -> Michigan,All locations,Michigan,,2,5,17,8,3,4,3,1,11,45,4,24
10326,r025,All locations -> Minnesota,All locations,Minnesota,,2,8,4,6,4,1,5,1,8,24,24,2
10326,r026,All locations -> Mississippi,All locations,Mississippi,,2,43,24,11,11,20,19,3,25,78,22,14
10326,r027,All locations -> Missouri,All locations,Missouri,,2,5,21,5,11,6,1,2,6,31,4,7
10326,r028,All locations -> Montana,All locations,Montana,,2,8,7,3,6,7,1,1,2,23,0.05,0
10326,r029,All locations -> Nebraska,All locations,Nebraska,,2,5,1,2,0.05,1,1,1,1,22,1,1
10326,r030,All locations -> Nevada,All locations,Nevada,,2,16,12,8,7,41,32,4,1,2,4,1
10326,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,1,3,7,3,4,1,1,2,11,2,2
10326,r032,All locations -> New Jersey,All locations,New Jersey,,2,29,72,51,51,57,90,53,83,74,40,52
10326,r033,All locations -> New Mexico,All locations,New Mexico,,2,128,188,269,183,111,29,185,109,191,97,54
10326,r034,All locations -> New York,All locations,New York,,2,129,89,71,97,101,80,82,326,310,211,186
10326,r035,All locations -> North Carolina,All locations,North Carolina,,2,9,26,21,8,4,3,5,12,37,9,11
10326,r036,All locations -> North Dakota,All locations,North Dakota,,2,2,0.05,0,4,0.05,0,1,2,6,0.05,1
10326,r037,All locations -> Ohio,All locations,Ohio,,2,56,26,19,26,17,21,17,24,101,55,62
10326,r038,All locations -> Oklahoma,All locations,Oklahoma,,2,4,14,18,4,1,3,13,6,19,13,11
10326,r039,All locations -> Oregon,All locations,Oregon,,2,7,8,7,4,3,4,3,5,36,18,10
10326,r040,All locations -> Pennsylvania,All locations,Pennsylvania,,2,35,80,27,25,17,13,35,38,127,15,23
10326,r041,All locations -> Rhode Island,All locations,Rhode Island,,2,18,0.05,12,2,1,0.05,1,5,6,3,6
10326,r042,All locations -> South Carolina,All locations,South Carolina,,2,7,10,9,21,3,7,11,15,25,19,16
10326,r043,All locations -> South Dakota,All locations,South Dakota,,2,3,1,11,2,0.05,1,0.05,2,3,1,1
10326,r044,All locations -> Tennessee,All locations,Tennessee,,2,333,310,200,199,112,144,189,330,372,315,248
10326,r045,All locations -> Texas,All locations,Texas,,2,1399,1370,569,487,42,7,21,40,430,429,35
10326,r046,All locations -> Utah,All locations,Utah,,2,8,8,1,4,0.05,4,2,84,12,1,2
10326,r047,All locations -> Vermont,All locations,Vermont,,2,0.05,0,1,1,0.05,0.05,1,1,3,1,0.05
10326,r048,All locations -> Virginia,All locations,Virginia,,2,100,147,179,170,129,284,269,269,215,345,170
10326,r049,All locations -> Washington,All locations,Washington,,2,19,31,32,34,30,30,13,215,89,49,52
10326,r050,All locations -> West Virginia,All locations,West Virginia,,2,9,6,11,10,21,16,13,52,36,21,15
10326,r051,All locations -> Wisconsin,All locations,Wisconsin,,2,24,48,56,58,65,47,31,37,33,10,11
10326,r052,All locations -> Wyoming,All locations,Wyoming,,2,1,0.05,0.05,1,0.05,1,0,0.05,1,1,0.05
10326,r053,All locations -> Outlying areas,All locations,Outlying areas,,2,4,2,2,1,0.05,2,8,4,23,2,0.05
10326,r054,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,4,2,2,1,0.05,2,4,4,16,2,0.05
10326,r055,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,0,0,0,0,0,0,4,0.05,7,0,0
10326,r056,All locations -> Offices abroad<sup>b</sup>,All locations,Offices abroad<sup>b</sup>,,2,1,1,0,1,2,0,0,0,0,0,0
