table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_all_federal_obligations,field_r_da_total,field_r_da_research,field_r_da_advanced_technology_development,field_r_da_major_systems_development,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10393,r001,All agencies,All agencies,,,1,43222829,39504025,2591994,1105568,922504,418694,11320,1750588,1538202
10393,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,,2,1841690,1094549,na,na,na,0,0,165977,581164
10393,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,,2,454335,397540,na,na,na,16,0,125,56654
10393,r004,All agencies -> Department of Defense,All agencies,Department of Defense,,2,5350798,4620065,2591994,1105568,922504,0,5320,417,724996
10393,r005,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,794456,789136,671702,39571,77864,0,5320,0,0
10393,r006,All agencies -> Department of Defense -> Department of the Army,All agencies,Department of Defense,Department of the Army,3,542636,542219,420423,72634,49161,0,0,417,0
10393,r007,All agencies -> Department of Defense -> Department of the Navy,All agencies,Department of Defense,Department of the Navy,3,1131523,1131523,688775,93826,348922,0,0,0,0
10393,r008,All agencies -> Department of Defense -> Other Department of Defense,All agencies,Department of Defense,Other Department of Defense,3,2882184,2157188,811094,899537,446557,0,0,0,724996
10393,r009,All agencies -> Department of Education,All agencies,Department of Education,,2,191599,181870,na,na,na,0,0,0,9729
10393,r010,All agencies -> Department of Energy,All agencies,Department of Energy,,2,1595404,1588640,na,na,na,5338,0,1427,0
10393,r011,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,25610027,24354825,na,na,na,88469,0,1073591,93142
10393,r012,All agencies -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Department of Health and Human Services,Administration for Children and Families,3,1800,1800,na,na,na,0,0,0,0
10393,r013,All agencies -> Department of Health and Human Services -> Administration for Community Living,All agencies,Department of Health and Human Services,Administration for Community Living,3,83942,80767,na,na,na,0,0,3175,0
10393,r014,All agencies -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Department of Health and Human Services,Agency for Healthcare Research and Quality,3,92976,92976,na,na,na,0,0,0,0
10393,r015,All agencies -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,3,6686,6686,na,na,na,0,0,0,0
10393,r016,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,11314,11314,na,na,na,0,0,0,0
10393,r017,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,233184,233184,na,na,na,0,0,0,0
10393,r018,All agencies -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Department of Health and Human Services,Centers for Medicare and Medicaid Services,3,1160,1160,na,na,na,0,0,0,0
10393,r019,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,3,71174,71174,na,na,na,0,0,0,0
10393,r020,All agencies -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Department of Health and Human Services,Health Resources and Services Administration,3,401285,27570,na,na,na,0,0,373715,0
10393,r021,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,24704037,23825725,na,na,na,88469,0,696701,93142
10393,r022,All agencies -> Department of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Department of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,3,2469,2469,na,na,na,0,0,0,0
