table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_dot,field_hhs,field_nasa,field_nrc,field_nsf,field_usda
10396,r001,All states and outlying areas,All states and outlying areas,,1,1750588,125,417,1427,1644,1073591,10,10685,496713,165977
10396,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,46801,0,0,0,0,23833,0,0,14752,8217
10396,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,5723,0,0,0,0,2081,0,0,2859,783
10396,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,20841,0,0,0,0,9493,0,0,9936,1412
10396,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,12039,0,0,0,0,4988,0,0,4833,2218
10396,r006,All states and outlying areas -> California,All states and outlying areas,California,2,203320,0,223,0,436,141572,0,0,48728,12360
10396,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,38738,0,0,0,0,22726,0,400,13521,2091
10396,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,40433,0,0,0,0,26287,0,0,12982,1164
10396,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,6959,0,0,0,0,1743,0,0,3648,1569
10396,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,16141,0,0,0,0,8828,0,0,7313,0
10396,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,46179,0,0,0,0,23115,0,1843,17177,4045
10396,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,42311,0,0,0,0,28253,0,0,11761,2298
10396,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,18630,0,0,0,0,5184,0,0,6871,6576
10396,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,5795,0,0,0,0,1663,0,399,1836,1897
10396,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,78511,0,64,0,0,63276,0,400,11274,3498
10396,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,28685,0,0,0,0,13179,0,848,8140,6519
10396,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,19450,0,0,0,0,5808,0,0,10342,3299
10396,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,13939,0,0,0,0,7881,0,400,3889,1769
10396,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,14961,0,0,0,0,7824,0,0,4135,3003
10396,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,19054,0,0,0,0,10514,0,0,6474,2066
10396,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,5959,0,0,0,192,2881,0,0,643,2244
