table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10411,r001,All HHE institutions,All HHE institutions,,1,-,3504068,1741,21435,422238,213052,15586,14701,25613,2901,1720492,125315,842699,91077,7218
10411,r002,"All HHE institutions -> U. Illinois, Chicago",All HHE institutions,"U. Illinois, Chicago",2,1,299000,0,0,34644,76089,0,1786,443,0,159411,0,26410,52,165
10411,r003,"All HHE institutions -> U. Texas, The, Austin<sup>b</sup>",All HHE institutions,"U. Texas, The, Austin<sup>b</sup>",2,2,270453,264,951,38024,27526,856,1401,4851,0,77232,9014,110150,25,158
10411,r004,All HHE institutions -> U. Arizona,All HHE institutions,U. Arizona,2,3,261376,0,1816,26887,4679,165,0,0,0,169284,0,48044,10501,0
10411,r005,"All HHE institutions -> U. California, Irvine",All HHE institutions,"U. California, Irvine",2,4,258585,0,437,14781,20122,772,0,2332,1464,166352,4714,47612,0.05,0
10411,r006,"All HHE institutions -> U. Texas M. D. Anderson Cancer Center, The",All HHE institutions,"U. Texas M. D. Anderson Cancer Center, The",2,5,210727,0,0,39680,0,0,0,0,0,170279,0,767,0,0
10411,r007,"All HHE institutions -> U. California, Santa Barbara<sup>b</sup>",All HHE institutions,"U. California, Santa Barbara<sup>b</sup>",2,6,185654,0,38,29077,15124,1027,0,0,0,19681,63269,57410,30,0
10411,r008,All HHE institutions -> Arizona State U.<sup>b</sup>,All HHE institutions,Arizona State U.<sup>b</sup>,2,7,184688,0,0,30548,5425,0,2636,3734,0,57363,9301,73088,2594,0
10411,r009,"All HHE institutions -> U. Texas Health Science Center, The, Houston<sup>b</sup>",All HHE institutions,"U. Texas Health Science Center, The, Houston<sup>b</sup>",2,8,161199,0,0,23639,0,0,0,1133,0,133924,646,1856,0,0
10411,r010,"All HHE institutions -> U. Texas Health Science Center, The, San Antonio",All HHE institutions,"U. Texas Health Science Center, The, San Antonio",2,9,138088,0,0,41396,0,0,0,0,0,96692,0,0,0,0
10411,r011,All HHE institutions -> U. New Mexico<sup>b</sup>,All HHE institutions,U. New Mexico<sup>b</sup>,2,10,133471,0,0,4473,1566,679,176,0,0,92512,2855,28808,1548,854
10411,r012,All HHE institutions -> U. Central Florida<sup>b</sup>,All HHE institutions,U. Central Florida<sup>b</sup>,2,11,121234,348,30,13740,11003,3223,0,500,0,14686,9623,66900,184,996
10411,r013,"All HHE institutions -> U. California, Riverside",All HHE institutions,"U. California, Riverside",2,12,108245,0,0,16858,6649,100,0,1219,0,33698,0,37744,11977,0
10411,r014,"All HHE institutions -> U. Texas Medical Branch at Galveston, The<sup>b</sup>",All HHE institutions,"U. Texas Medical Branch at Galveston, The<sup>b</sup>",2,13,102749,0,0,2553,0,0,0,0,0,98646,0,300,660,590
