table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10447,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,714,521,521,-27.0,0.0
10447,r002,R&D and R&D plant -> Federal law enforcement activities (751),R&D and R&D plant,Federal law enforcement activities (751),,,,2,709,516,516,-27.2,0.0
10447,r003,R&D and R&D plant -> Federal law enforcement activities (751) -> Department of Homeland Security,R&D and R&D plant,Federal law enforcement activities (751),Department of Homeland Security,,,3,709,516,516,-27.2,0.0
10447,r004,R&D and R&D plant -> Federal correctional activities (753),R&D and R&D plant,Federal correctional activities (753),,,,2,5,5,5,0.0,0.0
10447,r005,R&D and R&D plant -> Federal correctional activities (753) -> Department of Justice,R&D and R&D plant,Federal correctional activities (753),Department of Justice,,,3,5,5,5,0.0,0.0
10447,r006,R&D and R&D plant -> Federal correctional activities (753) -> Department of Justice -> Federal Prison System,R&D and R&D plant,Federal correctional activities (753),Department of Justice,Federal Prison System,,4,5,5,5,0.0,0.0
10447,r007,R&D and R&D plant -> Criminal justice assistance (754),R&D and R&D plant,Criminal justice assistance (754),,,,2,0,0,0,-,-
10447,r008,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,701,466,442,-33.5,-5.2
10447,r009,R&D and R&D plant -> R&D -> Federal law enforcement activities (751),R&D and R&D plant,R&D,Federal law enforcement activities (751),,,3,696,461,437,-33.8,-5.2
10447,r010,R&D and R&D plant -> R&D -> Federal law enforcement activities (751) -> Department of Homeland Security,R&D and R&D plant,R&D,Federal law enforcement activities (751),Department of Homeland Security,,4,696,461,437,-33.8,-5.2
10447,r011,R&D and R&D plant -> R&D -> Federal correctional activities (753),R&D and R&D plant,R&D,Federal correctional activities (753),,,3,5,5,5,0.0,0.0
10447,r012,R&D and R&D plant -> R&D -> Federal correctional activities (753) -> Department of Justice,R&D and R&D plant,R&D,Federal correctional activities (753),Department of Justice,,4,5,5,5,0.0,0.0
10447,r013,R&D and R&D plant -> R&D -> Federal correctional activities (753) -> Department of Justice -> Federal Prison System,R&D and R&D plant,R&D,Federal correctional activities (753),Department of Justice,Federal Prison System,5,5,5,5,0.0,0.0
10447,r014,R&D and R&D plant -> R&D -> Criminal justice assistance (754),R&D and R&D plant,R&D,Criminal justice assistance (754),,,3,0,0,0,-,-
