table_id,row_id,_b_institution_status_b_full_path,_b_institution_status_b_level_1,_b_institution_status_b_level_2,_b_institution_status_b_hierarchy_depth
10629,r001,New institutions (2),New institutions (2),,1
10629,r002,"New institutions (2) -> Louisiana State U., Shreveport",New institutions (2),"Louisiana State U., Shreveport",2
10629,r003,"New institutions (2) -> U. Alaska, Southeast",New institutions (2),"U. Alaska, Southeast",2
10629,r004,Became ineligible for the survey (7),Became ineligible for the survey (7),,1
10629,r005,Became ineligible for the survey (7) -> Caldwell U.,Became ineligible for the survey (7),Caldwell U.,2
10629,r006,Became ineligible for the survey (7) -> Coppin State U.,Became ineligible for the survey (7),Coppin State U.,2
10629,r007,Became ineligible for the survey (7) -> Longwood U.,Became ineligible for the survey (7),Longwood U.,2
10629,r008,Became ineligible for the survey (7) -> Missouri Western State U.,Became ineligible for the survey (7),Missouri Western State U.,2
10629,r009,Became ineligible for the survey (7) -> Pacific States U.,Became ineligible for the survey (7),Pacific States U.,2
10629,r010,Became ineligible for the survey (7) -> Tougaloo C.,Became ineligible for the survey (7),Tougaloo C.,2
10629,r011,Became ineligible for the survey (7) -> U. Wisconsin-Stout,Became ineligible for the survey (7),U. Wisconsin-Stout,2
10629,r012,Merged institutions (4),Merged institutions (4),,1
10629,r013,Merged institutions (4) -> Edinboro U. Pennsylvania merged into Clarion U. Pennsylvania,Merged institutions (4),Edinboro U. Pennsylvania merged into Clarion U. Pennsylvania,2
10629,r014,Merged institutions (4) -> Mills C. merged into Northeastern U.,Merged institutions (4),Mills C. merged into Northeastern U.,2
10629,r015,Merged institutions (4) -> U. of the Sciences Philadelphia merged into Saint Joseph's U.,Merged institutions (4),U. of the Sciences Philadelphia merged into Saint Joseph's U.,2
10629,r016,Merged institutions (4) -> Wesley C. merged into Delaware State U.,Merged institutions (4),Wesley C. merged into Delaware State U.,2
10629,r017,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,,1
10629,r018,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup> -> California Institute of Integral Studies,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,California Institute of Integral Studies,2
10629,r019,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup> -> East Stroudsburg U. Pennsylvania,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,East Stroudsburg U. Pennsylvania,2
10629,r020,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup> -> Rivier U.,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,Rivier U.,2
10629,r021,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup> -> Sage Colleges,Changed from a doctorate-granting to master's-granting institution (4)<sup>a</sup>,Sage Colleges,2
10629,r022,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,,1
10629,r023,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Angelo State U.,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Angelo State U.,2
10629,r024,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Clarion U. Pennsylvania,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Clarion U. Pennsylvania,2
10629,r025,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Eastern Virginia Medical School,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Eastern Virginia Medical School,2
10629,r026,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Kean U.,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Kean U.,2
10629,r027,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Northern Kentucky U.,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Northern Kentucky U.,2
10629,r028,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> Saint Joseph's U.,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,Saint Joseph's U.,2
10629,r029,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup> -> U. Northern Iowa,Changed from a master's-granting to doctorate-granting institution (7)<sup>a</sup>,U. Northern Iowa,2
