table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
10638,r001,"Doctoral students, imputation rate (%)","Doctoral students, imputation rate (%)",,,1,,,,,,,,,,,,,
10638,r002,"Doctoral students, imputation rate (%) -> All full-time doctoral students","Doctoral students, imputation rate (%)",All full-time doctoral students,,2,0.6,6.7,8.1,11.3,13.5,8.0,9.6,11.3,9.2,10.9,8.4,9.2,13.1
10638,r003,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Fellowships","Doctoral students, imputation rate (%)",All full-time doctoral students,Fellowships,3,13.1,5.4,4.1,13.3,3.0,8.8,16.5,5.2,25.5,22.3,16.2,12.1,na
10638,r004,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Research assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Research assistantships,3,8.3,7.3,8.7,10.0,11.5,8.4,8.5,12.1,7.2,9.4,4.2,7.6,na
10638,r005,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Teaching assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Teaching assistantships,3,10.3,na,9.6,na,4.7,15.0,7.8,11.8,7.1,9.9,9.7,10.5,na
10638,r006,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Traineeships","Doctoral students, imputation rate (%)",All full-time doctoral students,Traineeships,3,11.3,0.0,0.0,16.3,32.2,12.1,4.6,0.0,0.9,4.7,10.5,6.2,na
10638,r007,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Other types of support","Doctoral students, imputation rate (%)",All full-time doctoral students,Other types of support,3,9.8,2.8,10.2,8.6,6.8,0.0,6.9,7.1,8.0,10.2,10.0,5.8,13.1
10638,r008,"Doctoral students, imputation rate (%) -> Male","Doctoral students, imputation rate (%)",Male,,2,3.5,7.4,8.2,11.4,10.8,8.2,10.0,10.9,9.0,11.3,8.3,11.1,11.8
10638,r009,"Doctoral students, imputation rate (%) -> Female","Doctoral students, imputation rate (%)",Female,,2,3.5,6.7,8.7,11.5,16.0,8.6,11.6,11.7,9.9,12.2,8.9,11.7,14.4
10638,r010,"Doctoral students, number imputed<sup>a</sup>","Doctoral students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
10638,r011,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,,2,1444,419,430,2504,391,149,1833,225,595,1609,182,14267,2852
