table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total,field_science,field_engineering,field_health
10648,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,62750,36673,8335,17742
10648,r002,All institutions<sup>a</sup> -> Harvard U.,All institutions<sup>a</sup>,Harvard U.,2,1,5174,1819,183,3172
10648,r003,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,2,2397,1088,376,933
10648,r004,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,3,1740,686,126,928
10648,r005,All institutions<sup>a</sup> -> U. Minnesota,All institutions<sup>a</sup>,U. Minnesota,2,4,1475,776,145,554
10648,r006,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,5,1464,1146,288,30
10648,r007,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,6,1358,712,646,0
10648,r008,All institutions<sup>a</sup> -> Yale U.,All institutions<sup>a</sup>,Yale U.,2,7,1316,744,83,489
10648,r009,All institutions<sup>a</sup> -> U. Pennsylvania,All institutions<sup>a</sup>,U. Pennsylvania,2,8,1234,699,111,424
10648,r010,"All institutions<sup>a</sup> -> U. California, San Diego",All institutions<sup>a</sup>,"U. California, San Diego",2,9,1155,509,172,474
10648,r011,"All institutions<sup>a</sup> -> U. California, San Francisco",All institutions<sup>a</sup>,"U. California, San Francisco",2,10,1146,227,55,864
10648,r012,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,11,1097,527,208,362
10648,r013,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,12,988,552,128,308
10648,r014,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,13,978,369,118,491
10648,r015,All institutions<sup>a</sup> -> Northwestern U.,All institutions<sup>a</sup>,Northwestern U.,2,14,961,564,130,267
10648,r016,"All institutions<sup>a</sup> -> Washington U., Saint Louis",All institutions<sup>a</sup>,"Washington U., Saint Louis",2,15,942,384,49,509
10648,r017,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,16,936,590,114,232
10648,r018,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,17,816,576,22,218
10648,r019,"All institutions<sup>a</sup> -> Mayo Clinic, Mayo Graduate School",All institutions<sup>a</sup>,"Mayo Clinic, Mayo Graduate School",2,18,766,141,35,590
10648,r020,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,19,744,470,87,187
10648,r021,All institutions<sup>a</sup> -> U. Pittsburgh,All institutions<sup>a</sup>,U. Pittsburgh,2,20,731,222,54,455
10648,r022,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,21,728,436,105,187
10648,r023,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,22,725,442,67,216
10648,r024,"All institutions<sup>a</sup> -> U. North Carolina, Chapel Hill",All institutions<sup>a</sup>,"U. North Carolina, Chapel Hill",2,23,714,408,9,297
10648,r025,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,24,684,410,83,191
10648,r026,"All institutions<sup>a</sup> -> U. California, Davis",All institutions<sup>a</sup>,"U. California, Davis",2,25,667,493,86,88
10648,r027,All institutions<sup>a</sup> -> Princeton U.,All institutions<sup>a</sup>,Princeton U.,2,26,645,485,160,0
10648,r028,All institutions<sup>a</sup> -> U. Chicago,All institutions<sup>a</sup>,U. Chicago,2,27,609,537,0,72
10648,r029,All institutions<sup>a</sup> -> Duke U.,All institutions<sup>a</sup>,Duke U.,2,28,601,385,91,125
