table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_level_3,_b_graduate_students_b_hierarchy_depth,value
10652,r001,1977,Graduate students,Total,,2,242932
10652,r002,1977,Graduate students,Male,Number,3,168724
10652,r003,1977,Graduate students,Male,Percent,3,69.5
10652,r004,1977,Graduate students,Female,Number,3,74208
10652,r005,1977,Graduate students,Female,Percent,3,30.5
10652,r006,1977,Postdoctoral appointees,Total,,2,na
10652,r007,1977,Postdoctoral appointees,Male,Number,3,na
10652,r008,1977,Postdoctoral appointees,Male,Percent,3,na
10652,r009,1977,Postdoctoral appointees,Female,Number,3,na
10652,r010,1977,Postdoctoral appointees,Female,Percent,3,na
10652,r011,1977,Doctorate-holding nonfaculty researchers,Total,,2,na
10652,r012,1977,Doctorate-holding nonfaculty researchers,Male,Number,3,na
10652,r013,1977,Doctorate-holding nonfaculty researchers,Male,Percent,3,na
10652,r014,1977,Doctorate-holding nonfaculty researchers,Female,Number,3,na
10652,r015,1977,Doctorate-holding nonfaculty researchers,Female,Percent,3,na
10652,r016,1978,Graduate students,Total,,2,236465
10652,r017,1978,Graduate students,Male,Number,3,NA
10652,r018,1978,Graduate students,Male,Percent,3,NA
10652,r019,1978,Graduate students,Female,Number,3,NA
10652,r020,1978,Graduate students,Female,Percent,3,NA
10652,r021,1978,Postdoctoral appointees,Total,,2,na
10652,r022,1978,Postdoctoral appointees,Male,Number,3,na
10652,r023,1978,Postdoctoral appointees,Male,Percent,3,na
10652,r024,1978,Postdoctoral appointees,Female,Number,3,na
10652,r025,1978,Postdoctoral appointees,Female,Percent,3,na
10652,r026,1978,Doctorate-holding nonfaculty researchers,Total,,2,na
10652,r027,1978,Doctorate-holding nonfaculty researchers,Male,Number,3,na
10652,r028,1978,Doctorate-holding nonfaculty researchers,Male,Percent,3,na
10652,r029,1978,Doctorate-holding nonfaculty researchers,Female,Number,3,na
10652,r030,1978,Doctorate-holding nonfaculty researchers,Female,Percent,3,na
10652,r031,1979,Graduate students,Total,,2,247235
10652,r032,1979,Graduate students,Male,Number,3,163845
10652,r033,1979,Graduate students,Male,Percent,3,66.3
10652,r034,1979,Graduate students,Female,Number,3,83390
10652,r035,1979,Graduate students,Female,Percent,3,33.7
10652,r036,1979,Postdoctoral appointees,Total,,2,12519
10652,r037,1979,Postdoctoral appointees,Male,Number,3,10045
10652,r038,1979,Postdoctoral appointees,Male,Percent,3,80.2
10652,r039,1979,Postdoctoral appointees,Female,Number,3,2474
10652,r040,1979,Postdoctoral appointees,Female,Percent,3,19.8
10652,r041,1979,Doctorate-holding nonfaculty researchers,Total,,2,1915
10652,r042,1979,Doctorate-holding nonfaculty researchers,Male,Number,3,1448
10652,r043,1979,Doctorate-holding nonfaculty researchers,Male,Percent,3,75.6
10652,r044,1979,Doctorate-holding nonfaculty researchers,Female,Number,3,467
10652,r045,1979,Doctorate-holding nonfaculty researchers,Female,Percent,3,24.4
10652,r046,1980,Graduate students,Total,,2,251265
10652,r047,1980,Graduate students,Male,Number,3,163212
10652,r048,1980,Graduate students,Male,Percent,3,65.0
10652,r049,1980,Graduate students,Female,Number,3,88053
10652,r050,1980,Graduate students,Female,Percent,3,35.0
10652,r051,1980,Postdoctoral appointees,Total,,2,13042
10652,r052,1980,Postdoctoral appointees,Male,Number,3,10427
10652,r053,1980,Postdoctoral appointees,Male,Percent,3,79.9
10652,r054,1980,Postdoctoral appointees,Female,Number,3,2615
10652,r055,1980,Postdoctoral appointees,Female,Percent,3,20.1
10652,r056,1980,Doctorate-holding nonfaculty researchers,Total,,2,2184
10652,r057,1980,Doctorate-holding nonfaculty researchers,Male,Number,3,1662
10652,r058,1980,Doctorate-holding nonfaculty researchers,Male,Percent,3,76.1
10652,r059,1980,Doctorate-holding nonfaculty researchers,Female,Number,3,522
10652,r060,1980,Doctorate-holding nonfaculty researchers,Female,Percent,3,23.9
10652,r061,1981,Graduate students,Total,,2,252404
10652,r062,1981,Graduate students,Male,Number,3,160306
10652,r063,1981,Graduate students,Male,Percent,3,63.5
10652,r064,1981,Graduate students,Female,Number,3,92098
10652,r065,1981,Graduate students,Female,Percent,3,36.5
10652,r066,1981,Postdoctoral appointees,Total,,2,13731
10652,r067,1981,Postdoctoral appointees,Male,Number,3,10859
10652,r068,1981,Postdoctoral appointees,Male,Percent,3,79.1
10652,r069,1981,Postdoctoral appointees,Female,Number,3,2872
10652,r070,1981,Postdoctoral appointees,Female,Percent,3,20.9
10652,r071,1981,Doctorate-holding nonfaculty researchers,Total,,2,2445
10652,r072,1981,Doctorate-holding nonfaculty researchers,Male,Number,3,1910
10652,r073,1981,Doctorate-holding nonfaculty researchers,Male,Percent,3,78.1
10652,r074,1981,Doctorate-holding nonfaculty researchers,Female,Number,3,535
10652,r075,1981,Doctorate-holding nonfaculty researchers,Female,Percent,3,21.9
10652,r076,1982,Graduate students,Total,,2,255146
10652,r077,1982,Graduate students,Male,Number,3,160354
10652,r078,1982,Graduate students,Male,Percent,3,62.8
10652,r079,1982,Graduate students,Female,Number,3,94792
10652,r080,1982,Graduate students,Female,Percent,3,37.2
10652,r081,1982,Postdoctoral appointees,Total,,2,13698
10652,r082,1982,Postdoctoral appointees,Male,Number,3,10538
10652,r083,1982,Postdoctoral appointees,Male,Percent,3,76.9
10652,r084,1982,Postdoctoral appointees,Female,Number,3,3160
10652,r085,1982,Postdoctoral appointees,Female,Percent,3,23.1
10652,r086,1982,Doctorate-holding nonfaculty researchers,Total,,2,2809
10652,r087,1982,Doctorate-holding nonfaculty researchers,Male,Number,3,2177
10652,r088,1982,Doctorate-holding nonfaculty researchers,Male,Percent,3,77.5
10652,r089,1982,Doctorate-holding nonfaculty researchers,Female,Number,3,632
10652,r090,1982,Doctorate-holding nonfaculty researchers,Female,Percent,3,22.5
10652,r091,1983,Graduate students,Total,,2,255820
10652,r092,1983,Graduate students,Male,Number,3,159126
10652,r093,1983,Graduate students,Male,Percent,3,62.2
10652,r094,1983,Graduate students,Female,Number,3,96694
10652,r095,1983,Graduate students,Female,Percent,3,37.8
10652,r096,1983,Postdoctoral appointees,Total,,2,14562
10652,r097,1983,Postdoctoral appointees,Male,Number,3,11191
10652,r098,1983,Postdoctoral appointees,Male,Percent,3,76.9
10652,r099,1983,Postdoctoral appointees,Female,Number,3,3371
10652,r100,1983,Postdoctoral appointees,Female,Percent,3,23.1
10652,r101,1983,Doctorate-holding nonfaculty researchers,Total,,2,3348
10652,r102,1983,Doctorate-holding nonfaculty researchers,Male,Number,3,2659
10652,r103,1983,Doctorate-holding nonfaculty researchers,Male,Percent,3,79.4
10652,r104,1983,Doctorate-holding nonfaculty researchers,Female,Number,3,689
10652,r105,1983,Doctorate-holding nonfaculty researchers,Female,Percent,3,20.6
10652,r106,1984,Graduate students,Total,,2,256903
10652,r107,1984,Graduate students,Male,Number,3,159672
10652,r108,1984,Graduate students,Male,Percent,3,62.2
10652,r109,1984,Graduate students,Female,Number,3,97231
10652,r110,1984,Graduate students,Female,Percent,3,37.8
10652,r111,1984,Postdoctoral appointees,Total,,2,14979
10652,r112,1984,Postdoctoral appointees,Male,Number,3,11446
10652,r113,1984,Postdoctoral appointees,Male,Percent,3,76.4
10652,r114,1984,Postdoctoral appointees,Female,Number,3,3533
10652,r115,1984,Postdoctoral appointees,Female,Percent,3,23.6
10652,r116,1984,Doctorate-holding nonfaculty researchers,Total,,2,3442
10652,r117,1984,Doctorate-holding nonfaculty researchers,Male,Number,3,2654
10652,r118,1984,Doctorate-holding nonfaculty researchers,Male,Percent,3,77.1
10652,r119,1984,Doctorate-holding nonfaculty researchers,Female,Number,3,788
10652,r120,1984,Doctorate-holding nonfaculty researchers,Female,Percent,3,22.9
10652,r121,1985,Graduate students,Total,,2,261973
10652,r122,1985,Graduate students,Male,Number,3,162435
10652,r123,1985,Graduate students,Male,Percent,3,62.0
10652,r124,1985,Graduate students,Female,Number,3,99538
10652,r125,1985,Graduate students,Female,Percent,3,38.0
10652,r126,1985,Postdoctoral appointees,Total,,2,15576
10652,r127,1985,Postdoctoral appointees,Male,Number,3,11724
10652,r128,1985,Postdoctoral appointees,Male,Percent,3,75.3
10652,r129,1985,Postdoctoral appointees,Female,Number,3,3852
10652,r130,1985,Postdoctoral appointees,Female,Percent,3,24.7
10652,r131,1985,Doctorate-holding nonfaculty researchers,Total,,2,3529
10652,r132,1985,Doctorate-holding nonfaculty researchers,Male,Number,3,2637
10652,r133,1985,Doctorate-holding nonfaculty researchers,Male,Percent,3,74.7
10652,r134,1985,Doctorate-holding nonfaculty researchers,Female,Number,3,892
10652,r135,1985,Doctorate-holding nonfaculty researchers,Female,Percent,3,25.3
10652,r136,1986,Graduate students,Total,,2,266077
10652,r137,1986,Graduate students,Male,Number,3,164075
10652,r138,1986,Graduate students,Male,Percent,3,61.7
10652,r139,1986,Graduate students,Female,Number,3,102002
10652,r140,1986,Graduate students,Female,Percent,3,38.3
10652,r141,1986,Postdoctoral appointees,Total,,2,16512
10652,r142,1986,Postdoctoral appointees,Male,Number,3,12288
10652,r143,1986,Postdoctoral appointees,Male,Percent,3,74.4
10652,r144,1986,Postdoctoral appointees,Female,Number,3,4224
10652,r145,1986,Postdoctoral appointees,Female,Percent,3,25.6
10652,r146,1986,Doctorate-holding nonfaculty researchers,Total,,2,3356
10652,r147,1986,Doctorate-holding nonfaculty researchers,Male,Number,3,2456
10652,r148,1986,Doctorate-holding nonfaculty researchers,Male,Percent,3,73.2
10652,r149,1986,Doctorate-holding nonfaculty researchers,Female,Number,3,900
10652,r150,1986,Doctorate-holding nonfaculty researchers,Female,Percent,3,26.8
10652,r151,1987,Graduate students,Total,,2,269256
10652,r152,1987,Graduate students,Male,Number,3,165060
10652,r153,1987,Graduate students,Male,Percent,3,61.3
10652,r154,1987,Graduate students,Female,Number,3,104196
10652,r155,1987,Graduate students,Female,Percent,3,38.7
10652,r156,1987,Postdoctoral appointees,Total,,2,17369
10652,r157,1987,Postdoctoral appointees,Male,Number,3,12845
10652,r158,1987,Postdoctoral appointees,Male,Percent,3,74.0
10652,r159,1987,Postdoctoral appointees,Female,Number,3,4524
10652,r160,1987,Postdoctoral appointees,Female,Percent,3,26.0
10652,r161,1987,Doctorate-holding nonfaculty researchers,Total,,2,3250
10652,r162,1987,Doctorate-holding nonfaculty researchers,Male,Number,3,2379
10652,r163,1987,Doctorate-holding nonfaculty researchers,Male,Percent,3,73.2
10652,r164,1987,Doctorate-holding nonfaculty researchers,Female,Number,3,871
