table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_level_4,column_hierarchy_depth,value
10661,r001,2000,Total,,,,1,56651
10661,r002,2000,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,3018
10661,r003,2000,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,5.3
10661,r004,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,208
10661,r005,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.4
10661,r006,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,6909
10661,r007,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,12.2
10661,r008,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,2977
10661,r009,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,5.3
10661,r010,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,305
10661,r011,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.5
10661,r012,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,39083
10661,r013,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,69.0
10661,r014,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,40
10661,r015,2000,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r016,2000,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,4111
10661,r017,2000,U.S. citizens and permanent residents,Unknown ethnicity and race,Percent,,3,7.3
10661,r018,2001,Total,,,,1,56890
10661,r019,2001,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,3183
10661,r020,2001,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,5.6
10661,r021,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,227
10661,r022,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.4
10661,r023,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,7769
10661,r024,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,13.7
10661,r025,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,2915
10661,r026,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,5.1
10661,r027,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,157
10661,r028,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.3
10661,r029,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,38459
10661,r030,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,67.6
10661,r031,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,35
10661,r032,2001,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r033,2001,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,4145
10661,r034,2001,U.S. citizens and permanent residents,Unknown ethnicity and race,Percent,,3,7.3
10661,r035,2002,Total,,,,1,61277
10661,r036,2002,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,3461
10661,r037,2002,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,5.6
10661,r038,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,244
10661,r039,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.4
10661,r040,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,9130
10661,r041,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,14.9
10661,r042,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,3074
10661,r043,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,5.0
10661,r044,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,169
10661,r045,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.3
10661,r046,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,40559
10661,r047,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,66.2
10661,r048,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,54
10661,r049,2002,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r050,2002,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,4586
10661,r051,2002,U.S. citizens and permanent residents,Unknown ethnicity and race,Percent,,3,7.5
10661,r052,2003,Total,,,,1,67310
10661,r053,2003,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,3979
10661,r054,2003,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,5.9
10661,r055,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,304
10661,r056,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.5
10661,r057,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,10466
10661,r058,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,15.5
10661,r059,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,3212
10661,r060,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,4.8
10661,r061,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,221
10661,r062,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.3
10661,r063,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,43469
10661,r064,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,64.6
10661,r065,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,66
10661,r066,2003,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r067,2003,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,5593
10661,r068,2003,U.S. citizens and permanent residents,Unknown ethnicity and race,Percent,,3,8.3
10661,r069,2004,Total,,,,1,66379
10661,r070,2004,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,4164
10661,r071,2004,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,6.3
10661,r072,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,273
10661,r073,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.4
10661,r074,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,9563
10661,r075,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,14.4
10661,r076,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,3399
10661,r077,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,5.1
10661,r078,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,149
10661,r079,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.2
10661,r080,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,43235
10661,r081,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,65.1
10661,r082,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,56
10661,r083,2004,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r084,2004,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,5540
10661,r085,2004,U.S. citizens and permanent residents,Unknown ethnicity and race,Percent,,3,8.3
10661,r086,2005,Total,,,,1,66551
10661,r087,2005,U.S. citizens and permanent residents,Hispanic or Latino,Number,,3,4090
10661,r088,2005,U.S. citizens and permanent residents,Hispanic or Latino,Percent,,3,6.1
10661,r089,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Number,4,273
10661,r090,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,American Indian or Alaska Native,Percent,4,0.4
10661,r091,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Number,4,9595
10661,r092,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Asian,Percent,4,14.4
10661,r093,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Number,4,3470
10661,r094,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Black or African American,Percent,4,5.2
10661,r095,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Number,4,135
10661,r096,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Percent,4,0.2
10661,r097,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Number,4,42868
10661,r098,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,White,Percent,4,64.4
10661,r099,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Number,4,74
10661,r100,2005,U.S. citizens and permanent residents,Not Hispanic or Latino,More than one race,Percent,4,0.1
10661,r101,2005,U.S. citizens and permanent residents,Unknown ethnicity and race,Number,,3,6046
