table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_full_time_all_full_time_total_number,field_full_time_all_full_time_total_percent,field_full_time_all_full_time_master_s_number,field_full_time_all_full_time_master_s_percent,field_full_time_all_full_time_doctoral_number,field_full_time_all_full_time_doctoral_percent,field_full_time_first_time_full_time_all_first_time_full_time_number,field_full_time_first_time_full_time_all_first_time_full_time_percent,field_full_time_first_time_full_time_master_s_number,field_full_time_first_time_full_time_master_s_percent,field_full_time_first_time_full_time_doctoral_number,field_full_time_first_time_full_time_doctoral_percent,field_part_time_all_part_time_number,field_part_time_all_part_time_percent,field_part_time_master_s_number,field_part_time_master_s_percent,field_part_time_doctoral_number,field_part_time_doctoral_percent
10682,r001,All individuals,All individuals,,,,,1,579301,100.0,319618,100.0,259683,100.0,194733,100.0,147317,100.0,47416,100.0,219233,100.0,181693,100.0,37540,100.0
10682,r002,All individuals -> Male,All individuals,Male,,,,2,298639,51.6,157519,49.3,141120,54.3,98829,50.8,74130,50.3,24699,52.1,113470,51.8,94012,51.7,19458,51.8
10682,r003,All individuals -> Female,All individuals,Female,,,,2,280662,48.4,162099,50.7,118563,45.7,95904,49.2,73187,49.7,22717,47.9,105763,48.2,87681,48.3,18082,48.2
10682,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,318809,55.0,168660,52.8,150149,57.8,99162,50.9,72404,49.1,26758,56.4,181490,82.8,153345,84.4,28145,75.0
10682,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,44443,7.7,26103,8.2,18340,7.1,14460,7.4,10881,7.4,3579,7.5,25178,11.5,22200,12.2,2978,7.9
10682,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,,,
10682,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,1371,0.2,794,0.2,577,0.2,461,0.2,353,0.2,108,0.2,711,0.3,537,0.3,174,0.5
10682,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,39545,6.8,21351,6.7,18194,7.0,13456,6.9,10072,6.8,3384,7.1,21881,10.0,19522,10.7,2359,6.3
10682,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,25521,4.4,15880,5.0,9641,3.7,8567,4.4,6717,4.6,1850,3.9,18495,8.4,15518,8.5,2977,7.9
10682,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,431,0.1,272,0.1,159,0.1,139,0.1,113,0.1,26,0.1,307,0.1,269,0.1,38,0.1
