table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_assistantships_number,field_research_assistantships_percent,field_teaching_assistantships_number,field_teaching_assistantships_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_self_support_number,field_other_types_of_support_self_support_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
10688,r001,All graduate students,All graduate students,,,,1,579301,47647,8.2,130185,22.5,84893,14.7,11717,2.0,244299,42.2,60560,10.5
10688,r002,All graduate students -> Science,All graduate students,Science,,,2,392192,34711,8.9,81549,20.8,66907,17.1,9415,2.4,161417,41.2,38193,9.7
10688,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,8035,452,5.6,4696,58.4,909,11.3,26,0.3,1324,16.5,628,7.8
10688,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,83617,10990,13.1,27861,33.3,10276,12.3,6065,7.3,20376,24.4,8049,9.6
10688,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,101252,3081,3.0,10926,10.8,8727,8.6,430,0.4,67673,66.8,10415,10.3
10688,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9747,1102,11.3,4301,44.1,2352,24.1,78,0.8,1253,12.9,661,6.8
10688,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,26598,1987,7.5,2662,10.0,8820,33.2,177,0.7,10995,41.3,1957,7.4
10688,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Science,Multidisciplinary and interdisciplinary sciences,,3,13048,1558,11.9,1244,9.5,1058,8.1,117,0.9,7641,58.6,1430,11.0
10688,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,9161,924,10.1,2645,28.9,1278,14.0,101,1.1,3008,32.8,1205,13.2
10688,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,39012,4552,11.7,15649,40.1,13171,33.8,577,1.5,2897,7.4,2166,5.6
10688,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,45196,1937,4.3,5228,11.6,6479,14.3,870,1.9,25721,56.9,4961,11.0
10688,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,56526,8128,14.4,6337,11.2,13837,24.5,974,1.7,20529,36.3,6721,11.9
10688,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,130447,10780,8.3,43122,33.1,14136,10.8,1155,0.9,47486,36.4,13768,10.6
10688,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5420,434,8.0,1976,36.5,697,12.9,55,1.0,1528,28.2,730,13.5
10688,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,12416,1812,14.6,5127,41.3,987,7.9,404,3.3,2803,22.6,1283,10.3
10688,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9320,1382,14.8,4486,48.1,1174,12.6,78,0.8,1568,16.8,632,6.8
10688,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,14920,1235,8.3,5038,33.8,1854,12.4,83,0.6,4996,33.5,1714,11.5
10688,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,37882,2012,5.3,10006,26.4,3882,10.2,164,0.4,17900,47.3,3918,10.3
10688,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,9822,514,5.2,1685,17.2,1016,10.3,58,0.6,5052,51.4,1497,15.2
10688,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,20696,1525,7.4,7206,34.8,2921,14.1,178,0.9,6590,31.8,2276,11.0
10688,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,5888,629,10.7,3104,52.7,531,9.0,54,0.9,1167,19.8,403,6.8
10688,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,14083,1237,8.8,4494,31.9,1074,7.6,81,0.6,5882,41.8,1315,9.3
10688,r023,All graduate students -> Health,All graduate students,Health,,,2,56662,2156,3.8,5514,9.7,3850,6.8,1147,2.0,35396,62.5,8599,15.2
10688,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,23215,928,4.0,2153,9.3,1027,4.4,607,2.6,14994,64.6,3506,15.1
10688,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,33447,1228,3.7,3361,10.0,2823,8.4,540,1.6,20402,61.0,5093,15.2
10688,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,319618,8119,2.5,22556,7.1,23877,7.5,2007,0.6,222506,69.6,40553,12.7
10688,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,208749,5123,2.5,13806,6.6,16865,8.1,1158,0.6,147109,70.5,24688,11.8
10688,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,4143,130,3.1,2067,49.9,413,10.0,9,0.2,1115,26.9,409,9.9
10688,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,27987,501,1.8,2822,10.1,2880,10.3,121,0.4,18271,65.3,3392,12.1
