table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
10714,r001,Institutions,Institutions,,,,1,149,21.6,123,17.8
10714,r002,Schools,Schools,,,,1,160,20.6,126,16.3
10714,r003,Units,Units,,,,1,266,1.2,210,0.9
10714,r004,All individuals,All individuals,,,,1,1308,100.0,786,100.0
10714,r005,All individuals -> Male,All individuals,Male,,,2,450,34.4,261,33.2
10714,r006,All individuals -> Female,All individuals,Female,,,2,858,65.6,525,66.8
10714,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,959,73.3,na,na
10714,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,104,8.0,na,na
10714,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
10714,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,2,0.2,na,na
10714,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,105,8.0,na,na
10714,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,47,3.6,na,na
10714,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,1,0.1,na,na
10714,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,591,45.2,na,na
10714,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,27,2.1,na,na
10714,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,82,6.3,na,na
10714,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,349,26.7,na,na
10714,r018,Primary source of support,Primary source of support,,,,1,,,,
10714,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,697,53.3,na,na
10714,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,510,39.0,na,na
10714,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,22,1.7,na,na
10714,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,79,6.0,na,na
10714,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
10714,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,126,9.6,na,na
10714,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,775,59.3,na,na
10714,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,112,8.6,na,na
10714,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,295,22.6,na,na
10714,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
10714,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1010,77.2,609,77.5
10714,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,44,3.4,40,5.1
10714,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,22,1.7,9,1.1
10714,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,232,17.7,128,16.3
10714,r033,Degree origin,Degree origin,,,,1,,,,
10714,r034,Degree origin -> United States,Degree origin,United States,,,2,696,53.2,na,na
10714,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,196,15.0,na,na
10714,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,416,31.8,na,na
