table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
10806,r001,Department of Defense,Department of Defense,,,,,1,,,,,,,,
10806,r002,Department of Defense -> RDT&E,Department of Defense,RDT&E,,,,2,115948,30856,4050,74042,4905,1814,26,255
10806,r003,Department of Defense -> RDT&E -> Total research,Department of Defense,RDT&E,Total research,,,3,10166,3744,866,2472,2478,526,17,62
10806,r004,Department of Defense -> RDT&E -> Total research -> Basic research,Department of Defense,RDT&E,Total research,Basic research,,4,3150,650,158,523,1531,238,16,34
10806,r005,Department of Defense -> RDT&E -> Total research -> Applied research,Department of Defense,RDT&E,Total research,Applied research,,4,7016,3094,708,1949,947,288,1,28
10806,r006,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,,,3,62186,22903,2156,33631,2143,1167,8,178
10806,r007,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,,4,10138,3428,592,3874,1303,807,2,134
10806,r008,Department of Defense -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,RDT&E,Total experimental development<sup>c</sup>,Major systems,,4,52048,19475,1565,29757,841,359,6,44
10806,r009,Department of Defense -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,RDT&E,Total operational system development<sup>d</sup>,,,3,43596,4209,1028,37939,283,122,0,16
10806,r010,Department of Defense -> Defense Advanced Research Projects Agency,Department of Defense,Defense Advanced Research Projects Agency,,,,2,,,,,,,,
10806,r011,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,,,3,3609,299,156,2355,619,154,0.05,25
10806,r012,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,,4,1798,98,100,923,512,143,0.05,21
10806,r013,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Basic research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Basic research,5,440,16,24,141,201,48,0,10
10806,r014,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total research -> Applied research,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total research,Applied research,5,1358,83,76,783,310,95,0.05,11
10806,r015,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>c</sup>,,4,1811,201,56,1432,107,11,0,4
10806,r016,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,1574,128,56,1269,107,10,0,4
10806,r017,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,236,73,0,163,0.05,0.05,0,0
10806,r018,Department of Defense -> Defense Advanced Research Projects Agency -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Defense Advanced Research Projects Agency,RDT&E,Total operational system development<sup>d</sup>,,4,0,0,0,0,0,0,0,0
10806,r019,Department of Defense -> Defense Health Agency,Department of Defense,Defense Health Agency,,,,2,,,,,,,,
10806,r020,Department of Defense -> Defense Health Agency -> RDT&E,Department of Defense,Defense Health Agency,RDT&E,,,3,2157,153,9,454,868,609,0,64
10806,r021,Department of Defense -> Defense Health Agency -> RDT&E -> Total research,Department of Defense,Defense Health Agency,RDT&E,Total research,,4,145,26,2,32,36,43,0,7
10806,r022,Department of Defense -> Defense Health Agency -> RDT&E -> Total research -> Basic research,Department of Defense,Defense Health Agency,RDT&E,Total research,Basic research,5,11,1,0.05,2,2,6,0,0
10806,r023,Department of Defense -> Defense Health Agency -> RDT&E -> Total research -> Applied research,Department of Defense,Defense Health Agency,RDT&E,Total research,Applied research,5,135,25,2,30,34,37,0,7
10806,r024,Department of Defense -> Defense Health Agency -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Defense Health Agency,RDT&E,Total experimental development<sup>c</sup>,,4,1991,124,8,405,832,565,0,57
10806,r025,Department of Defense -> Defense Health Agency -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Defense Health Agency,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,1724,96,7,212,818,533,0,57
10806,r026,Department of Defense -> Defense Health Agency -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Defense Health Agency,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,267,28,1,193,14,31,0,0
10806,r027,Department of Defense -> Defense Health Agency -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Defense Health Agency,RDT&E,Total operational system development<sup>d</sup>,,4,20,2,0,17,0.05,1,0,0
10806,r028,Department of Defense -> Department of the Air Force,Department of Defense,Department of the Air Force,,,,2,,,,,,,,
10806,r029,Department of Defense -> Department of the Air Force -> RDT&E,Department of Defense,Department of the Air Force,RDT&E,,,3,40283,9229,1075,28856,802,312,10,0.05
10806,r030,Department of Defense -> Department of the Air Force -> RDT&E -> Total research,Department of Defense,Department of the Air Force,RDT&E,Total research,,4,2926,2053,47,31,586,197,10,0
10806,r031,Department of Defense -> Department of the Air Force -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Air Force,RDT&E,Total research,Basic research,5,970,251,0,20,529,160,10,0
10806,r032,Department of Defense -> Department of the Air Force -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Air Force,RDT&E,Total research,Applied research,5,1956,1803,47,11,57,37,0.05,0
10806,r033,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>c</sup>,,4,10973,5097,517,5070,179,110,0,0
10806,r034,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,952,814,2,60,30,45,0,0
10806,r035,Department of Defense -> Department of the Air Force -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Department of the Air Force,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,10021,4283,515,5009,149,65,0,0
10806,r036,Department of Defense -> Department of the Air Force -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Department of the Air Force,RDT&E,Total operational system development<sup>d</sup>,,4,26385,2079,510,23755,37,4,0,0.05
10806,r037,Department of Defense -> Department of the Army,Department of Defense,Department of the Army,,,,2,,,,,,,,
10806,r038,Department of Defense -> Department of the Army -> RDT&E,Department of Defense,Department of the Army,RDT&E,,,3,13365,5082,128,7140,589,373,0.05,54
10806,r039,Department of Defense -> Department of the Army -> RDT&E -> Total research,Department of Defense,Department of the Army,RDT&E,Total research,,4,1804,562,9,778,398,47,0,10
10806,r040,Department of Defense -> Department of the Army -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Army,RDT&E,Total research,Basic research,5,514,105,0.05,138,250,13,0,7
10806,r041,Department of Defense -> Department of the Army -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Army,RDT&E,Total research,Applied research,5,1290,458,8,639,149,34,0,3
10806,r042,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>c</sup>,,4,10256,3924,115,5709,189,288,0.05,32
10806,r043,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,1821,670,20,921,103,98,0,10
10806,r044,Department of Defense -> Department of the Army -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Department of the Army,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,8435,3255,95,4788,85,190,0.05,23
10806,r045,Department of Defense -> Department of the Army -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Department of the Army,RDT&E,Total operational system development<sup>d</sup>,,4,1305,595,5,653,2,38,0,12
10806,r046,Department of Defense -> Department of the Navy,Department of Defense,Department of the Navy,,,,2,,,,,,,,
10806,r047,Department of Defense -> Department of the Navy -> RDT&E,Department of Defense,Department of the Navy,RDT&E,,,3,20881,8512,249,10501,1330,240,7,42
10806,r048,Department of Defense -> Department of the Navy -> RDT&E -> Total research,Department of Defense,Department of the Navy,RDT&E,Total research,,4,1739,596,20,304,730,61,7,22
10806,r049,Department of Defense -> Department of the Navy -> RDT&E -> Total research -> Basic research,Department of Defense,Department of the Navy,RDT&E,Total research,Basic research,5,662,218,1,31,383,9,6,14
10806,r050,Department of Defense -> Department of the Navy -> RDT&E -> Total research -> Applied research,Department of Defense,Department of the Navy,RDT&E,Total research,Applied research,5,1077,378,19,272,348,51,1,8
10806,r051,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>c</sup>,,4,15749,6885,192,8061,459,132,0.05,19
10806,r052,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,904,311,9,395,101,88,0,1
10806,r053,Department of Defense -> Department of the Navy -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Department of the Navy,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,14845,6574,183,7666,359,44,0.05,18
10806,r054,Department of Defense -> Department of the Navy -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Department of the Navy,RDT&E,Total operational system development<sup>d</sup>,,4,3394,1032,38,2136,140,47,0,1
10806,r055,Department of Defense -> Space Force,Department of Defense,Space Force,,,,2,,,,,,,,
10806,r056,Department of Defense -> Space Force -> RDT&E,Department of Defense,Space Force,RDT&E,,,3,9996,530,343,9046,50,21,6,0
10806,r057,Department of Defense -> Space Force -> RDT&E -> Total research,Department of Defense,Space Force,RDT&E,Total research,,4,175,105,11,55,4,0,0,0
10806,r058,Department of Defense -> Space Force -> RDT&E -> Total research -> Basic research,Department of Defense,Space Force,RDT&E,Total research,Basic research,5,71,6,6,55,4,0,0,0
10806,r059,Department of Defense -> Space Force -> RDT&E -> Total research -> Applied research,Department of Defense,Space Force,RDT&E,Total research,Applied research,5,104,99,6,0,0,0,0,0
10806,r060,Department of Defense -> Space Force -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Space Force,RDT&E,Total experimental development<sup>c</sup>,,4,4776,309,264,4151,31,15,6,0
10806,r061,Department of Defense -> Space Force -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Space Force,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,0,0,0,0,0,0,0,0
10806,r062,Department of Defense -> Space Force -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Space Force,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,4776,309,264,4151,31,15,6,0
10806,r063,Department of Defense -> Space Force -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Space Force,RDT&E,Total operational system development<sup>d</sup>,,4,5045,116,67,4840,15,6,0,0
10806,r064,Department of Defense -> Other defense agencies,Department of Defense,Other defense agencies,,,,2,,,,,,,,
10806,r065,Department of Defense -> Other defense agencies -> RDT&E,Department of Defense,Other defense agencies,RDT&E,,,3,25657,7051,2091,15690,647,106,2,70
10806,r066,Department of Defense -> Other defense agencies -> RDT&E -> Total research,Department of Defense,Other defense agencies,RDT&E,Total research,,4,1579,304,678,349,212,34,0,2
10806,r067,Department of Defense -> Other defense agencies -> RDT&E -> Total research -> Basic research,Department of Defense,Other defense agencies,RDT&E,Total research,Basic research,5,482,54,127,136,163,1,0,2
10806,r068,Department of Defense -> Other defense agencies -> RDT&E -> Total research -> Applied research,Department of Defense,Other defense agencies,RDT&E,Total research,Applied research,5,1096,250,551,214,49,33,0,0.05
10806,r069,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>c</sup>,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>c</sup>,,4,16631,6362,1007,8803,346,47,2,65
10806,r070,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>c</sup> -> Advanced technology,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>c</sup>,Advanced technology,5,3163,1409,499,1016,143,32,2,62
10806,r071,Department of Defense -> Other defense agencies -> RDT&E -> Total experimental development<sup>c</sup> -> Major systems,Department of Defense,Other defense agencies,RDT&E,Total experimental development<sup>c</sup>,Major systems,5,13468,4953,507,7787,204,14,0.05,3
10806,r072,Department of Defense -> Other defense agencies -> RDT&E -> Total operational system development<sup>d</sup>,Department of Defense,Other defense agencies,RDT&E,Total operational system development<sup>d</sup>,,4,7447,385,407,6538,89,25,0,3
