table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022,field_2023_preliminary_
10819,r001,All fields,All fields,,,1,93807126,99480903
10819,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,4830950,5459495
10819,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,5565684,6711960
10819,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,960358,NA
10819,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,621825,NA
10819,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,1126528,NA
10819,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,2856972,NA
10819,r008,All fields -> Life sciences,All fields,Life sciences,,2,41609665,42330253
10819,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,1267942,NA
10819,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,21327313,NA
10819,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,14706573,NA
10819,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,247345,NA
10819,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,4060493,NA
10819,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,904053,928920
10819,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,12099233,12664756
10819,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,1112508,NA
10819,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,2014370,NA
10819,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,533427,NA
10819,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,3676934,NA
10819,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,4761994,NA
10819,r021,All fields -> Psychology,All fields,Psychology,,2,4587769,4880104
10819,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,29043,NA
10819,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,48189,NA
10819,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,4510537,NA
10819,r025,All fields -> Social sciences,All fields,Social sciences,,2,1916873,2160428
10819,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,56750,NA
10819,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,245314,NA
10819,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,8114,NA
10819,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,101869,NA
10819,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,1504826,NA
10819,r031,All fields -> Engineering,All fields,Engineering,,2,15496600,16758257
10819,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,2391391,NA
10819,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,148465,NA
10819,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,748538,NA
10819,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,644269,NA
10819,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,872079,NA
10819,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,2074579,NA
10819,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,429384,NA
10819,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,546020,NA
10819,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,7641875,NA
10819,r041,All fields -> Other fields,All fields,Other fields,,2,6796301,7586730
10819,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,105617,NA
10819,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,21340,NA
10819,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,1063331,NA
10819,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,1,NA
10819,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,6229,NA
10819,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10819,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10819,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,5599782,NA
