table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10830,r001,All agencies,All agencies,,,,,1,48414424,2532975,2124657,22557759,295750,2650164,2299833,1150878,11757783,3044624
10830,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10830,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,1442986,12368,12553,1058311,5473,60265,10321,158437,53016,72243
10830,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,9865,0,0,9865,0,0,0,0,0,0
10830,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,660230,858,2905,606553,0,42387,0,1585,5942,0
10830,r006,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,87794,0,0,0,0,0,0,87794,0,0
10830,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,160583,0,2292,124396,0,2857,0,25987,5050,0
10830,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,6126,6126,0,0,0,0,0,0,0,0
10830,r009,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,517747,5383,7355,316855,5473,15022,10321,43071,42023,72243
10830,r010,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,642,0,0,642,0,0,0,0,0,0
10830,r011,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1416683,236929,623857,77275,8876,83548,0,87589,281568,17041
10830,r012,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,150213,72996,0,0,7685,0,0,69532,0,0
10830,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,506911,159911,9153,20266,989,55586,0,796,260210,0
10830,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,748259,4023,614704,57009,201,27962,0,17260,10058,17041
10830,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,11300,0,0,0,0,0,0,0,11300,0
10830,r016,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,7016251,1342523,375239,638618,39593,223757,65013,20122,3830085,481300
10830,r017,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1358129,739703,78961,150841,0,49147,12353,14435,291705,20984
10830,r018,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,134635,0,0,134056,0,0,0,0,0,579
10830,r019,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,1955684,26295,0,8634,117,15931,1,2,1896098,8605
10830,r020,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,1290220,113779,7961,199785,29350,4313,48671,0,588309,298052
10830,r021,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,1076932,123108,276485,22557,0,42384,2791,4641,567884,37083
10830,r022,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,104248,0,0,0,0,0,0,0,104248,0
10830,r023,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,1096402,339637,11832,122745,10126,111983,1197,1044,381841,115997
10830,r024,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,267496,0,0,0,0,0,0,0,0,267496
10830,r025,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,5000763,614726,71656,11787,14731,1392055,0,0,2890994,4814
10830,r026,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,201482,6122,823,10697,0,23559,0,0,160281,0
10830,r027,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,53394,0,0,0,0,0,0,0,53394,0
10830,r028,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,678802,0,0,0,0,0,0,0,678802,0
10830,r029,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,11808,0,11808,0,0,0,0,0,0,0
10830,r030,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,558637,0,53071,0,0,88823,0,0,416744,0
10830,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,2672387,587358,3563,1090,14731,1272650,0,0,792996,0
10830,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2336964,580794,0,0,0,1159282,0,0,596888,0
10830,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,191110,0,0,0,0,0,0,0,191110,0
10830,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,144313,6564,3563,1090,14731,113368,0,0,4997,0
10830,r035,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,657246,0,0,0,0,0,0,0,657246,0
10830,r036,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,16251,16251,0,0,0,0,0,0,0,0
10830,r037,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,150755,4995,2392,0,0,7023,0,0,131531,4814
10830,r038,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,25860920,36305,309542,18589078,216671,530388,2201430,675885,1694076,1607544
10830,r039,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,5228,0,0,0,0,0,0,5228,0,0
10830,r040,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,106731,0,0,0,0,0,0,106731,0,0
10830,r041,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,314345,36189,0,176074,8400,0,7799,20813,803,64267
10830,r042,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,11777,0,11777,0,0,0,0,0,0,0
10830,r043,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,2644021,0,0,2644021,0,0,0,0,0,0
10830,r044,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,460691,116,0,393960,189,2749,516,39514,20050,3597
10830,r045,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,560910,0,0,560910,0,0,0,0,0,0
10830,r046,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,32429,0,0,32429,0,0,0,0,0,0
10830,r047,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,21689271,0,297765,14781684,208082,527640,2193115,468082,1673223,1539680
10830,r048,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,35517,0,0,0,0,0,0,35517,0,0
10830,r049,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,35517,0,0,0,0,0,0,35517,0,0
10830,r050,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,258612,70789,10835,8202,0,32643,0,0,86489,49654
10830,r051,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,2243,563,3,0,0,0,0,0,1678,0
10830,r052,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,26159,6000,0,4000,0,16159,0,0,0,0
10830,r053,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,3440,2647,0,0,0,0,0,0,793,0
10830,r054,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,226771,61580,10833,4202,0,16484,0,0,84018,49654
10830,r055,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,0.05,0.05,0,0,0,0,0,0,0,0
10830,r056,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,691384,3431,354839,273934,0,6278,0,28137,20861,3904
10830,r057,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,5000,0,0,5000,0,0,0,0,0,0
10830,r058,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,8579,0,0,8579,0,0,0,0,0,0
10830,r059,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,66305,3431,42477,0,0,4854,0,11639,0,3904
10830,r060,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,17705,0,0,0,0,0,0,0,17705,0
10830,r061,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,4770,0,190,0,0,1424,0,0,3156,0
10830,r062,All agencies -> Departments -> Department of the Interior -> Fish and Wildlife Service,All agencies,Departments,Department of the Interior,Fish and Wildlife Service,,4,35000,0,0,35000,0,0,0,0,0,0
10830,r063,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,526802,0,312172,214631,0,0,0,0,0,0
10830,r064,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,27222,0,0,10724,0,0,0,16498,0,0
10830,r065,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,86014,408,0,6209,266,12306,1438,55968,531,8887
10830,r066,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,2,0,0,0,0,0,0,2,0,0
10830,r067,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,8887,0,0,0,0,0,0,0,0,8887
10830,r068,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,77125,408,0,6209,266,12306,1438,55967,531,0
10830,r069,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,3698,0,0,0,0,0,0,3698,0,0
10830,r070,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,1910,0,0,0,0,0,0,1910,0,0
10830,r071,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,1788,0,0,0,0,0,0,1788,0,0
10830,r072,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,38000,0,0,38000,0,0,0,0,0,0
10830,r073,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,806251,22083,14933,26589,6347,23292,21622,20665,647113,23606
10830,r074,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,260969,15467,14933,7580,6347,0,21622,0,175577,19443
10830,r075,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,341879,0,0,0,0,0,0,0,341879,0
10830,r076,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,21154,0,0,0,0,21154,0,0,0,0
