table_id,row_id,_b_uarc_b_full_path,_b_uarc_b_level_1,_b_uarc_b_level_2,_b_uarc_b_hierarchy_depth,field_total_r_d_and_r_d_plant,field_type_of_r_d_total_r_d,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development,field_r_d_plant
10840,r001,All UARCs,All UARCs,,1,1572684,1572684,522161,193750,856773,0
10840,r002,"All UARCs -> Georgia Institute of Technology, Georgia Tech Research Institute",All UARCs,"Georgia Institute of Technology, Georgia Tech Research Institute",2,85620,85620,30628,7410,47582,0
10840,r003,All UARCs -> Johns Hopkins University Applied Physics Laboratory,All UARCs,Johns Hopkins University Applied Physics Laboratory,2,814244,814244,200377,73265,540603,0
10840,r004,All UARCs -> Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,All UARCs,Massachusetts Institute of Technology Institute for Soldier Nanotechnologies,2,192750,192750,89243,32975,70532,0
10840,r005,All UARCs -> Pennsylvania State University Applied Research Laboratory,All UARCs,Pennsylvania State University Applied Research Laboratory,2,96361,96361,32364,8131,55866,0
10840,r006,All UARCs -> Stevens Institute of Technology Systems Engineering Research Center,All UARCs,Stevens Institute of Technology Systems Engineering Research Center,2,11842,11842,1859,1681,8302,0
10840,r007,All UARCs -> University of Alaska Geophysical Detection of Nuclear Proliferation,All UARCs,University of Alaska Geophysical Detection of Nuclear Proliferation,2,380,380,380,0,0,0
10840,r008,"All UARCs -> University of California, Santa Barbara Institute for Collaborative Biotechnologies",All UARCs,"University of California, Santa Barbara Institute for Collaborative Biotechnologies",2,52945,52945,28653,1521,22771,0
10840,r009,"All UARCs -> University of Hawaii, Manoa Applied Research Laboratory",All UARCs,"University of Hawaii, Manoa Applied Research Laboratory",2,1282,1282,1182,0,100,0
10840,r010,All UARCs -> University of Maryland College Park Applied Research Laboratory for Intelligence and Security,All UARCs,University of Maryland College Park Applied Research Laboratory for Intelligence and Security,2,53330,53330,29379,18213,5737,0
10840,r011,All UARCs -> University of Nebraska National Strategic Research Institute,All UARCs,University of Nebraska National Strategic Research Institute,2,41259,41259,15979,16128,9152,0
10840,r012,All UARCs -> University of Southern California Institute for Creative Technologies,All UARCs,University of Southern California Institute for Creative Technologies,2,41085,41085,25455,11223,4407,0
10840,r013,All UARCs -> University of Texas at Austin Applied Research Laboratories,All UARCs,University of Texas at Austin Applied Research Laboratories,2,85938,85938,30656,1459,53823,0
10840,r014,All UARCs -> University of Washington Applied Physics Laboratory,All UARCs,University of Washington Applied Physics Laboratory,2,49520,49520,33320,15798,402,0
10840,r015,All UARCs -> Utah State University Space Dynamics Laboratory,All UARCs,Utah State University Space Dynamics Laboratory,2,46129,46129,2686,5947,37496,0
