table_id,row_id,_b_type_of_r_d_b_full_path,_b_type_of_r_d_b_level_1,_b_type_of_r_d_b_level_2,_b_type_of_r_d_b_level_3,_b_type_of_r_d_b_level_4,_b_type_of_r_d_b_hierarchy_depth,field_fy_2021,field_fy_2022,field_fy_2023_preliminary_,field_percent_change_fy_2021_22,field_percent_change_fy_2022_23_preliminary_
10913,r001,Outlays for R&D and R&D plant,Outlays for R&D and R&D plant,,,,1,178.3,183.1,177.6,2.7,-3.0
10913,r002,Outlays for R&D and R&D plant -> R&D,Outlays for R&D and R&D plant,R&D,,,2,174.5,178.9,171.9,2.5,-3.9
10913,r003,Outlays for R&D and R&D plant -> R&D plant,Outlays for R&D and R&D plant,R&D plant,,,2,3.8,4.2,5.7,10.0,36.3
10913,r004,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,1,193.9,196.6,193.0,1.4,-1.8
10913,r005,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,2,189.6,190.4,186.4,0.4,-2.1
10913,r006,Obligations for R&D and R&D plant -> R&D -> Research,Obligations for R&D and R&D plant,R&D,Research,,3,85.9,93.8,99.5,9.2,6.0
10913,r007,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research,Obligations for R&D and R&D plant,R&D,Research,Basic research,4,42.3,45.4,48.5,7.4,6.8
10913,r008,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research,Obligations for R&D and R&D plant,R&D,Research,Applied research,4,43.6,48.4,51.0,11.0,5.4
10913,r009,Obligations for R&D and R&D plant -> R&D -> Experimental development,Obligations for R&D and R&D plant,R&D,Experimental development,,3,103.7,96.6,87.0,-6.8,-10.0
10913,r010,Obligations for R&D and R&D plant -> R&D plant,Obligations for R&D and R&D plant,R&D plant,,,2,4.3,6.2,6.5,44.2,5.6
