table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development,field_percentage_of_total_r_d_basic_research,field_percentage_of_total_r_d_applied_research,field_percentage_of_total_r_d_experimental_development
10944,r001,All agencies,All agencies,,1,190422,45393,48414,96615,23.8,25.4,50.7
10944,r002,All agencies -> Department of Defense ,All agencies,Department of Defense ,2,72352,3150,7016,62186,4.4,9.7,85.9
10944,r003,All agencies -> Department of Health and Human Services ,All agencies,Department of Health and Human Services ,2,74097,22411,25861,25825,30.2,34.9,34.9
10944,r004,All agencies -> Department of Energy ,All agencies,Department of Energy ,2,13697,6108,5001,2589,44.6,36.5,18.9
10944,r005,All agencies -> National Aeronautics and Space Administration ,All agencies,National Aeronautics and Space Administration ,2,11623,5058,2247,4318,43.5,19.3,37.2
10944,r006,All agencies -> National Science Foundation ,All agencies,National Science Foundation ,2,6896,5863,1033,0,85.0,15.0,0.0
10944,r007,All agencies -> Department of Commerce ,All agencies,Department of Commerce ,2,2011,273,1417,321,13.6,70.4,16.0
10944,r008,All agencies -> Department of Agriculture ,All agencies,Department of Agriculture ,2,3135,1417,1443,275,45.2,46.0,8.8
10944,r009,All agencies -> Department of Veterans Affairs ,All agencies,Department of Veterans Affairs ,2,1696,665,941,91,39.2,55.5,5.3
10944,r010,All agencies -> Department of Transportation ,All agencies,Department of Transportation ,2,1073,2,806,265,0.2,75.1,24.7
10944,r011,All agencies -> Department of the Interior ,All agencies,Department of the Interior ,2,940,94,691,155,10.0,73.5,16.5
10944,r012,All agencies -> Department of Homeland Security ,All agencies,Department of Homeland Security ,2,571,69,259,243,12.1,45.3,42.5
10944,r013,All agencies -> Environmental Protection Agency ,All agencies,Environmental Protection Agency ,2,525,0,406,119,0.0,77.3,22.7
10944,r014,All agencies -> Patient-Centered Outcomes Research Trust Fund ,All agencies,Patient-Centered Outcomes Research Trust Fund ,2,522,0,522,0,0.0,100.0,0.0
10944,r015,All agencies -> Department of Education ,All agencies,Department of Education ,2,402,32,267,102,7.9,66.6,25.5
10944,r016,All agencies -> Smithsonian Institution ,All agencies,Smithsonian Institution ,2,227,227,0,0,100.0,0.0,0.0
10944,r017,All agencies -> Agency for International Development ,All agencies,Agency for International Development ,2,221,0,153,68,0.0,69.3,30.7
10944,r018,All agencies -> Department of Justice ,All agencies,Department of Justice ,2,111,17,86,8,15.2,77.4,7.4
10944,r019,All agencies -> Social Security Administration ,All agencies,Social Security Administration ,2,79,0,79,0,0.0,100.0,0.0
10944,r020,All agencies -> All other agencies,All agencies,All other agencies,2,243,7,187,49,2.9,76.8,20.3
