table_id,row_id,state,all_r_d,paid_for_by_the_company,paid_for_by_others
10976,r001,United States,"['602,499', '  ']","['527,804', '  ']","['74,695', '  ']"
10976,r002,Alabama,"['2,910', '  ']","['1,383', '  ']","['1,528', 'i ']"
10976,r003,Alaska,"['207', 'i ']","['188', 'i ']","['18', '  ']"
10976,r004,Arizona,"['9,386', '  ']","['6,947', '  ']","['2,440', 'i ']"
10976,r005,Arkansas,"['497', '  ']","['452', '  ']","['45', '  ']"
10976,r006,California,"['211,615', '  ']","['199,157', '  ']","['12,458', '  ']"
10976,r007,Colorado,"['8,098', '  ']","['7,213', '  ']","['886', '  ']"
10976,r008,Connecticut,"['8,429', '  ']","['6,887', '  ']","['1,543', '  ']"
10976,r009,Delaware,"['3,592', '  ']","['2,137', '  ']","['1,455', '  ']"
10976,r010,District of Columbia,"['744', '  ']","['652', '  ']","['92', '  ']"
10976,r011,Florida,"['9,688', '  ']","['7,545', '  ']","['2,143', '  ']"
10976,r012,Georgia,"['6,448', '  ']","['5,249', '  ']","['1,199', 'i ']"
10976,r013,Hawaii,"['409', '  ']","['372', 'i ']","['38', '  ']"
10976,r014,Idaho,"['2,258', '  ']","['2,203', '  ']","['54', '  ']"
10976,r015,Illinois,"['16,485', '  ']","['15,398', '  ']","['1,087', '  ']"
10976,r016,Indiana,"['9,514', 'i ']","['7,888', 'i ']","['1,627', '  ']"
10976,r017,Iowa,"['3,045', '  ']","['2,338', '  ']","['707', 'i ']"
10976,r018,Kansas,"['2,748', '  ']","['1,960', '  ']","['788', 'i ']"
10976,r019,Kentucky,"['1,486', '  ']","['897', '  ']","['590', '  ']"
10976,r020,Louisiana,"['530', '  ']","['444', '  ']","['86', '  ']"
10976,r021,Maine,"['499', '  ']","['444', '  ']","['55', '  ']"
10976,r022,Maryland,"['6,432', '  ']","['4,550', '  ']","['1,882', '  ']"
10976,r023,Massachusetts,"['39,749', '  ']","['33,937', '  ']","['5,812', '  ']"
10976,r024,Michigan,"['22,381', '  ']","['19,420', '  ']","['2,962', '  ']"
10976,r025,Minnesota,"['8,248', '  ']","['7,754', '  ']","['494', '  ']"
10976,r026,Mississippi,"['343', '  ']","['307', '  ']","['36', '  ']"
10976,r027,Missouri,"['7,060', '  ']","['4,927', '  ']","['2,133', 'i ']"
10976,r028,Montana,"['261', '  ']","['237', '  ']","['24', '  ']"
10976,r029,Nebraska,"['1,067', '  ']","['1,004', '  ']","['62', '  ']"
10976,r030,Nevada,"['1,033', '  ']","['757', '  ']","['276', '  ']"
10976,r031,New Hampshire,"['3,183', '  ']","['1,461', '  ']","['1,723', '  ']"
10976,r032,New Jersey,"['25,049', '  ']","['20,091', '  ']","['4,958', '  ']"
10976,r033,New Mexico,"['1,693', '  ']","['1,351', '  ']","['342', '  ']"
10976,r034,New York,"['26,319', '  ']","['23,939', '  ']","['2,379', '  ']"
10976,r035,North Carolina,"['15,490', '  ']","['9,812', '  ']","['5,678', 'i ']"
10976,r036,North Dakota,"['343', '  ']","['330', '  ']","['12', '  ']"
10976,r037,Ohio,"['11,545', '  ']","['7,814', '  ']","['3,730', '  ']"
10976,r038,Oklahoma,"['1,056', '  ']","['969', '  ']","['87', '  ']"
10976,r039,Oregon,"['11,292', '  ']","['10,954', '  ']","['338', '  ']"
10976,r040,Pennsylvania,"['17,555', '  ']","['14,541', '  ']","['3,014', 'i ']"
10976,r041,Rhode Island,"['837', '  ']","['689', '  ']","['149', 'i ']"
10976,r042,South Carolina,"['1,857', '  ']","['1,601', '  ']","['256', '  ']"
10976,r043,South Dakota,"['221', '  ']","['213', '  ']","['8', '  ']"
10976,r044,Tennessee,"['2,776', 'i ']","['1,802', '  ']","['974', 'i ']"
10976,r045,Texas,"['28,264', '  ']","['24,495', '  ']","['3,770', 'i ']"
10976,r046,Utah,"['3,962', '  ']","['3,730', '  ']","['232', '  ']"
10976,r047,Vermont,"['456', '  ']","['434', '  ']","['22', '  ']"
10976,r048,Virginia,"['8,179', '  ']","['6,330', '  ']","['1,849', '  ']"
10976,r049,Washington,"['49,083', '  ']","['47,644', '  ']","['1,440', '  ']"
10976,r050,West Virginia,"['522', 'i ']","['435', 'i ']","['86', '  ']"
10976,r051,Wisconsin,"['6,781', '  ']","['5,723', '  ']","['1,058', '  ']"
10976,r052,Wyoming,"['93', '  ']","['88', '  ']","['5', 'i ']"
10976,r053,Undistributed fundsa,"['780', '  ']","['712', '  ']","['67', '  ']"
