table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_nonprofit,field_higher_educationa_other,field_other_nonprofit_institutions_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
1106,r001,U.S. total<sup>g</sup>,U.S. total<sup>g</sup>,,1,515305,na,,31715,19424,19059,365,374685,306611,44302,23772,67813,34677,3953,4042,18462,4548,2131,6641,651,18707200,na,2.75,na
1106,r002,States total<sup>g</sup>,States total<sup>g</sup>,,1,495173,na,,29813,19220,18856,364,367516,312064,31527,20789,71683,38682,4022,4205,17947,4614,2213,6310,631,18509999,na,2.68,na
1106,r003,States total<sup>g</sup> -> Alabama,States total<sup>g</sup>,Alabama,2,5052,25,,2360,0,0,0,1694,868,145,681,950,558,59,61,231,30,11,37,11,204201,27,2.47,18
1106,r004,States total<sup>g</sup> -> Alaska,States total<sup>g</sup>,Alaska,2,303,49,,89,0,0,0,34,27,3,4,167,104,9,5,47,2,1,5,8,50542,47,0.6,47
1106,r005,States total<sup>g</sup> -> Arizona,States total<sup>g</sup>,Arizona,2,8040,17,,341,25,22,3,6472,4743,900,829,1162,499,59,32,396,58,118,34,6,304357,21,2.64,15
1106,r006,States total<sup>g</sup> -> Arkansas,States total<sup>g</sup>,Arkansas,2,701,42,,28,0,0,0,366,340,22,4,298,105,63,12,90,3,26,8,1,121275,35,0.58,49
1106,r007,States total<sup>g</sup> -> California,States total<sup>g</sup>,California,2,135129,1,,2246,5393,5282,111,117569,105769,6300,5500,8889,4749,358,570,1774,859,578,937,95,2619639,1,5.16,4
1106,r008,States total<sup>g</sup> -> Colorado,States total<sup>g</sup>,Colorado,2,6874,22,,509,540,493,47,4355,3542,265,549,1379,1003,50,75,124,101,25,84,8,323762,19,2.12,24
1106,r009,States total<sup>g</sup> -> Connecticut,States total<sup>g</sup>,Connecticut,2,9295,15,,87,0,0,0,7987,6101,342,1544,1176,660,14,73,334,84,11,24,21,257038,23,3.62,7
1106,r010,States total<sup>g</sup> -> Delaware,States total<sup>g</sup>,Delaware,2,2285,33,,7,0,0,0,2069,1463,598,7,198,128,11,6,43,7,2,10,2,70927,42,3.22,10
1106,r011,States total<sup>g</sup> -> District of Columbia,States total<sup>g</sup>,District of Columbia,2,3516,29,,2320,7,7,0,328,230,21,76,556,301,5,15,162,56,18,304,1,125871,34,2.79,14
1106,r012,States total<sup>g</sup> -> Florida,States total<sup>g</sup>,Florida,2,9781,13,,789,0,0,0,6273,4441,623,1209,2527,1123,209,112,896,125,61,148,44,930375,4,1.05,36
1106,r013,States total<sup>g</sup> -> Georgia,States total<sup>g</sup>,Georgia,2,7659,18,,211,0,0,0,5245,4273,877,95,2180,1262,57,118,620,105,18,20,2,532657,9,1.44,32
1106,r014,States total<sup>g</sup> -> Hawaii,States total<sup>g</sup>,Hawaii,2,553,43,,60,0,0,0,164,114,38,11,318,202,15,6,80,12,3,9,2,84904,39,0.65,45
1106,r015,States total<sup>g</sup> -> Idaho,States total<sup>g</sup>,Idaho,2,2304,32,,28,522,504,17,1590,1398,185,7,155,80,34,4,31,2,3,2,7,68616,43,3.36,8
1106,r016,States total<sup>g</sup> -> Illinois,States total<sup>g</sup>,Illinois,2,17495,9,,245,1057,1026,31,13733,11822,1163,748,2401,1406,47,142,617,158,32,58,1,796906,5,2.2,22
1106,r017,States total<sup>g</sup> -> Indiana,States total<sup>g</sup>,Indiana,2,7442,19,,81,0,0,0,5949,4988,853,108,1410,570,92,80,522,120,26,1,1,345207,16,2.16,23
1106,r018,States total<sup>g</sup> -> Iowa,States total<sup>g</sup>,Iowa,2,3787,28,,59,47,46,1,2862,2225,,,814,369,52,48,312,29,3,1,4,186200,29,2.03,26
1106,r019,States total<sup>g</sup> -> Kansas,States total<sup>g</sup>,Kansas,2,2790,30,,19,0,0,0,2204,1469,703,32,559,222,79,53,177,24,3,5,3,154806,32,1.8,29
1106,r020,States total<sup>g</sup> -> Kentucky,States total<sup>g</sup>,Kentucky,2,1650,35,,20,0,0,0,1070,752,53,265,556,240,59,20,177,25,35,3,2,195527,28,0.84,41
1106,r021,States total<sup>g</sup> -> Louisiana,States total<sup>g</sup>,Louisiana,2,1025,39,,53,0,0,0,274,228,28,17,683,271,98,31,229,40,14,2,13,237598,24,0.43,51
1106,r022,States total<sup>g</sup> -> Maine,States total<sup>g</sup>,Maine,2,483,45,,13,0,0,0,290,261,8,21,100,48,19,3,27,3,1,76,3,59475,44,0.81,42
1106,r023,States total<sup>g</sup> -> Maryland,States total<sup>g</sup>,Maryland,2,21730,7,,11013,830,830,0,5676,3335,464,1877,3800,2963,62,104,472,182,17,411,0.05,380805,15,5.71,3
1106,r024,States total<sup>g</sup> -> Massachusetts,States total<sup>g</sup>,Massachusetts,2,28941,2,,397,1626,1619,7,21560,18084,2843,633,3797,2165,53,280,806,343,150,1549,13,505689,11,5.72,2
1106,r025,States total<sup>g</sup> -> Michigan,States total<sup>g</sup>,Michigan,2,21803,6,,448,0,0,0,18847,17454,1188,205,2468,1287,51,102,886,98,45,38,1,486874,13,4.48,6
1106,r026,States total<sup>g</sup> -> Minnesota,States total<sup>g</sup>,Minnesota,2,8370,16,,44,0,0,0,7084,6601,265,219,961,486,72,34,309,17,43,279,2,338746,17,2.47,19
1106,r027,States total<sup>g</sup> -> Mississippi,States total<sup>g</sup>,Mississippi,2,920,40,,243,0,0,0,222,198,12,12,455,207,96,24,120,6,2,0.05,0.05,109034,37,0.84,40
1106,r028,States total<sup>g</sup> -> Missouri,States total<sup>g</sup>,Missouri,2,7204,21,,96,0,0,0,5958,3466,,,1119,625,8,97,296,80,15,23,8,297074,22,2.43,20
1106,r029,States total<sup>g</sup> -> Montana,States total<sup>g</sup>,Montana,2,394,47,,51,0,0,0,140,121,14,5,195,112,16,4,53,4,6,6,3,46478,49,0.85,39
1106,r030,States total<sup>g</sup> -> Nebraska,States total<sup>g</sup>,Nebraska,2,1129,38,,35,0,0,0,604,491,43,71,481,190,65,30,162,18,17,8,0.05,118945,36,0.95,38
1106,r031,States total<sup>g</sup> -> Nevada,States total<sup>g</sup>,Nevada,2,789,41,,23,0,0,0,574,412,141,21,191,98,24,3,58,2,6,1,0.05,148216,33,0.53,50
1106,r032,States total<sup>g</sup> -> New Hampshire,States total<sup>g</sup>,New Hampshire,2,2344,31,,42,0,0,0,1919,767,265,886,380,234,5,15,104,15,7,3,0.05,77843,40,3.01,12
1106,r033,States total<sup>g</sup> -> New Jersey,States total<sup>g</sup>,New Jersey,2,17564,8,,581,82,81,1,15715,12902,2547,266,1158,608,99,43,333,64,11,27,2,576228,8,3.05,11
