table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
11214,r001,All states and outlying areas,All states and outlying areas,,1,31158783,30562878,31648932,32439651,35303818,38084444,39122152,43222829,44628417
11214,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,2,402625,422018,401759,398795,489338,540544,531815,581957,624060
11214,r003,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,2,82629,77383,79941,91348,89975,115684,128043,123875,112394
11214,r004,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,2,378079,370620,394092,403357,435199,482711,479451,603521,645465
11214,r005,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,2,76218,83253,124245,75749,89078,112668,119108,154659,166656
11214,r006,All states and outlying areas -> California,All states and outlying areas,California,2,4286899,4175558,4308145,4399064,4743954,4906329,5060428,5802921,6097377
11214,r007,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,2,675391,712445,722559,706245,824608,811513,858984,960172,1203788
11214,r008,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,2,549775,530242,583475,584341,637936,688353,739927,858540,850709
11214,r009,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,2,103641,85192,110931,130429,122174,138647,136654,254296,178295
11214,r010,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,2,569120,548438,594589,504851,634445,498906,505319,469641,599707
11214,r011,All states and outlying areas -> Florida,All states and outlying areas,Florida,2,697312,807360,781592,863410,866341,1005065,988763,1126801,1216533
11214,r012,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,2,913948,973143,760343,1072876,1177291,1377691,1554936,1235838,1355535
11214,r013,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,2,174657,144257,158276,144456,158741,172601,150598,200470,156569
11214,r014,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,2,48884,60216,53125,55869,59033,71398,75732,83522,92061
11214,r015,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,2,1165821,1163027,1205503,1191520,1275438,1419238,1470064,1634531,1646088
11214,r016,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,2,456563,473358,467292,486491,518485,612549,629411,721074,679480
11214,r017,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,2,306501,302734,299278,283441,313362,312626,366818,371343,472468
11214,r018,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,2,166680,177239,179133,200043,218511,254813,221467,276604,287199
11214,r019,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,2,219035,231079,235612,229711,266194,296526,320973,352277,349323
11214,r020,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,2,201366,190860,206825,203264,211122,253580,271169,307921,346387
11214,r021,All states and outlying areas -> Maine,All states and outlying areas,Maine,2,38498,43097,38748,31709,53131,68889,60489,74521,83967
