table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r001,All institutions,All institutions,,1,-,44628417,41303924,512849,17885,1942928,850831
11232,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1,1800816,1753812,5500,0,39273,2231
11232,r003,All institutions -> U. Washington,All institutions,U. Washington,2,2,928382,873274,1033,0,51354,2721
11232,r004,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,3,879536,848318,5424,33,22031,3730
11232,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,876442,836277,0,0,40165,0
11232,r006,All institutions -> U. Michigan,All institutions,U. Michigan,2,5,865049,827701,8579,325,26810,1633
11232,r007,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,6,836411,803388,4346,0,23024,5653
11232,r008,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,7,798189,754809,2540,0,38811,2028
11232,r009,All institutions -> Stanford U.,All institutions,Stanford U.,2,8,796224,778508,0,0,16777,939
11232,r010,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,9,772399,737138,11119,482,20678,2982
11232,r011,All institutions -> Duke U.,All institutions,Duke U.,2,10,762635,745052,3447,0,13536,600
11232,r012,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,11,761096,723114,375,0,37174,432
11232,r013,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,12,756368,737785,0,0,16012,2572
11232,r014,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,13,671317,643672,0,0,25564,2081
11232,r015,"All institutions -> U. North Carolina, The, Chapel Hill",All institutions,"U. North Carolina, The, Chapel Hill",2,14,659585,623747,1386,0,31918,2535
11232,r016,All institutions -> Yale U.,All institutions,Yale U.,2,15,629061,598880,2500,0,23133,4547
11232,r017,All institutions -> U. Minnesota,All institutions,U. Minnesota,2,16,626803,570913,677,0,27885,27328
11232,r018,All institutions -> Emory U.,All institutions,Emory U.,2,17,583544,563391,0,0,19649,505
11232,r019,"All institutions -> Cornell U., Ithaca",All institutions,"Cornell U., Ithaca",2,18,583368,532256,16215,345,16547,18006
11232,r020,All institutions -> Vanderbilt U.,All institutions,Vanderbilt U.,2,19,574810,532130,7975,0,31510,3195
11232,r021,"All institutions -> Northwestern U., Evanston",All institutions,"Northwestern U., Evanston",2,20,562562,534700,697,0,21413,5753
11232,r022,All institutions -> New York U.,All institutions,New York U.,2,21,523279,509567,3327,0,9943,442
11232,r023,All institutions -> Pennsylvania State U.,All institutions,Pennsylvania State U.,2,22,503380,469628,1871,200,12362,19319
11232,r024,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,23,474110,462027,2314,0,9768,0
11232,r025,All institutions -> U. Southern California,All institutions,U. Southern California,2,24,470720,458530,0,0,9818,2372
11232,r026,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,25,463593,430747,7285,0,24812,749
11232,r027,All institutions -> Harvard U.,All institutions,Harvard U.,2,26,463557,439764,421,0,23101,272
11232,r028,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,27,446899,439656,1161,156,5922,4
11232,r029,"All institutions -> Ohio State U., The",All institutions,"Ohio State U., The",2,28,433275,399476,1236,0,13418,19146
11232,r030,All institutions -> U. Florida,All institutions,U. Florida,2,29,426291,392174,982,300,11706,21129
11232,r031,All institutions -> Baylor C. Medicine,All institutions,Baylor C. Medicine,2,30,413912,401169,0,0,8650,4093
11232,r032,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,31,399989,379098,536,0,13421,6934
11232,r033,All institutions -> Boston U.,All institutions,Boston U.,2,32,379854,366643,1376,0,10830,1006
