table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_doc,field_doda,field_doe,field_doi,field_dot,field_ed,field_hhs,field_nasa,field_nsf,field_ssa,field_usda
11236,r001,All HBCUs,All HBCUs,,1,-,497724,334,55283,17331,178,571,2873,149413,6685,89701,62,175293
11236,r002,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,1,42709,0,0,0,0,0,0,36035,0,0,0,6674
11236,r003,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,2,39458,0,10169,5736,0,0,0,2849,1446,5441,0,13816
11236,r004,All HBCUs -> Howard U.<sup>b</sup>,All HBCUs,Howard U.<sup>b</sup>,2,3,32312,235,10148,1503,29,0,60,13340,363,6609,25,0
11236,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,29280,0,740,0,0,0,0,27699,0,841,0,0
11236,r006,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,5,22998,0,2244,1525,0,0,0,0,92,1992,0,17145
11236,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,22483,0,1471,5106,0,0,0,8308,0,2162,0,5436
11236,r008,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,7,22288,0,2518,0,0,0,0,5841,0,5820,0,8108
11236,r009,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,8,21869,0,10308,1480,24,0,0,5577,690,3791,0,0
11236,r010,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,9,20111,0,248,0,0,129,0,726,0,3131,0,15877
11236,r011,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,10,14867,0,600,0,0,0,0,0,0,0,0,14267
11236,r012,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,11,14298,0,357,0,0,174,0,2432,0,2227,0,9108
11236,r013,All HBCUs -> Virginia State U.<sup>b</sup>,All HBCUs,Virginia State U.<sup>b</sup>,2,12,13203,0,2043,0,0,0,0,258,0,1439,0,9463
11236,r014,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,13,13044,0,727,225,0,0,0,9973,0,2119,0,0
11236,r015,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,14,12179,0,274,0,0,0,0,103,0,4342,0,7460
11236,r016,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,15,12053,0,362,0,0,0,0,654,0,650,0,10387
11236,r017,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,16,11915,0,0,0,0,0,0,0,0,177,0,11737
11236,r018,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,17,11016,0,0,0,0,0,0,0,0,350,0,10666
11236,r019,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,18,10916,0,1479,0,0,0,0,0,0,1110,0,8327
11236,r020,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,19,10898,0,0,0,0,0,0,0,0,55,0,10843
11236,r021,All HBCUs -> U. Virgin Islands,All HBCUs,U. Virgin Islands,2,20,10796,0,152,0,125,0,0,549,63,7852,0,2055
11236,r022,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,21,10671,0,1055,0,0,0,0,9009,0,608,0,0
11236,r023,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,22,9669,0,1200,0,0,0,0,1225,0,399,0,6845
11236,r024,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,23,9553,100,814,1099,0,0,0,5053,0,2487,0,0
11236,r025,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,24,8769,0,993,0,0,0,0,2474,0,5257,0,45
11236,r026,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,25,8295,0,203,0,0,0,0,7312,144,561,0,75
11236,r027,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,26,7607,0,799,452,0,0,0,1704,3828,824,0,0
11236,r028,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,27,6686,0,1199,0,0,0,0,0,0,5487,0,0
11236,r029,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,28,6301,0,0,0,0,0,0,520,0,0,0,5781
11236,r030,All HBCUs -> U. District of Columbia,All HBCUs,U. District of Columbia,2,29,5569,0,1246,0,0,0,0,375,0,2998,0,950
11236,r031,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,30,5371,0,0,0,0,0,0,0,0,5371,0,0
11236,r032,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,31,4971,0,111,0,0,0,0,255,0,4605,0,0
11236,r033,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,32,3582,0,0,0,0,0,0,1134,0,2411,37,0
11236,r034,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,33,3273,0,0,150,0,0,0,2019,60,1044,0,0
11236,r035,All HBCUs -> Voorhees C.,All HBCUs,Voorhees C.,2,34,2813,0,0,0,0,0,2813,0,0,0,0,0
11236,r036,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,35,2457,0,420,0,0,0,0,1425,0,612,0,0
