table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies_number_,field_core_production,field_distribution_and_logistics,field_marketing_sales_or_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
11265,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['13.4', '&nbsp;']","['10.9', '&nbsp;']","['12.5', '&nbsp;']","['10.6', '&nbsp;']","['2.6', '&nbsp;']","['4.6', '&nbsp;']","['8.9', '&nbsp;']","['9.2', '&nbsp;']"
11265,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11265,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['11.9', '&nbsp;']","['8.9', '&nbsp;']","['10.6', '&nbsp;']","['10.2', '&nbsp;']","['2.3', '&nbsp;']","['3.6', '&nbsp;']","['6.6', '&nbsp;']","['8.4', '&nbsp;']"
11265,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['14.7', '&nbsp;']","['11.3', '&nbsp;']","['13.2', '&nbsp;']","['10.6', '&nbsp;']","['2.4', '&nbsp;']","['4.6', '&nbsp;']","['9.0', '&nbsp;']","['9.3', '&nbsp;']"
11265,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11265,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['15.4', '&nbsp;']","['13.2', '&nbsp;']","['14.8', '&nbsp;']","['10.6', '&nbsp;']","['2.8', '&nbsp;']","['5.5', '&nbsp;']","['11.8', '&nbsp;']","['10.0', '&nbsp;']"
11265,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['15.6', '&nbsp;']","['15.6', '&nbsp;']","['16.6', '&nbsp;']","['11.6', '&nbsp;']","['3.3', '&nbsp;']","['6.5', '&nbsp;']","['14.6', '&nbsp;']","['10.6', '&nbsp;']"
11265,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11265,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['17.0', '&nbsp;']","['18.5', '&nbsp;']","['18.2', '&nbsp;']","['11.9', '&nbsp;']","['4.4', '&nbsp;']","['10.0', '&nbsp;']","['18.4', '&nbsp;']","['12.9', '&nbsp;']"
11265,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['17.9', '&nbsp;']","['22.1', '&nbsp;']","['20.0', '&nbsp;']","['13.6', '&nbsp;']","['6.0', '&nbsp;']","['11.4', '&nbsp;']","['22.0', '&nbsp;']","['15.8', '&nbsp;']"
