table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_manufacturing_activity_number_yes,field_manufacturing_activity_number_no,field_manufacturing_activity_percent_yes,field_manufacturing_activity_percent_no
11269,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['460,226', '&nbsp;']","['4,414,702', '&nbsp;']","['9.4', '&nbsp;']","['90.6', '&nbsp;']"
11269,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11269,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['183,062', '&nbsp;']","['2,551,129', '&nbsp;']","['6.7', '&nbsp;']","['93.3', '&nbsp;']"
11269,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['100,155', '&nbsp;']","['850,393', '&nbsp;']","['10.5', '&nbsp;']","['89.5', '&nbsp;']"
11269,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11269,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['75,481', '&nbsp;']","['501,916', '&nbsp;']","['13.1', '&nbsp;']","['86.9', '&nbsp;']"
11269,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['59,519', '&nbsp;']","['340,047', '&nbsp;']","['14.9', '&nbsp;']","['85.1', '&nbsp;']"
11269,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11269,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['19,891', '&nbsp;']","['95,700', '&nbsp;']","['17.2', '&nbsp;']","['82.8', '&nbsp;']"
11269,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['14,066', '&nbsp;']","['49,903', '&nbsp;']","['22.0', '&nbsp;']","['78.0', '&nbsp;']"
11269,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11269,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['3,853', '&nbsp;']","['14,271', '&nbsp;']","['21.3', '&nbsp;']","['78.7', '&nbsp;']"
11269,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['1,906', '&nbsp;']","['5,762', '&nbsp;']","['24.9', '&nbsp;']","['75.1', '&nbsp;']"
11269,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['1,617', '&nbsp;']","['4,393', '&nbsp;']","['26.9', '&nbsp;']","['73.1', '&nbsp;']"
11269,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['348', '&nbsp;']","['634', '&nbsp;']","['35.4', 'r']","['64.6', '&nbsp;']"
11269,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['196', '&nbsp;']","['320', '&nbsp;']","['38.0', '&nbsp;']","['62.0', '&nbsp;']"
11269,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['128', '&nbsp;']","['244', '&nbsp;']","['34.4', '&nbsp;']","['65.6', '&nbsp;']"
