table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
11280,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['1,592,797', '&nbsp;']","['769,995', '&nbsp;']","['822,802', '&nbsp;']"
11280,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['468,129', '&nbsp;']","['176,297', '&nbsp;']","['291,832', '&nbsp;']"
11280,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['64,892', '&nbsp;']","['19,682', '&nbsp;']","['45,210', '&nbsp;']"
11280,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['23,992', '&nbsp;']","['9,878', '&nbsp;']","['14,114', '&nbsp;']"
11280,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['21,702', '&nbsp;']","['6,509', '&nbsp;']","['15,193', '&nbsp;']"
11280,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['1,760', '&nbsp;']","['867', '&nbsp;']","['893', '&nbsp;']"
11280,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['53,377', '&nbsp;']","['23,417', '&nbsp;']","['29,960', '&nbsp;']"
11280,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['879', '&nbsp;']","['468', '&nbsp;']","['411', '&nbsp;']"
11280,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['15,917', '&nbsp;']","['5,940', '&nbsp;']","['9,977', '&nbsp;']"
11280,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['2,855', '&nbsp;']","['1,097', '&nbsp;']","['1,758', '&nbsp;']"
11280,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['13,062', '&nbsp;']","['4,843', '&nbsp;']","['8,219', '&nbsp;']"
11280,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['9,913', '&nbsp;']","['3,920', '&nbsp;']","['5,993', '&nbsp;']"
