table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_2019_all_companies_number_,field_2019_product_innovation_,field_2019_no_product_innovation_,field_2020_all_companies_number_,field_2020_product_innovation_,field_2020_no_product_innovation_,field_2021_all_companies_number_,field_2021_product_innovation_,field_2021_no_product_innovation_
11295,r001,All companies,All companies,,,1,"['    4,857,473 ', '&nbsp;']","['    10.9 ', '&nbsp;']","['    89.1 ', '&nbsp;']","['4,865,616', '&nbsp;']","['9.0', '&nbsp;']","['91.0', '&nbsp;']","['4,874,928', '&nbsp;']","['9.4', '&nbsp;']","['90.6', '&nbsp;']"
11295,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11295,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,701,088 ', '&nbsp;']","['    10.0 ', '&nbsp;']","['    90.0 ', '&nbsp;']","['2,735,868', '&nbsp;']","['7.8', '&nbsp;']","['92.2', '&nbsp;']","['2,734,191', '&nbsp;']","['8.4', '&nbsp;']","['91.6', '&nbsp;']"
11295,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    946,725 ', '&nbsp;']","['    11.9 ', '&nbsp;']","['    88.1 ', '&nbsp;']","['937,171', '&nbsp;']","['9.5', '&nbsp;']","['90.5', '&nbsp;']","['950,548', '&nbsp;']","['10.1', '&nbsp;']","['89.9', '&nbsp;']"
11295,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11295,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    590,193 ', '&nbsp;']","['    12.8 ', '&nbsp;']","['    87.2 ', '&nbsp;']","['587,934', '&nbsp;']","['10.5', '&nbsp;']","['89.5', '&nbsp;']","['577,397', '&nbsp;']","['11.1', '&nbsp;']","['88.9', '&nbsp;']"
11295,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    401,365 ', '&nbsp;']","['    11.3 ', '&nbsp;']","['    88.7 ', '&nbsp;']","['393,667', '&nbsp;']","['11.3', '&nbsp;']","['88.7', '&nbsp;']","['399,566', '&nbsp;']","['11.3', '&nbsp;']","['88.7', '&nbsp;']"
11295,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11295,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    118,677 ', '&nbsp;']","['    12.0 ', '&nbsp;']","['    88.0 ', '&nbsp;']","['113,856', '&nbsp;']","['13.5', '&nbsp;']","['86.5', '&nbsp;']","['115,591', '&nbsp;']","['10.4', '&nbsp;']","['89.6', '&nbsp;']"
11295,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    64,454 ', '&nbsp;']","['    12.0 ', '&nbsp;']","['    88.0 ', '&nbsp;']","['64,375', '&nbsp;']","['15.8', '&nbsp;']","['84.2', '&nbsp;']","['63,969', '&nbsp;']","['11.8', '&nbsp;']","['88.2', '&nbsp;']"
