table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_hierarchy_depth,field_all_s_e_graduate_students_total,field_all_s_e_graduate_students_full_time,field_all_s_e_graduate_students_part_time,field_female_total,field_female_full_time,field_female_part_time,field_male_total,field_male_full_time,field_male_part_time
1131,r001,S&E,S&E,,,,1,620489,462973,157516,261575,193877,67698,358914,269096,89818
1131,r002,S&E -> Science,S&E,Science,,,2,452046,334770,117276,220220,161197,59023,231826,173573,58253
1131,r003,S&E -> Science -> Agricultural sciences,S&E,Science,Agricultural sciences,,3,18284,12806,5478,9560,6811,2749,8724,5995,2729
1131,r004,S&E -> Science -> Biological sciences,S&E,Science,Biological sciences,,3,79146,65549,13597,45218,36684,8534,33928,28865,5063
1131,r005,S&E -> Science -> Biological sciences -> Anatomy,S&E,Science,Biological sciences,Anatomy,4,448,424,24,246,232,14,202,192,10
1131,r006,S&E -> Science -> Biological sciences -> Biochemistry,S&E,Science,Biological sciences,Biochemistry,4,4481,4060,421,2184,1978,206,2297,2082,215
1131,r007,S&E -> Science -> Biological sciences -> Biology,S&E,Science,Biological sciences,Biology,4,16380,11800,4580,9330,6458,2872,7050,5342,1708
1131,r008,S&E -> Science -> Biological sciences -> Biometry and epidemiology,S&E,Science,Biological sciences,Biometry and epidemiology,4,9007,7035,1972,5345,4155,1190,3662,2880,782
1131,r009,S&E -> Science -> Biological sciences -> Biophysics,S&E,Science,Biological sciences,Biophysics,4,941,923,18,323,316,7,618,607,11
1131,r010,S&E -> Science -> Biological sciences -> Botany and plant biology,S&E,Science,Biological sciences,Botany and plant biology,4,1820,1650,170,906,821,85,914,829,85
1131,r011,S&E -> Science -> Biological sciences -> Cell and molecular biology,S&E,Science,Biological sciences,Cell and molecular biology,4,6535,6073,462,3577,3318,259,2958,2755,203
1131,r012,S&E -> Science -> Biological sciences -> Ecology,S&E,Science,Biological sciences,Ecology,4,1396,1048,348,782,589,193,614,459,155
1131,r013,S&E -> Science -> Biological sciences -> Entomology and parasitology,S&E,Science,Biological sciences,Entomology and parasitology,4,1171,1032,139,581,509,72,590,523,67
