table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
11314,r001,2001,Total,All R&D expenditures,,2,10071
11314,r002,2001,Total,Basic research,Amount,3,3875
11314,r003,2001,Total,Basic research,Percent,3,38.5
11314,r004,2001,Total,Applied research,Amount,3,na
11314,r005,2001,Total,Applied research,Percent,3,na
11314,r006,2001,Total,Experimental development,Amount,3,na
11314,r007,2001,Total,Experimental development,Percent,3,na
11314,r008,2001,Federally financed,All R&D expenditures,,2,9709
11314,r009,2001,Federally financed,Basic research,Amount,3,3726
11314,r010,2001,Federally financed,Basic research,Percent,3,38.4
11314,r011,2001,Federally financed,Applied research,Amount,3,na
11314,r012,2001,Federally financed,Applied research,Percent,3,na
11314,r013,2001,Federally financed,Experimental development,Amount,3,na
11314,r014,2001,Federally financed,Experimental development,Percent,3,na
11314,r015,2002,Total,All R&D expenditures,,2,11536
11314,r016,2002,Total,Basic research,Amount,3,4744
11314,r017,2002,Total,Basic research,Percent,3,41.1
11314,r018,2002,Total,Applied research,Amount,3,na
11314,r019,2002,Total,Applied research,Percent,3,na
11314,r020,2002,Total,Experimental development,Amount,3,na
11314,r021,2002,Total,Experimental development,Percent,3,na
11314,r022,2002,Federally financed,All R&D expenditures,,2,11095
11314,r023,2002,Federally financed,Basic research,Amount,3,4523
11314,r024,2002,Federally financed,Basic research,Percent,3,40.8
11314,r025,2002,Federally financed,Applied research,Amount,3,na
11314,r026,2002,Federally financed,Applied research,Percent,3,na
11314,r027,2002,Federally financed,Experimental development,Amount,3,na
11314,r028,2002,Federally financed,Experimental development,Percent,3,na
11314,r029,2003,Total,All R&D expenditures,,2,12127
11314,r030,2003,Total,Basic research,Amount,3,5122
11314,r031,2003,Total,Basic research,Percent,3,42.2
11314,r032,2003,Total,Applied research,Amount,3,na
11314,r033,2003,Total,Applied research,Percent,3,na
11314,r034,2003,Total,Experimental development,Amount,3,na
11314,r035,2003,Total,Experimental development,Percent,3,na
11314,r036,2003,Federally financed,All R&D expenditures,,2,11681
11314,r037,2003,Federally financed,Basic research,Amount,3,4880
11314,r038,2003,Federally financed,Basic research,Percent,3,41.8
11314,r039,2003,Federally financed,Applied research,Amount,3,na
11314,r040,2003,Federally financed,Applied research,Percent,3,na
11314,r041,2003,Federally financed,Experimental development,Amount,3,na
11314,r042,2003,Federally financed,Experimental development,Percent,3,na
11314,r043,2004,Total,All R&D expenditures,,2,12632
11314,r044,2004,Total,Basic research,Amount,3,4931
11314,r045,2004,Total,Basic research,Percent,3,39.0
11314,r046,2004,Total,Applied research,Amount,3,na
11314,r047,2004,Total,Applied research,Percent,3,na
11314,r048,2004,Total,Experimental development,Amount,3,na
11314,r049,2004,Total,Experimental development,Percent,3,na
11314,r050,2004,Federally financed,All R&D expenditures,,2,12322
11314,r051,2004,Federally financed,Basic research,Amount,3,4790
11314,r052,2004,Federally financed,Basic research,Percent,3,38.9
11314,r053,2004,Federally financed,Applied research,Amount,3,na
11314,r054,2004,Federally financed,Applied research,Percent,3,na
11314,r055,2004,Federally financed,Experimental development,Amount,3,na
11314,r056,2004,Federally financed,Experimental development,Percent,3,na
11314,r057,2005,Total,All R&D expenditures,,2,13255
11314,r058,2005,Total,Basic research,Amount,3,5110
11314,r059,2005,Total,Basic research,Percent,3,38.5
11314,r060,2005,Total,Applied research,Amount,3,na
11314,r061,2005,Total,Applied research,Percent,3,na
11314,r062,2005,Total,Experimental development,Amount,3,na
11314,r063,2005,Total,Experimental development,Percent,3,na
11314,r064,2005,Federally financed,All R&D expenditures,,2,12917
11314,r065,2005,Federally financed,Basic research,Amount,3,4977
11314,r066,2005,Federally financed,Basic research,Percent,3,38.5
11314,r067,2005,Federally financed,Applied research,Amount,3,na
11314,r068,2005,Federally financed,Applied research,Percent,3,na
11314,r069,2005,Federally financed,Experimental development,Amount,3,na
11314,r070,2005,Federally financed,Experimental development,Percent,3,na
11314,r071,2006,Total,All R&D expenditures,,2,13218
11314,r072,2006,Total,Basic research,Amount,3,5197
11314,r073,2006,Total,Basic research,Percent,3,39.3
11314,r074,2006,Total,Applied research,Amount,3,na
11314,r075,2006,Total,Applied research,Percent,3,na
11314,r076,2006,Total,Experimental development,Amount,3,na
11314,r077,2006,Total,Experimental development,Percent,3,na
11314,r078,2006,Federally financed,All R&D expenditures,,2,12825
11314,r079,2006,Federally financed,Basic research,Amount,3,5048
11314,r080,2006,Federally financed,Basic research,Percent,3,39.4
11314,r081,2006,Federally financed,Applied research,Amount,3,na
11314,r082,2006,Federally financed,Applied research,Percent,3,na
11314,r083,2006,Federally financed,Experimental development,Amount,3,na
11314,r084,2006,Federally financed,Experimental development,Percent,3,na
11314,r085,2007<sup>a</sup>,Total,All R&D expenditures,,2,13825
11314,r086,2007<sup>a</sup>,Total,Basic research,Amount,3,5296
11314,r087,2007<sup>a</sup>,Total,Basic research,Percent,3,38.3
11314,r088,2007<sup>a</sup>,Total,Applied research,Amount,3,3479
11314,r089,2007<sup>a</sup>,Total,Applied research,Percent,3,25.2
11314,r090,2007<sup>a</sup>,Total,Experimental development,Amount,3,4411
11314,r091,2007<sup>a</sup>,Total,Experimental development,Percent,3,31.9
11314,r092,2007<sup>a</sup>,Federally financed,All R&D expenditures,,2,13401
11314,r093,2007<sup>a</sup>,Federally financed,Basic research,Amount,3,5151
11314,r094,2007<sup>a</sup>,Federally financed,Basic research,Percent,3,38.4
11314,r095,2007<sup>a</sup>,Federally financed,Applied research,Amount,3,3314
