table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_education_institutionsb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments,field_extramural_non_u_s_performers
11394,r001,All agencies,All agencies,,1,45392702,7819749,6730777,3857770,22260098,3981842,543639,198828
11394,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,1417114,812842,0,17883,554375,23228,5677,3110
11394,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,273297,236945,0,1991,32162,1840,0,359
11394,r004,All agencies -> Department of Defense,All agencies,Department of Defense,2,3149547,649651,157923,523176,1531224,237639,16004,33930
11394,r005,All agencies -> Department of Education,All agencies,Department of Education,2,31589,0,0,427,26666,3960,537,0
11394,r006,All agencies -> Department of Energy,All agencies,Department of Energy,2,6107867,200262,4473639,368620,1000966,33923,29913,544
11394,r007,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,22410508,4193698,361018,1196472,12842865,3213516,472125,130814
11394,r008,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,69204,5572,15320,36589,11665,58,0,0
11394,r009,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,93945,86720,0,417,5570,312,925,0
11394,r010,All agencies -> Department of Justice,All agencies,Department of Justice,2,16931,4318,0,480,7221,4913,0,0
11394,r011,All agencies -> Department of State,All agencies,Department of State,2,7000,7000,0,0,0,0,0,0
11394,r012,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,2117,997,445,675,0,0,0,0
11394,r013,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,665094,665094,0,0,0,0,0,0
11394,r014,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,5057913,702660,1406932,1422072,1305903,202600,5486,12260
11394,r015,All agencies -> National Science Foundation,All agencies,National Science Foundation,2,5863175,26592,315499,288967,4941482,259852,12973,17810
11394,r016,All agencies -> Smithsonian Institution,All agencies,Smithsonian Institution,2,227400,227400,0,0,0,0,0,0
