table_id,row_id,race_or_ethnicity_and_institution_full_path,race_or_ethnicity_and_institution_level_1,race_or_ethnicity_and_institution_level_2,race_or_ethnicity_and_institution_level_3,race_or_ethnicity_and_institution_level_4,race_or_ethnicity_and_institution_hierarchy_depth,field_associate_s_degrees
1141,r001,American Indian or Alaska Native,American Indian or Alaska Native,,,,1,
1141,r002,American Indian or Alaska Native -> All institutions,American Indian or Alaska Native,All institutions,,,2,12583
1141,r003,American Indian or Alaska Native -> All institutions -> Top 20 institutions,American Indian or Alaska Native,All institutions,Top 20 institutions,,3,3352
1141,r004,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Tulsa Community C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Tulsa Community C.,4,311
1141,r005,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Dine C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Dine C.,4,307
1141,r006,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> San Juan C.								,American Indian or Alaska Native,All institutions,Top 20 institutions,San Juan C.								,4,298
1141,r007,"American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Phoenix, Online",American Indian or Alaska Native,All institutions,Top 20 institutions,"U. Phoenix, Online",4,272
1141,r008,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Connors State C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Connors State C.,4,214
1141,r009,"American Indian or Alaska Native -> All institutions -> Top 20 institutions -> C. America, Flagstaff",American Indian or Alaska Native,All institutions,Top 20 institutions,"C. America, Flagstaff",4,194
1141,r010,"American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Oklahoma State U., Okmulgee, Institute of Technology",American Indian or Alaska Native,All institutions,Top 20 institutions,"Oklahoma State U., Okmulgee, Institute of Technology",4,188
1141,r011,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Central New Mexico Community C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Central New Mexico Community C.,4,150
1141,r012,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Oglala Lakota C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Oglala Lakota C.,4,142
1141,r013,"American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. Phoenix, Arizona",American Indian or Alaska Native,All institutions,Top 20 institutions,"U. Phoenix, Arizona",4,135
1141,r014,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Seminole State C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Seminole State C.,4,125
1141,r015,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Navajo Technical U.,American Indian or Alaska Native,All institutions,Top 20 institutions,Navajo Technical U.,4,123
1141,r016,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Northeastern Oklahoma A&M C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Northeastern Oklahoma A&M C.,4,121
1141,r017,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Salish Kootenai C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Salish Kootenai C.,4,117
1141,r018,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Southwestern Indian Polytechnic Institute,American Indian or Alaska Native,All institutions,Top 20 institutions,Southwestern Indian Polytechnic Institute,4,115
1141,r019,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Northern Oklahoma C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Northern Oklahoma C.,4,113
1141,r020,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Carl Albert State C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Carl Albert State C.,4,110
1141,r021,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Turtle Mountain Community C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Turtle Mountain Community C.,4,110
1141,r022,American Indian or Alaska Native -> All institutions -> Top 20 institutions -> Oklahoma City Community C.,American Indian or Alaska Native,All institutions,Top 20 institutions,Oklahoma City Community C.,4,107
1141,r023,"American Indian or Alaska Native -> All institutions -> Top 20 institutions -> U. New Mexico, Gallup								",American Indian or Alaska Native,All institutions,Top 20 institutions,"U. New Mexico, Gallup								",4,100
1141,r024,American Indian or Alaska Native -> All institutions -> Other institutions,American Indian or Alaska Native,All institutions,Other institutions,,3,9231
1141,r025,Asian,Asian,,,,1,
1141,r026,Asian -> All institutions,Asian,All institutions,,,2,68146
1141,r027,Asian -> All institutions -> Top 20 institutions,Asian,All institutions,Top 20 institutions,,3,17048
