table_id,row_id,citizenship_ethnicity_race_sex_and_enrollment_status_full_path,citizenship_ethnicity_race_sex_and_enrollment_status_level_1,citizenship_ethnicity_race_sex_and_enrollment_status_level_2,citizenship_ethnicity_race_sex_and_enrollment_status_level_3,citizenship_ethnicity_race_sex_and_enrollment_status_level_4,citizenship_ethnicity_race_sex_and_enrollment_status_level_5,citizenship_ethnicity_race_sex_and_enrollment_status_level_6,citizenship_ethnicity_race_sex_and_enrollment_status_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1144,r001,All enrolled,All enrolled,,,,,,1,6541614,6638938,6994763,7550124,7728586,7548346,7205476,7005973,6754202,6523745,6118995
1144,r002,All enrolled -> U.S. citizen and permanent resident,All enrolled,U.S. citizen and permanent resident,,,,,2,6448325,6543186,6889912,7451093,7628969,7452665,7111959,6914211,6658338,6418866,6025258
1144,r003,All enrolled -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All enrolled,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,3,961530,1009731,1111309,1195768,1330306,1394763,1413299,1459329,1497385,1524700,1469476
1144,r004,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,,3,5486795,5533455,5778603,6255325,6298663,6057902,5698660,5454882,5160953,4894166,4555782
1144,r005,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,,4,76767,76961,80195,83490,82205,77046,71647,68012,63563,60566,56562
1144,r006,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,,4,na,na,na,na,405957,394349,381298,377346,372386,369522,349161
1144,r007,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian or Pacific Islander<sup>b</sup>,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian or Pacific Islander<sup>b</sup>,,,4,415435,425185,442061,448451,na,na,na,na,na,na,na
1144,r008,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American,,,4,869662,891366,958205,1062455,1123604,1134855,1063846,1025336,971511,900731,835178
1144,r009,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,,4,na,na,na,na,34044,33950,29511,27967,26027,24602,21803
1144,r010,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,,4,3725540,3721427,3828150,4013866,4023102,3837400,3633249,3453102,3245768,3075680,2863036
1144,r011,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> More than one race<sup>c</sup>,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,More than one race<sup>c</sup>,,,4,na,na,na,na,na,148929,165028,182465,193487,204471,193488
1144,r012,All enrolled -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Other or unknown race or ethnicity,All enrolled,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Other or unknown race or ethnicity,,,4,399391,418516,469992,647063,629751,431373,354081,320654,288211,258594,236554
1144,r013,All enrolled -> Temporary resident ,All enrolled,Temporary resident ,,,,,2,93289,95752,104851,99031,99617,95681,93517,91762,95864,104879,93737
1144,r014,All enrolled -> Female,All enrolled,Female,,,,,2,3825095,3857530,4047583,4339602,4441382,4353773,4140870,3989708,3841468,3691528,3468264
1144,r015,All enrolled -> Female -> U.S. citizen and permanent resident,All enrolled,Female,U.S. citizen and permanent resident,,,,3,3773035,3804890,3990288,4286525,4388088,4303814,4092746,3943506,3794163,3640336,3422016
