table_id,row_id,institution_type_and_field_full_path,institution_type_and_field_level_1,institution_type_and_field_level_2,institution_type_and_field_level_3,institution_type_and_field_level_4,institution_type_and_field_level_5,institution_type_and_field_level_6,institution_type_and_field_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1151,r001,Number,Number,,,,,,1,,,,,,,,,,,
1151,r002,All institutions,All institutions,,,,,,1,,,,,,,,,,,
1151,r003,All institutions -> All fields ,All institutions,All fields ,,,,,2,133743,137566,142576,145988,152404,161005,172869,179517,180812,182778,185880
1151,r004,All institutions -> All fields  -> S&E,All institutions,All fields ,S&E,,,,3,40108,40401,41263,41822,43428,46341,49696,52165,52647,53649,54432
1151,r005,All institutions -> All fields  -> S&E -> Science,All institutions,All fields ,S&E,Science,,,4,36899,37237,38162,38726,40346,43244,46478,48660,49048,49797,50226
1151,r006,All institutions -> All fields  -> S&E -> Science -> Agricultural sciences,All institutions,All fields ,S&E,Science,Agricultural sciences,,5,485,481,557,510,595,575,704,744,852,856,932
1151,r007,All institutions -> All fields  -> S&E -> Science -> Biological sciences,All institutions,All fields ,S&E,Science,Biological sciences,,5,5366,5857,6003,6253,6434,6677,7073,7494,7663,8250,8804
1151,r008,All institutions -> All fields  -> S&E -> Science -> Computer sciences,All institutions,All fields ,S&E,Science,Computer sciences,,5,5275,4588,4011,3868,4066,4418,4851,5497,5472,5746,5658
1151,r009,"All institutions -> All fields  -> S&E -> Science -> Earth, atmospheric, and ocean sciences",All institutions,All fields ,S&E,Science,"Earth, atmospheric, and ocean sciences",,5,58,79,89,88,97,105,119,134,143,166,155
1151,r010,All institutions -> All fields  -> S&E -> Science -> Mathematical sciences,All institutions,All fields ,S&E,Science,Mathematical sciences,,5,847,832,796,842,834,821,964,1015,1022,1016,1007
1151,r011,All institutions -> All fields  -> S&E -> Science -> Physical sciences,All institutions,All fields ,S&E,Science,Physical sciences,,5,1040,1043,1084,1133,1088,1125,1305,1259,1320,1252,1239
1151,r012,All institutions -> All fields  -> S&E -> Science -> Psychology,All institutions,All fields ,S&E,Science,Psychology,,5,9097,9729,10271,10541,11066,11643,12712,13413,13617,14022,14187
1151,r013,All institutions -> All fields  -> S&E -> Science -> Social sciences,All institutions,All fields ,S&E,Science,Social sciences,,5,14731,14628,15351,15491,16166,17880,18750,19104,18959,18489,18244
