table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_artificial_intelligence_number_yes,field_artificial_intelligence_number_no,field_artificial_intelligence_percent_yes,field_artificial_intelligence_percent_no
11518,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['50,367', '&nbsp;']","['4,824,561', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
11518,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11518,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['25,616', '&nbsp;']","['2,708,575', '&nbsp;']","['0.9', '&nbsp;']","['99.1', '&nbsp;']"
11518,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['9,297', '&nbsp;']","['941,251', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
11518,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11518,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['5,518', '&nbsp;']","['571,879', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
11518,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['4,732', '&nbsp;']","['394,834', '&nbsp;']","['1.2', '&nbsp;']","['98.8', '&nbsp;']"
11518,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11518,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['1,936', '&nbsp;']","['113,655', '&nbsp;']","['1.7', '&nbsp;']","['98.3', '&nbsp;']"
11518,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['1,483', '&nbsp;']","['62,486', '&nbsp;']","['2.3', '&nbsp;']","['97.7', '&nbsp;']"
11518,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11518,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['720', '&nbsp;']","['17,404', '&nbsp;']","['4.0', '&nbsp;']","['96.0', '&nbsp;']"
11518,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['273', '&nbsp;']","['7,395', '&nbsp;']","['3.6', 'r']","['96.4', '&nbsp;']"
11518,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['435', '&nbsp;']","['5,575', '&nbsp;']","['7.2', '&nbsp;']","['92.8', '&nbsp;']"
11518,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['185', '&nbsp;']","['797', '&nbsp;']","['18.8', 'r']","['81.2', '&nbsp;']"
11518,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['91', '&nbsp;']","['425', '&nbsp;']","['17.6', '&nbsp;']","['82.4', '&nbsp;']"
11518,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['100', '&nbsp;']","['272', '&nbsp;']","['26.8', '&nbsp;']","['73.2', '&nbsp;']"
