table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_human_machine_interfaces_number_yes,field_human_machine_interfaces_number_no,field_human_machine_interfaces_percent_yes,field_human_machine_interfaces_percent_no
11525,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['4,874,928', '&nbsp;']","['20,789', '&nbsp;']","['4,854,139', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['209,282', '&nbsp;']","['1,301', '&nbsp;']","['207,981', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
11525,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['19,326', '&nbsp;']","['30', '&nbsp;']","['19,296', '&nbsp;']","['0.2', 'r']","['99.8', '&nbsp;']"
11525,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['9,354', '&nbsp;']","['7', 'r']","['9,347', '&nbsp;']","['0.1', 'r']","['99.9', '&nbsp;']"
11525,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9,443', '&nbsp;']","['20', '&nbsp;']","['9,423', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11525,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['9,546', '&nbsp;']","['24', 'r']","['9,522', '&nbsp;']","['0.2', 'r']","['99.8', '&nbsp;']"
11525,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['1,500', '&nbsp;']","['1', 'r']","['1,499', '&nbsp;']","['0.1', 'r']","['99.9', '&nbsp;']"
11525,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['20,212', '&nbsp;']","['6', 'r']","['20,206', '&nbsp;']","['0.0', 'r']","['100.0', '&nbsp;']"
11525,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['546', '&nbsp;']","['2', 'r']","['544', '&nbsp;']","['0.4', 'r']","['99.6', '&nbsp;']"
11525,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['7,961', '&nbsp;']","['30', '&nbsp;']","['7,931', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['580', '&nbsp;']","['3', 'r']","['577', '&nbsp;']","['0.5', 'r']","['99.5', '&nbsp;']"
11525,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,536', '&nbsp;']","['7', 'r']","['1,529', '&nbsp;']","['0.5', 'r']","['99.5', '&nbsp;']"
11525,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,652', '&nbsp;']","['5', '&nbsp;']","['1,647', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['4,194', '&nbsp;']","['14', '&nbsp;']","['4,180', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,060', '&nbsp;']","['30', '&nbsp;']","['7,030', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11525,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,290', '&nbsp;']","['25', '&nbsp;']","['7,265', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,079', '&nbsp;']","['10', 'r']","['2,069', '&nbsp;']","['0.5', 'r']","['99.5', '&nbsp;']"
11525,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['46,128', '&nbsp;']","['128', '&nbsp;']","['46,000', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11525,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,440', '&nbsp;']","['330', '&nbsp;']","['16,110', '&nbsp;']","['2.0', '&nbsp;']","['98.0', '&nbsp;']"
11525,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,527', '&nbsp;']","['248', '&nbsp;']","['8,279', '&nbsp;']","['2.9', '&nbsp;']","['97.1', '&nbsp;']"
11525,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['850', '&nbsp;']","['38', 'r']","['812', '&nbsp;']","['4.5', 'r']","['95.5', '&nbsp;']"
11525,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,711', '&nbsp;']","['80', '&nbsp;']","['2,631', '&nbsp;']","['2.9', '&nbsp;']","['97.1', '&nbsp;']"
