table_id,row_id,field_and_sex_full_path,field_and_sex_level_1,field_and_sex_level_2,field_and_sex_level_3,field_and_sex_level_4,field_and_sex_level_5,field_and_sex_level_6,field_and_sex_level_7,field_and_sex_hierarchy_depth,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1155,r001,Both sexes  ,Both sexes  ,,,,,,,1,,,,,,,,,,,
1155,r002,Both sexes   -> All fields,Both sexes  ,All fields,,,,,,2,1502922,1541704,1580413,1619028,1668227,1734229,1811404,1861034,1890941,1916129,1942140
1155,r003,Both sexes   -> All fields -> S&E,Both sexes  ,All fields,S&E,,,,,3,478858,485772,496168,505435,525374,554365,589567,615475,635915,650057,666157
1155,r004,Both sexes   -> All fields -> S&E -> Science,Both sexes  ,All fields,S&E,Science,,,,4,410631,417498,426260,434835,450975,476266,506304,527663,541965,550151,557181
1155,r005,Both sexes   -> All fields -> S&E -> Science -> Agricultural sciences,Both sexes  ,All fields,S&E,Science,Agricultural sciences,,,5,17307,17696,18474,19152,20400,22759,25060,27609,28796,29460,30540
1155,r006,Both sexes   -> All fields -> S&E -> Science -> Biological sciences,Both sexes  ,All fields,S&E,Science,Biological sciences,,,5,72972,79348,82398,85574,89615,93654,99894,104703,109520,115124,119073
1155,r007,Both sexes   -> All fields -> S&E -> Science -> Computer sciences,Both sexes  ,All fields,S&E,Science,Computer sciences,,,5,48000,42596,38922,38496,40107,43586,48034,51586,56130,60309,65186
1155,r008,"Both sexes   -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Both sexes  ,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",,,5,3987,4077,4314,4542,4802,5299,5865,6291,6730,7155,7283
1155,r009,"Both sexes   -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes  ,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,6,651,745,736,721,691,678,735,749,751,734,714
1155,r010,"Both sexes   -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes  ,All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",Earth sciences,,6,3231,3193,3453,3679,3931,4410,4904,5302,5724,6162,6336
