table_id,row_id,_b_field_of_research_b_full_path,_b_field_of_research_b_level_1,_b_field_of_research_b_level_2,_b_field_of_research_b_level_3,_b_field_of_research_b_level_4,_b_field_of_research_b_hierarchy_depth,field_total,field_u_s_citizens_and_permanent_residents,field_temporary_visa_holders
11638,r001,All postdocs,All postdocs,,,,1,3629,1619,2010
11638,r002,All postdocs -> Science and engineering,All postdocs,Science and engineering,,,2,3518,1571,1947
11638,r003,All postdocs -> Science and engineering -> Science,All postdocs,Science and engineering,Science,,3,2579,1145,1434
11638,r004,All postdocs -> Science and engineering -> Science -> Agricultural and veterinary sciences,All postdocs,Science and engineering,Science,Agricultural and veterinary sciences,4,7,4,3
11638,r005,All postdocs -> Science and engineering -> Science -> Biological and biomedical sciences,All postdocs,Science and engineering,Science,Biological and biomedical sciences,4,237,127,110
11638,r006,All postdocs -> Science and engineering -> Science -> Chemistry,All postdocs,Science and engineering,Science,Chemistry,4,428,228,200
11638,r007,All postdocs -> Science and engineering -> Science -> Computer and information sciences,All postdocs,Science and engineering,Science,Computer and information sciences,4,188,92,96
11638,r008,"All postdocs -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences ",All postdocs,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences ",4,272,120,152
11638,r009,All postdocs -> Science and engineering -> Science -> Materials science and chemistry,All postdocs,Science and engineering,Science,Materials science and chemistry,4,450,176,274
11638,r010,All postdocs -> Science and engineering -> Science -> Mathematics and statistics,All postdocs,Science and engineering,Science,Mathematics and statistics,4,59,27,32
11638,r011,All postdocs -> Science and engineering -> Science -> Natural resources and conservation,All postdocs,Science and engineering,Science,Natural resources and conservation,4,10,7,3
11638,r012,All postdocs -> Science and engineering -> Science -> Physics and astronomy,All postdocs,Science and engineering,Science,Physics and astronomy,4,838,335,503
11638,r013,All postdocs -> Science and engineering -> Science -> Psychology,All postdocs,Science and engineering,Science,Psychology,4,1,1,0
11638,r014,All postdocs -> Science and engineering -> Science -> Social sciences,All postdocs,Science and engineering,Science,Social sciences,4,12,4,8
11638,r015,All postdocs -> Science and engineering -> Science -> Other sciences,All postdocs,Science and engineering,Science,Other sciences,4,77,24,53
11638,r016,All postdocs -> Science and engineering -> Engineering,All postdocs,Science and engineering,Engineering,,3,939,426,513
11638,r017,"All postdocs -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All postdocs,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,31,14,17
11638,r018,"All postdocs -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All postdocs,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,89,43,46
11638,r019,"All postdocs -> Science and engineering -> Engineering -> Chemical, petroleum, and related engineering fields",All postdocs,Science and engineering,Engineering,"Chemical, petroleum, and related engineering fields",4,192,101,91
11638,r020,"All postdocs -> Science and engineering -> Engineering -> Civil, environmental, transportation, and related engineering fields",All postdocs,Science and engineering,Engineering,"Civil, environmental, transportation, and related engineering fields",4,81,24,57
11638,r021,"All postdocs -> Science and engineering -> Engineering -> Electrical, electronics, communications, and computer engineering",All postdocs,Science and engineering,Engineering,"Electrical, electronics, communications, and computer engineering",4,153,69,84
11638,r022,"All postdocs -> Science and engineering -> Engineering -> Engineering science, mechanics, and physics",All postdocs,Science and engineering,Engineering,"Engineering science, mechanics, and physics",4,26,15,11
11638,r023,"All postdocs -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering, and operations research",All postdocs,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering, and operations research",4,8,1,7
11638,r024,All postdocs -> Science and engineering -> Engineering -> Mechanical engineering,All postdocs,Science and engineering,Engineering,Mechanical engineering,4,155,53,102
11638,r025,"All postdocs -> Science and engineering -> Engineering -> Metallurgical, mining, materials, and related engineering fields",All postdocs,Science and engineering,Engineering,"Metallurgical, mining, materials, and related engineering fields",4,121,66,55
11638,r026,All postdocs -> Science and engineering -> Engineering -> Nuclear engineering,All postdocs,Science and engineering,Engineering,Nuclear engineering,4,58,32,26
11638,r027,All postdocs -> Science and engineering -> Engineering -> Other engineering fields,All postdocs,Science and engineering,Engineering,Other engineering fields,4,25,8,17
11638,r028,All postdocs -> Health ,All postdocs,Health ,,,2,4,3,1
11638,r029,All postdocs -> Multidisciplinary ,All postdocs,Multidisciplinary ,,,2,85,34,51
11638,r030,All postdocs -> Non-science or engineering ,All postdocs,Non-science or engineering ,,,2,12,7,5
11638,r031,All postdocs -> Field of research not known or reported,All postdocs,Field of research not known or reported,,,2,10,4,6
