table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_level_5,_b_field_and_citizenship_status_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023,field__change_2013_23
11646,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,,1,52703,53986,54886,54809,54550,55078,55599,55203,52160,57448,57862,9.8
11646,r002,All doctorate recipients<sup>a</sup> -> Science and engineering,All doctorate recipients<sup>a</sup>,Science and engineering,,,,2,39084,40708,41247,41306,41364,42144,42897,42564,40819,45402,45533,16.5
11646,r003,All doctorate recipients<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,,,3,1391,1380,1490,1428,1543,1499,1538,1531,1412,1509,1477,6.2
11646,r004,All doctorate recipients<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources -> Agricultural sciences,All doctorate recipients<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,Agricultural sciences,,4,873,854,903,851,969,960,1002,1013,956,1001,1007,15.3
11646,r005,All doctorate recipients<sup>a</sup> -> Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,All doctorate recipients<sup>a</sup>,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,,4,518,526,587,577,574,539,536,518,456,508,470,-9.3
11646,r006,All doctorate recipients<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Science and engineering,Biological and biomedical sciences,,,3,8707,8868,8783,8863,8567,8782,8678,8403,8131,9208,9575,10.0
11646,r007,All doctorate recipients<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Biochemistry and biophysics,All doctorate recipients<sup>a</sup>,Science and engineering,Biological and biomedical sciences,Biochemistry and biophysics,,4,1005,1006,930,997,999,963,966,859,797,925,893,-11.1
11646,r008,"All doctorate recipients<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Biology and biomedical sciences, general",All doctorate recipients<sup>a</sup>,Science and engineering,Biological and biomedical sciences,"Biology and biomedical sciences, general",,4,657,683,674,1100,808,888,914,1056,978,1234,1328,102.1
11646,r009,"All doctorate recipients<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",All doctorate recipients<sup>a</sup>,Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",,4,426,465,452,525,549,580,647,600,622,763,794,86.4
11646,r010,"All doctorate recipients<sup>a</sup> -> Science and engineering -> Biological and biomedical sciences -> Cellular and developmental biology, and anatomy",All doctorate recipients<sup>a</sup>,Science and engineering,Biological and biomedical sciences,"Cellular and developmental biology, and anatomy",,4,597,607,596,488,427,427,412,364,220,217,225,-62.3
