table_id,row_id,_b_field_and_demographic_characteristic_b_full_path,_b_field_and_demographic_characteristic_b_level_1,_b_field_and_demographic_characteristic_b_level_2,_b_field_and_demographic_characteristic_b_level_3,_b_field_and_demographic_characteristic_b_level_4,_b_field_and_demographic_characteristic_b_hierarchy_depth,field_one_or_more_limitations_of_any_type_number,field_one_or_more_limitations_of_any_type_percent,field_visual_limitations_number,field_visual_limitations_percent,field_hearing_limitations_number,field_hearing_limitations_percent,field_walking_limitations_number,field_walking_limitations_percent,field_lifting_limitations_number,field_lifting_limitations_percent,field_cognitive_limitations_number,field_cognitive_limitations_percent
11664,r001,Doctorate recipients reporting functional limitation status,Doctorate recipients reporting functional limitation status,,,,1,7138,14.2,2293,4.5,946,1.9,353,0.7,534,1.1,4575,9.1
11664,r002,Doctorate recipients reporting functional limitation status -> Field of doctorate,Doctorate recipients reporting functional limitation status,Field of doctorate,,,2,,,,,,,,,,,,
11664,r003,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,,3,5470,13.6,1715,4.2,702,1.7,225,0.6,372,0.9,3559,8.8
11664,r004,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Agricultural sciences and natural resources,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Agricultural sciences and natural resources,4,184,16.7,65,5.9,29,2.6,11,1.0,14,1.3,111,10.0
11664,r005,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Biological and biomedical sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Biological and biomedical sciences,4,1313,14.9,317,3.6,171,1.9,45,0.5,73,0.8,955,10.9
11664,r006,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Computer and information sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Computer and information sciences,4,235,12.1,97,5.0,24,1.2,14,0.7,22,1.1,130,6.7
11664,r007,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Engineering,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Engineering,4,953,10.2,418,4.5,116,1.2,36,0.4,68,0.7,497,5.3
11664,r008,"Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,"Geosciences, atmospheric, and ocean sciences",4,177,16.1,49,4.5,27,2.5,,,6,0.5,129,11.8
11664,r009,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Health sciences,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Health sciences,4,296,12.6,111,4.7,42,1.8,18,0.8,32,1.4,166,7.1
11664,r010,Doctorate recipients reporting functional limitation status -> Field of doctorate -> Science and engineering -> Mathematics and statistics,Doctorate recipients reporting functional limitation status,Field of doctorate,Science and engineering,Mathematics and statistics,4,201,11.1,75,4.2,37,2.1,,,15,0.8,118,6.5
