table_id,row_id,_b_industry_naics_code_and_company_size_b_full_path,_b_industry_naics_code_and_company_size_b_level_1,_b_industry_naics_code_and_company_size_b_level_2,_b_industry_naics_code_and_company_size_b_level_3,_b_industry_naics_code_and_company_size_b_level_4,_b_industry_naics_code_and_company_size_b_hierarchy_depth,field_all_r_da,field_paid_for_by_the_companyb,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_companies_domestic,field_paid_for_by_others_companies_foreignc,field_paid_for_by_others_all_other_organizationsd
11764,r001,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81",,,,1,"['691,547', '  ']",608058,"['83,489', '&nbsp;']","['31,626', '&nbsp;']","['27,125', 'i']","['23,604', '&nbsp;']","['1,134', '  ']"
11764,r002,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['372,459', '  ']",326998,"['45,461', '&nbsp;']","['24,082', '&nbsp;']","['6,623', '&nbsp;']","['14,360', '&nbsp;']","['396', '  ']"
11764,r003,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['125,728', '  ']",113518,"['12,210', '&nbsp;']","['766', '&nbsp;']","['2,426', '&nbsp;']","['8,946', '&nbsp;']","['72', '  ']"
11764,r004,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['116,073', '  ']",104720,"['11,353', '&nbsp;']","['703', '&nbsp;']","['2,388', '&nbsp;']","['8,195', '&nbsp;']","['67', '  ']"
11764,r005,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['9,655', '&nbsp;']",8798,"['857', '&nbsp;']","['63', '&nbsp;']","['38', '&nbsp;']","['751', '&nbsp;']","['5', '&#160;']"
11764,r006,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['19,464', '  ']",18246,"['1,218', '&nbsp;']","['673', '&nbsp;']","['165', '&nbsp;']","['358', '&nbsp;']","['22', '  ']"
11764,r007,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['104,718', '  ']",99234,"['5,483', '&nbsp;']","['2,560', '&nbsp;']","['537', 'i ']","['2,263', '&nbsp;']","['123', '  ']"
11764,r008,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Communication equipment, 3342","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Communication equipment, 3342",4,"['11,665', '&nbsp;']",10870,"['795', 'i']","['205', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3', 'i']"
11764,r009,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Semiconductor and other electronic products, 3344","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334","Semiconductor and other electronic products, 3344",4,"['49,330', '&nbsp;']",47380,"['1,950', '&nbsp;']","['71', '&nbsp;']","['23', '&nbsp;']","['1,777', '&nbsp;']","['78', 'r']"
11764,r010,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334 -> Other 334","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",Other 334,4,"['43,723', '&nbsp;']",40984,"['2,738', '&nbsp;']","['2,284', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['42', '&nbsp;']"
11764,r011,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliance, and components, 335","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliance, and components, 335",,3,"['7,086', '  ']",6657,"['429', 'i']","['21', '&nbsp;']","['35', '&nbsp;']","['369', '&nbsp;']","['4', '  ']"
11764,r012,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,"['71,259', '  ']",46468,"['24,790', '&nbsp;']","['19,934', '&nbsp;']","['3,060', '&nbsp;']","['1,676', '&nbsp;']","['120', '  ']"
11764,r013,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Motor vehicles, bodies, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Motor vehicles, bodies, trailers, and parts, 3361&#8211;63",4,"['32,881', '  ']",30722,"['2,087', '&nbsp;']","['D', '&nbsp;']","['528', '&nbsp;']","['1,559', '&nbsp;']","['D', '  ']"
11764,r014,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Aerospace products and parts, 3364","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Aerospace products and parts, 3364",4,"['35,356', '  ']",13786,"['21,570', 'i']","['18,855', 'i ']","['2,529', '&nbsp;']","['103', '&nbsp;']","['83', '  ']"
11764,r015,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Other 336","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",Other 336,4,"['3,022', '&nbsp;']",1960,"['1,133', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['14', '&nbsp;']","['37', '&#160;']"
11764,r016,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,"['44,204', '&nbsp;']",42875,"['1,331', '&nbsp;']","['128', '&nbsp;']","['400', '&nbsp;']","['748', '&nbsp;']","['55', '&#160;']"
11764,r017,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,"['319,088', '  ']",281060,"['38,028', 'i']","['7,544', '&nbsp;']","['20,502', 'i ']","['9,245', '&nbsp;']","['737', '  ']"
11764,r018,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,"['182,340', '  ']",181392,"['947', '  ']","['176', '&nbsp;']","['332', '&nbsp;']","['413', '&nbsp;']","['26', '  ']"
11764,r019,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Software publishers, 5112","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51","Software publishers, 5112",4,"['50,295', '  ']",49602,"['693', '  ']","['102', 'r ']","['308', '&nbsp;']","['260', '&nbsp;']","['23', '  ']"
11764,r020,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51 -> Other 51","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",Other 51,4,"['132,045', '&nbsp;']",131790,"['254', '&nbsp;']","['74', '&nbsp;']","['24', '&nbsp;']","['153', '&nbsp;']","['3', '&nbsp;']"
11764,r021,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Finance and insurance, 52","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Finance and insurance, 52",,3,"['17,222', '  ']",17173,"['49', '  ']","['0', '&nbsp;']","['49', '&nbsp;']","['0', '&nbsp;']","['0', '  ']"
11764,r022,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,"['74,773', '  ']",38633,"['36,139', 'i']","['7,273', '&nbsp;']","['19,452', 'i ']","['8,748', '&nbsp;']","['666', 'i']"
11764,r023,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Computer systems design and related services, 5415","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Computer systems design and related services, 5415",4,"['22,534', '  ']",18878,"['3,656', '  ']","['897', '&nbsp;']","['408', '&nbsp;']","['2,278', '&nbsp;']","['73', '  ']"
11764,r024,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Scientific research and development services, 5417","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54","Scientific research and development services, 5417",4,"['39,625', 'i ']",9297,"['30,328', 'i']","['5,084', '&nbsp;']","['18,562', 'i ']","['6,170', '&nbsp;']","['512', 'i']"
11764,r025,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54 -> Other 54","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",Other 54,4,"['12,614', '&nbsp;']",10458,"['2,155', '&nbsp;']","['1,292', '&nbsp;']","['482', '&nbsp;']","['300', '&nbsp;']","['81', '&nbsp;']"
11764,r026,"All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;23, 31&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,"['44,753', '&nbsp;']",43862,"['893', '&nbsp;']","['95', '&nbsp;']","['669', '&nbsp;']","['84', '&nbsp;']","['45', '&#160;']"
11764,r027,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
11764,r028,Size of company (number of domestic employees) -> Small companies,Size of company (number of domestic employees),Small companies,,,2,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']"
11764,r029,Size of company (number of domestic employees) -> Small companies -> 10–19<sup>e</sup>,Size of company (number of domestic employees),Small companies,10–19<sup>e</sup>,,3,"['5,277', '  ']",4009,"['1,269', '&nbsp;']","['495', '  ']","['433', '  ']","['242', '  ']","['97', '&nbsp;']"
11764,r030,Size of company (number of domestic employees) -> Small companies -> 20&#8211;49,Size of company (number of domestic employees),Small companies,20&#8211;49,,3,"['14,695', '  ']",12788,"['1,907', '&nbsp;']","['741', '  ']","['553', '  ']","['475', '&nbsp;']","['D', '&nbsp;']"
11764,r031,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11764,r032,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,"['15,265', '  ']",13274,"['1,990', '&nbsp;']","['746', '  ']","['358', '  ']","['814', '  ']","['72', 'r']"
11764,r033,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,"['27,847', '  ']",24844,"['3,003', '&nbsp;']","['1,402', '  ']","['554', '  ']","['946', '  ']","['99', '&nbsp;']"
11764,r034,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,"['&nbsp;', '&nbsp;']",,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11764,r035,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,"['29,549', '  ']",26469,"['3,080', '&nbsp;']","['687', '  ']","['607', '  ']","['1,588', '&nbsp;']","['194', '&nbsp;']"
11764,r036,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,"['31,802', '  ']",29007,"['2,795', '&nbsp;']","['679', '  ']","['980', '  ']","['1,088', '&nbsp;']","['48', '&nbsp;']"
11764,r037,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,"['104,505', '  ']",94615,"['9,890', '&nbsp;']","['1,672', '  ']","['2,346', '  ']","['5,778', '  ']","['95', 'i']"
11764,r038,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,"['58,709', '  ']",54018,"['4,692', '&nbsp;']","['2,573', '  ']","['1,299', '  ']","['713', '&nbsp;']","['103', 'i']"
11764,r039,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,"['121,142', '  ']",96071,"['25,072', 'i']","['1,960', '  ']","['11,010', 'i ']","['11,880', 'i']","['D', '&nbsp;']"
11764,r040,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,"['282,756', '  ']",252964,"['29,792', '&nbsp;']","['20,670', '  ']","['8,985', '  ']","['82', '  ']","['D', '&nbsp;']"
