table_id,row_id,field_sex_race_ethnicity_and_disability_status_full_path,field_sex_race_ethnicity_and_disability_status_level_1,field_sex_race_ethnicity_and_disability_status_level_2,field_sex_race_ethnicity_and_disability_status_level_3,field_sex_race_ethnicity_and_disability_status_level_4,field_sex_race_ethnicity_and_disability_status_hierarchy_depth,field_total,field_full_time_student,field_employed_in_s_e_or_s_e_related_occupationa,field_employed_in_non_s_e_occupation,field_not_employed,field_median_salary_for_full_time_employedb_
1180,r001,All S&E and health fields,All S&E and health fields,,,,1,1085000,114000,667000,258000,46000,79000
1180,r002,All S&E and health fields -> Female,All S&E and health fields,Female,,,2,618000,67000,361000,160000,30000,70000
1180,r003,All S&E and health fields -> Male,All S&E and health fields,Male,,,2,467000,46000,306000,98000,16000,85000
1180,r004,All S&E and health fields -> White,All S&E and health fields,White,,,2,638000,54000,397000,163000,24000,76000
1180,r005,All S&E and health fields -> Asian,All S&E and health fields,Asian,,,2,218000,36000,157000,18000,9000,90000
1180,r006,All S&E and health fields -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Underrepresented minority<sup>c</sup>,,,2,204000,22000,96000,73000,13000,73000
1180,r007,All S&E and health fields -> Without disability,All S&E and health fields,Without disability,,,2,1015000,108000,634000,235000,38000,80000
1180,r008,All S&E and health fields -> With disability,All S&E and health fields,With disability,,,2,70000,6000,33000,22000,8000,70000
1180,r009,All S&E and health fields -> Science,All S&E and health fields,Science,,,2,523000,70000,256000,173000,25000,72000
1180,r010,All S&E and health fields -> Science -> Female,All S&E and health fields,Science,Female,,3,257000,42000,97000,102000,16000,55000
1180,r011,All S&E and health fields -> Science -> Male,All S&E and health fields,Science,Male,,3,266000,27000,159000,71000,S,80000
1180,r012,All S&E and health fields -> Science -> White,All S&E and health fields,Science,White,,3,312000,33000,155000,107000,17000,72000
1180,r013,All S&E and health fields -> Science -> Asian,All S&E and health fields,Science,Asian,,3,106000,18000,72000,13000,3000,88000
1180,r014,All S&E and health fields -> Science -> Underrepresented minority<sup>c</sup>,All S&E and health fields,Science,Underrepresented minority<sup>c</sup>,,3,92000,17000,22000,49000,4000,60000
1180,r015,All S&E and health fields -> Science -> Without disability,All S&E and health fields,Science,Without disability,,3,481000,64000,238000,155000,23000,73000
1180,r016,All S&E and health fields -> Science -> With disability,All S&E and health fields,Science,With disability,,3,42000,5000,18000,18000,S,65000
1180,r017,All S&E and health fields -> Science -> Biological/life sciences,All S&E and health fields,Science,Biological/life sciences,,3,80000,17000,43000,19000,2000,50000
1180,r018,All S&E and health fields -> Science -> Biological/life sciences -> Female,All S&E and health fields,Science,Biological/life sciences,Female,4,47000,8000,29000,9000,1000,49000
