table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_r_d_program_size_all_companies,field_r_d_program_size_less_than_1_million,field_r_d_program_size_1_million_9_999_million,field_r_d_program_size_10_million_49_999_million,field_r_d_program_size_50_million_99_999_million,field_r_d_program_size_100_million_or_more
12279,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['608,058', '  ']","['5,382', '  ']","['30,478', '  ']","['49,030', '  ']","['29,517', '  ']","['493,651', '  ']"
12279,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,998', '  ']","['2,764', '  ']","['13,182', '  ']","['25,506', '  ']","['19,039', '  ']","['266,507', '  ']"
12279,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['D', '  ']","['D', '  ']","['835', '  ']","['1,886', 'r ']","['D', '  ']","['3,186', '  ']"
12279,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['660', '  ']","['39', '  ']","['146', '  ']","['79', '  ']","['239', '  ']","['157', '  ']"
12279,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['D', '  ']","['D', '  ']","['133', '  ']","['299', '  ']","['150', '  ']","['0', '  ']"
12279,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['254', '  ']","['16', '  ']","['74', '  ']","['164', '  ']","['0', '  ']","['0', '  ']"
12279,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,004', '  ']","['12', '  ']","['103', '  ']","['178', '  ']","['159', '  ']","['552', '  ']"
12279,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['164', '  ']","['25', '  ']","['59', '  ']","['80', 'i ']","['0', '  ']","['0', '  ']"
12279,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['856', '  ']","['10', '  ']","['D', '  ']","['176', '  ']","['D', '  ']","['D', '  ']"
12279,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['113,518', '  ']","['373', '  ']","['2,348', '  ']","['8,882', '  ']","['7,407', '  ']","['94,508', '  ']"
12279,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['D', '  ']","['D', '  ']","['292', '  ']","['877', '  ']","['D', '  ']","['D', '  ']"
