table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total_number_,field_yes_filed_form_6765_in_2021_,field_no_did_not_file_form_6765_in_2021_
12447,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['14,353', '&nbsp;']","['22.4', '&nbsp;']","['77.6', '&nbsp;']"
12447,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,674', '&nbsp;']","['22.5', '&nbsp;']","['77.5', '&nbsp;']"
12447,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['41', '&nbsp;']","['26.8', 'r']","['70.7', '&nbsp;']"
12447,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['13', 'r']","['0.0', '&nbsp;']","['100.0', 'r']"
12447,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
12447,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['3', 'r']","['0.0', '&nbsp;']","['100.0', 'r']"
12447,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
12447,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['1', 'r']","['0.0', '&nbsp;']","['100.0', '&nbsp;']"
12447,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['275', '&nbsp;']","['25.5', '&nbsp;']","['74.5', '&nbsp;']"
12447,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['168', '&nbsp;']","['29.8', '&nbsp;']","['69.6', '&nbsp;']"
12447,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['107', '&nbsp;']","['17.8', '&nbsp;']","['82.2', '&nbsp;']"
12447,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['73', '&nbsp;']","['39.7', 'r']","['60.3', '&nbsp;']"
12447,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['13', '&nbsp;']","['23.1', '&nbsp;']","['76.9', '&nbsp;']"
12447,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['8', '&nbsp;']","['12.5', '&nbsp;']","['87.5', 'r']"
12447,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['99', '&nbsp;']","['18.2', 'r']","['81.8', '&nbsp;']"
12447,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['115', '&nbsp;']","['10.4', 'r']","['90.4', '&nbsp;']"
