table_id,row_id,company_size_number_of_employees_full_path,company_size_number_of_employees_level_1,company_size_number_of_employees_level_2,company_size_number_of_employees_level_3,company_size_number_of_employees_hierarchy_depth,field_companies_number_,field_product_innovation_only_new_to_the_business_number_yes,field_product_innovation_only_new_to_the_business_number_no,field_product_innovation_only_new_to_the_business_percent_yes,field_product_innovation_only_new_to_the_business_percent_no
12456,r001,All companies,All companies,,,1,"['4,937,279', '&nbsp;']","['348,976', '&nbsp;']","['4,588,303', '&nbsp;']","['7.1', '&nbsp;']","['92.9', '&nbsp;']"
12456,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12456,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,779,797', '&nbsp;']","['173,946', '&nbsp;']","['2,605,851', '&nbsp;']","['6.3', '&nbsp;']","['93.7', '&nbsp;']"
12456,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,104', '&nbsp;']","['74,035', '&nbsp;']","['872,069', '&nbsp;']","['7.8', '&nbsp;']","['92.2', '&nbsp;']"
12456,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12456,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['594,731', '&nbsp;']","['49,310', '&nbsp;']","['545,421', '&nbsp;']","['8.3', '&nbsp;']","['91.7', '&nbsp;']"
12456,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['398,276', '&nbsp;']","['32,207', '&nbsp;']","['366,069', '&nbsp;']","['8.1', '&nbsp;']","['91.9', '&nbsp;']"
12456,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12456,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['119,685', '&nbsp;']","['10,332', '&nbsp;']","['109,352', '&nbsp;']","['8.6', '&nbsp;']","['91.4', '&nbsp;']"
12456,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['65,462', '&nbsp;']","['5,432', '&nbsp;']","['60,030', '&nbsp;']","['8.3', '&nbsp;']","['91.7', '&nbsp;']"
12456,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12456,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['17,184', '&nbsp;']","['1,821', '&nbsp;']","['15,363', '&nbsp;']","['10.6', '&nbsp;']","['89.4', '&nbsp;']"
12456,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,741', '&nbsp;']","['768', '&nbsp;']","['6,973', '&nbsp;']","['9.9', '&nbsp;']","['90.1', '&nbsp;']"
12456,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,351', '&nbsp;']","['759', '&nbsp;']","['5,592', '&nbsp;']","['12.0', '&nbsp;']","['88.0', '&nbsp;']"
12456,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['894', '&nbsp;']","['162', '&nbsp;']","['733', '&nbsp;']","['18.1', '&nbsp;']","['82.0', 'r']"
12456,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['692', '&nbsp;']","['124', '&nbsp;']","['569', '&nbsp;']","['17.9', '&nbsp;']","['82.2', '&nbsp;']"
12456,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['362', '&nbsp;']","['81', '&nbsp;']","['282', '&nbsp;']","['22.4', 'r']","['77.9', 'r']"
