table_id,row_id,time_period,_b_response_rate_b_level_1,_b_response_rate_b_level_2,_b_response_rate_b_hierarchy_depth,value
12500,r001_1,Question 1,Response rate,All agencies,2,100.0
12500,r001_2,Question 1,Response rate,DOD agencies,2,100.0
12500,r001_3,Question 1,Response rate,Non-DOD agencies,2,100.0
12500,r002_1,Question 2,Response rate,All agencies,2,100.0
12500,r002_2,Question 2,Response rate,DOD agencies,2,100.0
12500,r002_3,Question 2,Response rate,Non-DOD agencies,2,100.0
12500,r003_1,Question 3,Response rate,All agencies,2,96.6
12500,r003_2,Question 3,Response rate,DOD agencies,2,100.0
12500,r003_3,Question 3,Response rate,Non-DOD agencies,2,95.9
12500,r004_1,Question 4,Response rate,All agencies,2,77.9
12500,r004_2,Question 4,Response rate,DOD agencies,2,98.2
12500,r004_3,Question 4,Response rate,Non-DOD agencies,2,73.3
12500,r005_1,Question 5,Response rate,All agencies,2,100.0
12500,r005_2,Question 5,Response rate,DOD agencies,2,100.0
12500,r005_3,Question 5,Response rate,Non-DOD agencies,2,100.0
12500,r006_1,Question 6,Response rate,All agencies,2,95.0
12500,r006_2,Question 6,Response rate,DOD agencies,2,100.0
12500,r006_3,Question 6,Response rate,Non-DOD agencies,2,93.8
12500,r007_1,Question 7,Response rate,All agencies,2,63.8
12500,r007_2,Question 7,Response rate,DOD agencies,2,100.0
12500,r007_3,Question 7,Response rate,Non-DOD agencies,2,50.8
12500,r008_1,Question 8,Response rate,All agencies,2,63.3
12500,r008_2,Question 8,Response rate,DOD agencies,2,100.0
12500,r008_3,Question 8,Response rate,Non-DOD agencies,2,50.0
12500,r009_1,Question 9,Response rate,All agencies,2,65.2
12500,r009_2,Question 9,Response rate,DOD agencies,2,75.0
12500,r009_3,Question 9,Response rate,Non-DOD agencies,2,63.0
12500,r010_1,Question 10,Response rate,All agencies,2,56.2
12500,r010_2,Question 10,Response rate,DOD agencies,2,67.9
12500,r010_3,Question 10,Response rate,Non-DOD agencies,2,53.5
