table_id,row_id,academic_position_full_path,academic_position_level_1,academic_position_level_2,academic_position_hierarchy_depth,field_total,field_women,field_men
1252,r001,All academic positions                  ,All academic positions                  ,,1,319400,120650,198750
1252,r002,"All academic positions                   -> President, provost, chancellor",All academic positions                  ,"President, provost, chancellor",2,3850,1350,2500
1252,r003,"All academic positions                   -> Dean, department head, chair ",All academic positions                  ,"Dean, department head, chair ",2,33350,11750,21650
1252,r004,All academic positions                   -> Research faculty             ,All academic positions                  ,Research faculty             ,2,158650,56700,101950
1252,r005,All academic positions                   -> Teaching faculty             ,All academic positions                  ,Teaching faculty             ,2,192900,69800,123100
1252,r006,All academic positions                   -> Adjunct faculty              ,All academic positions                  ,Adjunct faculty              ,2,19800,8150,11650
1252,r007,All academic positions                   -> Postdoc                      ,All academic positions                  ,Postdoc                      ,2,19500,7900,11550
1252,r008,All academic positions                   -> Research assistant           ,All academic positions                  ,Research assistant           ,2,2100,700,1400
1252,r009,All academic positions                   -> Teaching assistant           ,All academic positions                  ,Teaching assistant           ,2,550,200,400
1252,r010,All academic positions                   -> Other                        ,All academic positions                  ,Other                        ,2,24000,12100,11900
