table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_higher_education_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_nonprofit_organizationsd,field_extramural_performersb_other_governmentse,field_extramural_performersb_all_otherf
12538,r001,United States<sup>g</sup>,United States<sup>g</sup>,,,1,3034601074,741613066,2292988008,1229894644,597851734,325965825,58291567,80984238
12538,r002,United States<sup>g</sup> -> Alabama,United States<sup>g</sup>,Alabama,,2,83778649,8885851,74892798,18357900,1215357,53329500,1990041,0
12538,r003,"United States<sup>g</sup> -> Alabama -> Commerce, Department of",United States<sup>g</sup>,Alabama,"Commerce, Department of",3,54419133,0,54419133,1000000,419133,53000000,0,0
12538,r004,"United States<sup>g</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>g</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2637830,0,2637830,2637830,0,0,0,0
12538,r005,"United States<sup>g</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>g</sup>,Alabama,"Economic and Community Affairs, Department of",3,3255511,0,3255511,2794814,460697,0,0,0
12538,r006,"United States<sup>g</sup> -> Alabama -> Education, Department of",United States<sup>g</sup>,Alabama,"Education, Department of",3,6883453,989326,5894127,5125000,335527,329500,104100,0
12538,r007,"United States<sup>g</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>g</sup>,Alabama,"Forensic Sciences, Department of",3,231757,231757,0,0,0,0,0,0
12538,r008,United States<sup>g</sup> -> Alabama -> Geological Survey,United States<sup>g</sup>,Alabama,Geological Survey,3,2971380,2971380,0,0,0,0,0,0
12538,r009,"United States<sup>g</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>g</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3913492,3913492,0,0,0,0,0,0
12538,r010,United States<sup>g</sup> -> Alabama -> Supercomputer Authority,United States<sup>g</sup>,Alabama,Supercomputer Authority,3,4204072,0,4204072,4204072,0,0,0,0
