table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_othera
12539,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,3034601074,147887810,373458008,591276952,1292800801,315134417,314043086
12539,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,83778649,584939,751370,53882774,10847247,5360260,12352059
12539,r003,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,54419133,0,0,44419133,10000000,0,0
12539,r004,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2637830,0,0,2637830,0,0,0
12539,r005,"United States<sup>b</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>b</sup>,Alabama,"Economic and Community Affairs, Department of",3,3255511,584939,455956,236353,847247,98239,1032777
12539,r006,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,6883453,0,0,0,0,0,6883453
12539,r007,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,231757,0,0,0,0,0,231757
12539,r008,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,2971380,0,295414,2675966,0,0,0
12539,r009,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3913492,0,0,3913492,0,0,0
12539,r010,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,4204072,0,0,0,0,0,4204072
12539,r011,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,5262021,0,0,0,0,5262021,0
12539,r012,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,19451112,74015,742896,12740515,268294,5625392,0
12539,r013,United States<sup>b</sup> -> Alaska -> Energy Authority,United States<sup>b</sup>,Alaska,Energy Authority,3,242896,0,242896,0,0,0,0
12539,r014,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,192715,0,0,0,192715,0,0
12539,r015,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0,0,0,0
12539,r016,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,12212300,0,0,12212300,0,0,0
