table_id,row_id,sex_citizenship_ethnicity_and_race_full_path,sex_citizenship_ethnicity_and_race_level_1,sex_citizenship_ethnicity_and_race_level_2,sex_citizenship_ethnicity_and_race_level_3,sex_citizenship_ethnicity_and_race_level_4,sex_citizenship_ethnicity_and_race_hierarchy_depth,field_total,field_university_administered,field_nonprofit_administered,field_industry_administered
1258,r001,All postdocs,All postdocs,,,,1,2975,1296,788,891
1258,r002,All postdocs -> Male,All postdocs,Male,,,2,2259,985,607,667
1258,r003,All postdocs -> Female,All postdocs,Female,,,2,716,311,181,224
1258,r004,All postdocs -> U.S. citizens and permanent residents<sup>a</sup>,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,,,2,1341,458,322,561
1258,r005,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,67,21,11,35
1258,r006,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,1217,399,306,512
1258,r007,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,4,1,3,0
1258,r008,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,170,61,48,61
1258,r009,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,27,9,8,10
1258,r010,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0,0,0,0
1258,r011,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,991,314,244,433
1258,r012,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,25,14,3,8
1258,r013,All postdocs -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity or race,All postdocs,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity or race,,3,57,38,5,14
1258,r014,All postdocs -> Temporary visa holders,All postdocs,Temporary visa holders,,,2,1634,838,466,330
