table_id,row_id,_b_survey_population_and_source_of_funds_b_full_path,_b_survey_population_and_source_of_funds_b_level_1,_b_survey_population_and_source_of_funds_b_level_2,_b_survey_population_and_source_of_funds_b_level_3,_b_survey_population_and_source_of_funds_b_level_4,_b_survey_population_and_source_of_funds_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
12632,r001,Standard form institutions,Standard form institutions,,,,1,,,
12632,r002,Standard form institutions -> All sources,Standard form institutions,All sources,,,2,108681008,87627,0.1
12632,r003,Standard form institutions -> All sources -> Federal government,Standard form institutions,All sources,Federal government,,3,59603993,47204,0.1
12632,r004,Standard form institutions -> All sources -> State and local government,Standard form institutions,All sources,State and local government,,3,5437566,8358,0.2
12632,r005,Standard form institutions -> All sources -> Institution funds,Standard form institutions,All sources,Institution funds,,3,27654829,20894,0.1
12632,r006,Standard form institutions -> All sources -> Institution funds -> Institutionally financed research,Standard form institutions,All sources,Institution funds,Institutionally financed research,4,19166198,16878,0.1
12632,r007,Standard form institutions -> All sources -> Institution funds -> Cost sharing,Standard form institutions,All sources,Institution funds,Cost sharing,4,1717986,637,0.0
12632,r008,Standard form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Standard form institutions,All sources,Institution funds,Unrecovered indirect costs,4,6770645,3379,0.0
12632,r009,Standard form institutions -> All sources -> Business,Standard form institutions,All sources,Business,,3,6221128,2460,0.0
12632,r010,Standard form institutions -> All sources -> Nonprofit organizations,Standard form institutions,All sources,Nonprofit organizations,,3,6671012,3672,0.1
12632,r011,Standard form institutions -> All sources -> All other sources,Standard form institutions,All sources,All other sources,,3,3092480,3664,0.1
12632,r012,Short form institutions,Short form institutions,,,,1,,,
12632,r013,Short form institutions -> All sources,Short form institutions,All sources,,,2,160140,13663,8.5
12632,r014,Short form institutions -> All sources -> Federal government,Short form institutions,All sources,Federal government,,3,74942,5936,7.9
12632,r015,Short form institutions -> All sources -> State and local government,Short form institutions,All sources,State and local government,,3,9842,1252,12.7
12632,r016,Short form institutions -> All sources -> Institution funds,Short form institutions,All sources,Institution funds,,3,47583,4440,9.3
12632,r017,Short form institutions -> All sources -> Institution funds -> Institutionally financed research,Short form institutions,All sources,Institution funds,Institutionally financed research,4,40833,4245,10.4
12632,r018,Short form institutions -> All sources -> Institution funds -> Cost sharing,Short form institutions,All sources,Institution funds,Cost sharing,4,2651,51,1.9
12632,r019,Short form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Short form institutions,All sources,Institution funds,Unrecovered indirect costs,4,4099,144,3.5
12632,r020,Short form institutions -> All sources -> Business,Short form institutions,All sources,Business,,3,9243,336,3.6
12632,r021,Short form institutions -> All sources -> Nonprofit organizations,Short form institutions,All sources,Nonprofit organizations,,3,13760,1095,8.0
12632,r022,Short form institutions -> All sources -> All other sources,Short form institutions,All sources,All other sources,,3,4770,604,12.7
