table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
12641,r001,All R&D fields,All R&D fields,,,1,160140,13663,8.5,74942,5936,7.9
12641,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,2,120124,10424,8.7,66512,5447,8.2
12641,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,3,7678,707,9.2,5714,516,9.0
12641,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",3,7845,182,2.3,4984,112,2.2
12641,r005,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,3,52503,4644,8.8,27580,2414,8.8
12641,r006,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,3,3857,420,10.9,2650,111,4.2
12641,r007,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,3,20268,891,4.4,13283,440,3.3
12641,r008,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,3,3955,738,18.7,1730,362,20.9
12641,r009,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,3,13745,2122,15.4,5042,1096,21.7
12641,r010,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,3,4572,170,3.7,1877,46,2.5
12641,r011,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,3,6740,550,8.2,3652,350,9.6
12641,r012,All R&D fields -> All non-science and engineering,All R&D fields,All non-science and engineering,,2,38977,3432,8.8,8430,682,8.1
