table_id,row_id,_b_survey_population_and_type_of_institution_b_full_path,_b_survey_population_and_type_of_institution_b_level_1,_b_survey_population_and_type_of_institution_b_level_2,_b_survey_population_and_type_of_institution_b_level_3,_b_survey_population_and_type_of_institution_b_hierarchy_depth,field_number_in_survey_universe,field_complete_responses,field_partial_responses,field_total_responses,field_response_rate_
12651,r001,All respondents,All respondents,,,1,914,536,338,874,95.6
12651,r002,All respondents -> Standard form institutions,All respondents,Standard form institutions,,2,664,316,329,645,97.1
12651,r003,All respondents -> Standard form institutions -> Doctorate,All respondents,Standard form institutions,Doctorate,3,483,220,258,478,99.0
12651,r004,All respondents -> Standard form institutions -> Professional,All respondents,Standard form institutions,Professional,3,35,17,13,30,85.7
12651,r005,All respondents -> Standard form institutions -> Master's,All respondents,Standard form institutions,Master's,3,101,54,40,94,93.1
12651,r006,All respondents -> Standard form institutions -> Bachelor's,All respondents,Standard form institutions,Bachelor's,3,45,25,18,43,95.6
12651,r007,All respondents -> Standard form institutions -> Public,All respondents,Standard form institutions,Public,3,420,194,217,411,97.9
12651,r008,All respondents -> Standard form institutions -> Private,All respondents,Standard form institutions,Private,3,244,122,112,234,95.9
12651,r009,All respondents -> Short form institutions,All respondents,Short form institutions,,2,250,220,9,229,91.6
12651,r010,All respondents -> Short form institutions -> Doctorate,All respondents,Short form institutions,Doctorate,3,83,72,3,75,90.4
12651,r011,All respondents -> Short form institutions -> Professional,All respondents,Short form institutions,Professional,3,46,41,3,44,95.7
12651,r012,All respondents -> Short form institutions -> Master's,All respondents,Short form institutions,Master's,3,87,77,3,80,92.0
12651,r013,All respondents -> Short form institutions -> Bachelor's,All respondents,Short form institutions,Bachelor's,3,34,30,0,30,88.2
12651,r014,All respondents -> Short form institutions -> Public,All respondents,Short form institutions,Public,3,105,97,4,101,96.2
12651,r015,All respondents -> Short form institutions -> Private,All respondents,Short form institutions,Private,3,145,123,5,128,88.3
