table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12675,r001,All institutions,All institutions,,1,-,"['27,654,829', '']","['746,035', '']","['744,177', '']","['14,981,678', '']","['293,464', '']","['1,520,045', '']","['462,658', '']","['1,444,371', '']","['518,241', '']","['3,329,879', '']","['3,614,281', '']"
12675,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['679,205', '']","['7,997', '']","['8,446', '']","['350,016', '']","['13,066', '']","['22,861', '']","['11,998', '']","['91,082', '']","['2,588', '']","['74,674', '']","['96,477', '']"
12675,r003,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,2,"['642,815', '']","['6,250', '']","['1,337', '']","['407,267', '']","['2,869', '']","['18,026', '']","['4,366', '']","['36,905', '']","['8,336', '']","['47,236', '']","['110,223', '']"
12675,r004,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,3,"['542,782', '']","['5,745', '']","['21,696', '']","['353,636', '']","['1,616', '']","['21,929', '']","['3,377', '']","['23,906', '']","['11,051', '']","['43,586', '']","['56,240', '']"
12675,r005,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,4,"['505,006', '']","['0', '']","['0', '']","['495,638', '']","['0', '']","['9,368', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12675,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['488,906', '']","['15,354', '']","['6,382', '']","['209,445', '']","['2,113', '']","['39,847', '']","['4,262', '']","['70,409', '']","['11,874', '']","['38,890', '']","['90,330', '']"
12675,r007,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,6,"['424,124', '']","['6,180', '']","['2,931', '']","['309,936', '']","['1,639', '']","['7,996', '']","['1,382', '']","['9,363', '']","['11,921', '']","['46,346', '']","['26,430', '']"
12675,r008,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,7,"['407,817', '']","['3,087', '']","['7,568', '']","['317,122', '']","['1,191', '']","['12,538', '']","['16,590', '']","['16,429', '']","['139', '']","['10,252', '']","['22,901', '']"
12675,r009,All institutions -> Yale U.,All institutions,Yale U.,2,8,"['404,706', '']","['3,261', '']","['4,267', '']","['341,160', '']","['1,409', '']","['21,243', '']","['3,390', '']","['11,748', '']","['829', '']","['12,511', '']","['4,888', '']"
12675,r010,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,9,"['401,833', '']","['29,757', '']","['7,702', '']","['237,290', '']","['1,545', '']","['29,966', '']","['1,089', '']","['17,906', '']","['357', '']","['44,248', '']","['31,973', '']"
12675,r011,All institutions -> U. Florida,All institutions,U. Florida,2,10,"['389,065', '']","['6,885', '']","['3,554', '']","['309,763', '']","['542', '']","['9,729', '']","['2,153', '']","['4,677', '']","['4,529', '']","['29,724', '']","['17,509', '']"
12675,r012,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,11,"['386,198', '']","['13,437', '']","['2,858', '']","['269,213', '']","['1,635', '']","['10,431', '']","['7,238', '']","['10,917', '']","['2,930', '']","['34,129', '']","['33,410', '']"
12675,r013,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,12,"['357,729', '']","['6,416', '']","['2,067', '']","['215,304', '']","['1,600', '']","['12,531', '']","['7,115', '']","['22,215', '']","['0', '']","['24,162', '']","['66,319', '']"
12675,r014,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,13,"['354,575', '']","['2,101', '']","['4,851', '']","['234,100', '']","['1,217', '']","['9,413', '']","['2,594', '']","['39,265', '']","['16,640', '']","['17,085', '']","['27,309', '']"
12675,r015,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,14,"['353,916', '']","['5,647', '']","['15,137', '']","['146,145', '']","['2,168', '']","['18,778', '']","['3,149', '']","['8,250', '']","['5,460', '']","['129,149', '']","['20,033', '']"
12675,r016,All institutions -> New York U.,All institutions,New York U.,2,15,"['327,502', '']","['1,540', '']","['76', '']","['248,299', '']","['2,136', '']","['2,144', '']","['1,601', '']","['10,248', '']","['0', '']","['10,113', '']","['51,345', '']"
12675,r017,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,16,"['315,634', '']","['3,487', '']","['2,702', '']","['261,652', '']","['1,112', '']","['11,182', '']","['2,712', '']","['1,852', '']","['5,805', '']","['21,621', '']","['3,509', '']"
12675,r018,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,17,"['310,531', '']","['5,360', '']","['12,065', '']","['54,770', '']","['902', '']","['20,020', '']","['5,236', '']","['44,066', '']","['9,147', '']","['87,720', '']","['71,245', '']"
