table_id,row_id,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_race_and_ethnicity_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_tenured,field_not_tenured_on_tenure_track,field_not_tenured_not_on_tenure_track,field_tenure_not_applicable
1270,r001,All occupations,All occupations,,,,,,1,319400,142350,48950,45700,82350
1270,r002,All occupations -> Female,All occupations,Female,,,,,2,120650,44450,19650,20500,36050
1270,r003,All occupations -> Female -> White,All occupations,Female,White,,,,3,84950,34000,13050,14700,23200
1270,r004,All occupations -> Female -> Asian,All occupations,Female,Asian,,,,3,20850,5450,3650,3450,8300
1270,r005,All occupations -> Female -> Black or African American,All occupations,Female,Black or African American,,,,3,6000,2400,1100,850,1650
1270,r006,All occupations -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,Female,Hispanic or Latino<sup>a</sup>,,,,3,6450,2000,1300,1050,2150
1270,r007,All occupations -> Female -> American Indian or Alaska Native,All occupations,Female,American Indian or Alaska Native,,,,3,250,100,50,50,50
1270,r008,All occupations -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,Female,Native Hawaiian or Other Pacific Islander,,,,3,150,50,0.05,0.05,50
1270,r009,All occupations -> Female -> More than one race<sup>b</sup>,All occupations,Female,More than one race<sup>b</sup>,,,,3,1950,500,450,400,600
1270,r010,All occupations -> Male,All occupations,Male,,,,,2,198750,97900,29350,25200,46300
1270,r011,All occupations -> Male -> White,All occupations,Male,White,,,,3,140850,73650,18600,18300,30300
1270,r012,All occupations -> Male -> Asian,All occupations,Male,Asian,,,,3,39300,15550,7600,4400,11750
1270,r013,All occupations -> Male -> Black or African American,All occupations,Male,Black or African American,,,,3,6550,3250,1000,900,1450
1270,r014,All occupations -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,Male,Hispanic or Latino<sup>a</sup>,,,,3,9000,4050,1700,1150,2100
1270,r015,All occupations -> Male -> American Indian or Alaska Native,All occupations,Male,American Indian or Alaska Native,,,,3,350,200,,S,100
1270,r016,All occupations -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,Male,Native Hawaiian or Other Pacific Islander,,,,3,200,50,,50,S
1270,r017,All occupations -> Male -> More than one race<sup>b</sup>,All occupations,Male,More than one race<sup>b</sup>,,,,3,2500,1150,400,350,550
1270,r018,All occupations -> S&E occupations<sup>c</sup>,All occupations,S&E occupations<sup>c</sup>,,,,,2,245250,112000,40300,32300,60650
1270,r019,All occupations -> S&E occupations<sup>c</sup> -> Female,All occupations,S&E occupations<sup>c</sup>,Female,,,,3,84750,31550,14850,13650,24700
1270,r020,All occupations -> S&E occupations<sup>c</sup> -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Female,White,,,4,58250,23900,10150,9350,14800
1270,r021,All occupations -> S&E occupations<sup>c</sup> -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Female,Asian,,,4,16050,4050,2650,2700,6650
1270,r022,All occupations -> S&E occupations<sup>c</sup> -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Female,Black or African American,,,4,3800,1600,700,500,1000
1270,r023,All occupations -> S&E occupations<sup>c</sup> -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Female,Hispanic or Latino<sup>a</sup>,,,4,4850,1500,950,750,1650
1270,r024,All occupations -> S&E occupations<sup>c</sup> -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Female,American Indian or Alaska Native,,,4,200,50,50,0.05,50
1270,r025,All occupations -> S&E occupations<sup>c</sup> -> Female -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Female,Native Hawaiian or Other Pacific Islander,,,4,100,,0.05,,
1270,r026,All occupations -> S&E occupations<sup>c</sup> -> Female -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Female,More than one race<sup>b</sup>,,,4,1550,400,350,300,500
1270,r027,All occupations -> S&E occupations<sup>c</sup> -> Male,All occupations,S&E occupations<sup>c</sup>,Male,,,,3,160500,80450,25450,18650,35950
1270,r028,All occupations -> S&E occupations<sup>c</sup> -> Male -> White,All occupations,S&E occupations<sup>c</sup>,Male,White,,,4,113050,60500,16150,13400,23050
1270,r029,All occupations -> S&E occupations<sup>c</sup> -> Male -> Asian,All occupations,S&E occupations<sup>c</sup>,Male,Asian,,,4,33200,13150,6850,3250,9950
1270,r030,All occupations -> S&E occupations<sup>c</sup> -> Male -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Male,Black or African American,,,4,4850,2450,800,700,900
1270,r031,All occupations -> S&E occupations<sup>c</sup> -> Male -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Male,Hispanic or Latino<sup>a</sup>,,,4,7150,3250,1400,1000,1500
1270,r032,All occupations -> S&E occupations<sup>c</sup> -> Male -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Male,American Indian or Alaska Native,,,4,200,150,,,S
1270,r033,All occupations -> S&E occupations<sup>c</sup> -> Male -> Native Hawaiian or Other Pacific Islander,All occupations,S&E occupations<sup>c</sup>,Male,Native Hawaiian or Other Pacific Islander,,,4,150,50,,,
1270,r034,All occupations -> S&E occupations<sup>c</sup> -> Male -> More than one race<sup>b</sup>,All occupations,S&E occupations<sup>c</sup>,Male,More than one race<sup>b</sup>,,,4,1900,900,300,250,450
1270,r035,All occupations -> S&E occupations<sup>c</sup> -> Scientist,All occupations,S&E occupations<sup>c</sup>,Scientist,,,,3,214200,95650,34350,29450,54750
1270,r036,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,,,4,79350,29200,13650,13050,23500
1270,r037,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> White,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,White,,5,55000,22400,9450,8950,14150
1270,r038,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Asian,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Asian,,5,14450,3400,2300,2550,6200
1270,r039,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Black or African American,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Black or African American,,5,3600,1500,650,450,1000
1270,r040,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> Hispanic or Latino<sup>a</sup>,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,Hispanic or Latino<sup>a</sup>,,5,4600,1400,900,700,1600
1270,r041,All occupations -> S&E occupations<sup>c</sup> -> Scientist -> Female -> American Indian or Alaska Native,All occupations,S&E occupations<sup>c</sup>,Scientist,Female,American Indian or Alaska Native,,5,200,50,50,0.05,50
