table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
12701,r001,All institutions,All institutions,,1,-,"['1,364,798', '']","['1,329,531', '']","['1,446,429', '']","['1,637,829', '']","['808,930', '']","['812,460', '']","['876,792', '']","['978,784', '']"
12701,r002,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,1,"['41,741', '']","['43,348', '']","['49,297', '']","['56,582', '']","['23,840', '']","['24,136', '']","['25,474', '']","['27,799', '']"
12701,r003,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,2,"['7,672', '']","['17,880', '']","['19,412', '']","['47,901', '']","['5,704', '']","['13,369', '']","['14,109', '']","['39,377', '']"
12701,r004,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,3,"['40,599', '']","['29,685', '']","['30,225', '']","['41,284', '']","['26,894', '']","['26,302', '']","['25,948', '']","['28,731', '']"
12701,r005,All institutions -> Florida International U.,All institutions,Florida International U.,2,4,"['34,642', '']","['34,345', '']","['37,185', '']","['41,054', '']","['18,163', '']","['17,520', '']","['19,381', '']","['22,453', '']"
12701,r006,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,5,"['31,954', '']","['29,408', '']","['29,392', '']","['33,730', '']","['24,430', '']","['20,743', '']","['20,176', '']","['23,854', '']"
12701,r007,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,6,"['21,553', '']","['22,130', '']","['26,385', '']","['30,889', '']","['13,270', '']","['13,692', '']","['15,765', '']","['19,530', '']"
12701,r008,All institutions -> U. Georgia,All institutions,U. Georgia,2,7,"['25,773', '']","['27,865', '']","['30,933', '']","['30,072', '']","['15,401', '']","['17,784', '']","['20,630', '']","['19,318', '']"
12701,r009,All institutions -> New York U.,All institutions,New York U.,2,8,"['28,468', '']","['27,209', '']","['30,932', '']","['26,613', '']","['22,886', '']","['22,255', '']","['23,286', '']","['21,388', '']"
12701,r010,All institutions -> Boston U.,All institutions,Boston U.,2,9,"['20,413', '']","['22,092', '']","['24,237', '']","['26,387', '']","['12,411', '']","['13,117', '']","['14,406', '']","['14,547', '']"
12701,r011,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,10,"['20,413', '']","['18,255', '']","['20,806', '']","['23,483', '']","['6,479', '']","['6,813', '']","['7,831', '']","['9,184', '']"
12701,r012,All institutions -> San Diego State U.,All institutions,San Diego State U.,2,11,"['20,222', '']","['18,729', '']","['19,549', '']","['23,094', '']","['13,516', '']","['12,013', '']","['13,806', '']","['16,043', '']"
12701,r013,All institutions -> U. Oregon,All institutions,U. Oregon,2,12,"['17,505', '']","['19,455', '']","['21,629', '']","['22,362', '']","['15,759', '']","['16,939', '']","['19,021', '']","['19,850', '']"
12701,r014,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,13,"['19,087', '']","['17,464', '']","['17,022', '']","['20,440', '']","['13,035', '']","['10,897', '']","['10,908', '']","['13,995', '']"
12701,r015,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,14,"['19,329', '']","['16,892', '']","['16,945', '']","['20,253', '']","['9,515', '']","['9,164', '']","['9,775', '']","['8,162', '']"
12701,r016,All institutions -> U. Houston,All institutions,U. Houston,2,15,"['13,999', '']","['13,601', '']","['17,383', '']","['19,682', '']","['9,765', '']","['9,784', '']","['9,962', '']","['12,202', '']"
12701,r017,All institutions -> Florida State U.,All institutions,Florida State U.,2,16,"['17,715', '']","['16,829', '']","['17,992', '']","['19,078', '']","['9,763', '']","['8,887', '']","['9,390', '']","['9,248', '']"
12701,r018,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,17,"['16,860', '']","['17,939', '']","['19,296', '']","['18,290', '']","['3,013', '']","['2,854', '']","['5,279', '']","['4,918', '']"
12701,r019,All institutions -> U. Miami,All institutions,U. Miami,2,18,"['13,896', '']","['14,808', '']","['16,155', '']","['18,271', '']","['10,048', '']","['10,170', '']","['12,402', '']","['14,258', '']"
12701,r020,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,19,"['15,682', '']","['15,687', '']","['15,372', '']","['17,439', '']","['7,496', '']","['7,238', '']","['7,731', '']","['9,667', '']"
12701,r021,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,20,"['15,854', '']","['15,250', '']","['16,035', '']","['17,413', '']","['9,563', '']","['9,265', '']","['8,545', '']","['8,656', '']"
12701,r022,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,21,"['17,645', '']","['14,623', '']","['15,720', '']","['17,382', '']","['9,253', '']","['7,599', '']","['7,441', '']","['8,950', '']"
12701,r023,"All institutions -> U. Nebraska, Lincoln and Medical Center<sup>a</sup>",All institutions,"U. Nebraska, Lincoln and Medical Center<sup>a</sup>",2,22,"['na', '']","['na', '']","['na', '']","['17,233', '']","['na', '']","['na', '']","['na', '']","['10,234', '']"
12701,r024,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,23,"['13,021', '']","['13,211', '']","['13,583', '']","['16,940', '']","['6,822', '']","['6,621', '']","['8,050', '']","['10,082', '']"
12701,r025,All institutions -> San Jose State U.,All institutions,San Jose State U.,2,24,"['19,670', '']","['18,930', '']","['17,046', '']","['16,798', '']","['19,256', '']","['18,043', '']","['16,209', '']","['15,762', '']"
12701,r026,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,25,"['10,435', '']","['10,293', '']","['11,067', '']","['16,683', '']","['7,422', '']","['8,001', '']","['8,511', '']","['11,970', '']"
12701,r027,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,26,"['11,982', '']","['13,610', '']","['13,945', '']","['16,643', '']","['10,667', '']","['11,879', '']","['12,052', '']","['12,204', '']"
12701,r028,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,27,"['17,680', '']","['16,966', '']","['16,203', '']","['16,409', '']","['14,586', '']","['14,484', '']","['13,101', '']","['13,588', '']"
12701,r029,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,28,"['8,256', '']","['6,145', '']","['10,418', '']","['15,490', '']","['3,961', '']","['3,028', '']","['5,562', '']","['8,532', '']"
12701,r030,All institutions -> U. Florida,All institutions,U. Florida,2,29,"['10,922', '']","['12,597', '']","['14,968', '']","['15,487', '']","['7,199', '']","['9,487', '']","['11,349', '']","['11,545', '']"
12701,r031,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,30,"['13,239', '']","['11,670', '']","['15,457', '']","['15,408', '']","['9,013', '']","['9,477', '']","['9,764', '']","['10,158', '']"
12701,r032,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,31,"['16,086', '']","['15,063', '']","['13,192', '']","['15,234', '']","['10,020', '']","['9,182', '']","['7,597', '']","['7,736', '']"
12701,r033,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,32,"['11,448', '']","['10,898', '']","['11,147', '']","['14,662', '']","['2,909', '']","['3,507', '']","['5,864', '']","['7,151', '']"
12701,r034,All institutions -> Stanford U.,All institutions,Stanford U.,2,33,"['18,866', '']","['16,587', '']","['15,648', '']","['14,151', '']","['10,782', '']","['10,678', '']","['10,450', '']","['10,153', '']"
12701,r035,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,34,"['16,399', '']","['13,042', '']","['13,643', '']","['14,085', '']","['8,921', '']","['7,758', '']","['8,633', '']","['8,883', '']"
12701,r036,"All institutions -> U. South Carolina, Columbia",All institutions,"U. South Carolina, Columbia",2,35,"['11,498', '']","['8,759', '']","['9,997', '']","['13,699', '']","['5,018', '']","['4,653', '']","['5,495', '']","['6,419', '']"
12701,r037,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,36,"['20,113', '']","['18,645', '']","['19,075', '']","['13,623', '']","['13,624', '']","['13,008', '']","['14,355', '']","['11,000', '']"
12701,r038,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,37,"['12,090', '']","['10,944', '']","['10,208', '']","['13,198', '']","['7,467', '']","['6,299', '']","['4,589', '']","['5,201', '']"
12701,r039,All institutions -> Georgia State U.,All institutions,Georgia State U.,2,38,"['8,952', '']","['9,692', '']","['10,364', '']","['12,584', '']","['4,236', '']","['3,131', '']","['3,678', '']","['4,347', '']"
12701,r040,All institutions -> Cornell U.,All institutions,Cornell U.,2,39,"['11,516', '']","['11,273', '']","['11,971', '']","['12,439', '']","['4,826', '']","['4,359', '']","['4,406', '']","['4,302', '']"
12701,r041,All institutions -> U. Delaware,All institutions,U. Delaware,2,40,"['7,485', '']","['7,990', '']","['12,949', '']","['12,376', '']","['5,755', '']","['6,801', '']","['7,107', '']","['6,540', '']"
12701,r042,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,41,"['10,743', '']","['10,533', '']","['10,801', '']","['12,123', '']","['9,648', '']","['8,904', '']","['9,017', '']","['8,509', '']"
12701,r043,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,42,"['8,863', '']","['9,695', '']","['10,494', '']","['12,014', '']","['6,922', '']","['7,113', '']","['7,642', '']","['7,387', '']"
12701,r044,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,43,"['1,667', '']","['4,278', '']","['8,721', '']","['11,756', '']","['1,068', '']","['2,875', '']","['7,994', '']","['9,094', '']"
12701,r045,"All institutions -> U. Alabama, Birmingham",All institutions,"U. Alabama, Birmingham",2,44,"['5,164', '']","['5,695', '']","['9,755', '']","['11,715', '']","['4,434', '']","['4,971', '']","['5,924', '']","['7,961', '']"
12701,r046,All institutions -> U. Kansas,All institutions,U. Kansas,2,45,"['16,106', '']","['11,469', '']","['11,416', '']","['11,333', '']","['5,579', '']","['8,056', '']","['8,105', '']","['6,847', '']"
12701,r047,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,46,"['8,802', '']","['11,269', '']","['10,431', '']","['11,239', '']","['7,112', '']","['9,989', '']","['8,261', '']","['8,970', '']"
12701,r048,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,47,"['9,288', '']","['8,600', '']","['9,885', '']","['11,142', '']","['7,725', '']","['7,813', '']","['8,513', '']","['9,515', '']"
12701,r049,All institutions -> Temple U.,All institutions,Temple U.,2,48,"['11,418', '']","['11,427', '']","['13,248', '']","['11,114', '']","['6,930', '']","['7,574', '']","['9,394', '']","['8,617', '']"
12701,r050,All institutions -> Yale U.,All institutions,Yale U.,2,49,"['9,684', '']","['10,453', '']","['11,550', '']","['11,027', '']","['5,983', '']","['6,256', '']","['6,698', '']","['6,752', '']"
12701,r051,"All institutions -> SUNY, Binghamton U.",All institutions,"SUNY, Binghamton U.",2,50,"['12,263', '']","['10,640', '']","['11,896', '']","['10,713', '']","['3,526', '']","['4,331', '']","['4,687', '']","['5,027', '']"
12701,r052,All institutions -> Brown U.,All institutions,Brown U.,2,51,"['7,889', '']","['8,598', '']","['8,605', '']","['10,682', '']","['7,262', '']","['7,644', '']","['7,525', '']","['9,599', '']"
12701,r053,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,52,"['5,248', '']","['6,546', '']","['7,635', '']","['10,488', '']","['2,550', '']","['3,233', '']","['3,973', '']","['6,087', '']"
12701,r054,All institutions -> U. Iowa,All institutions,U. Iowa,2,53,"['8,817', '']","['10,981', '']","['10,399', '']","['10,435', '']","['7,028', '']","['8,543', '']","['7,899', '']","['7,031', '']"
12701,r055,All institutions -> U. Arizona,All institutions,U. Arizona,2,54,"['2,900', '']","['4,255', '']","['6,573', '']","['10,219', '']","['1,971', '']","['2,381', '']","['4,893', '']","['8,221', '']"
12701,r056,All institutions -> Duke U.,All institutions,Duke U.,2,55,"['8,953', '']","['6,923', '']","['7,467', '']","['10,189', '']","['6,104', '']","['4,657', '']","['4,671', '']","['7,025', '']"
12701,r057,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,56,"['11,507', '']","['10,631', '']","['10,640', '']","['10,187', '']","['9,841', '']","['8,940', '']","['8,479', '']","['8,376', '']"
12701,r058,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,57,"['7,836', '']","['8,004', '']","['8,227', '']","['9,888', '']","['5,429', '']","['5,747', '']","['5,574', '']","['6,191', '']"
12701,r059,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,58,"['10,357', '']","['9,231', '']","['9,368', '']","['9,837', '']","['7,142', '']","['5,719', '']","['6,028', '']","['5,768', '']"
12701,r060,All institutions -> U. Chicago,All institutions,U. Chicago,2,59,"['8,006', '']","['6,041', '']","['7,883', '']","['9,445', '']","['5,959', '']","['4,837', '']","['5,801', '']","['7,849', '']"
12701,r061,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,60,"['6,052', '']","['6,121', '']","['7,209', '']","['8,442', '']","['4,887', '']","['4,997', '']","['6,177', '']","['7,120', '']"
12701,r062,All institutions -> Johns Hopkins U.<sup>c</sup>,All institutions,Johns Hopkins U.<sup>c</sup>,2,61,"['5,918', 'i']","['6,201', 'i']","['7,744', 'i']","['8,378', 'i']","['5,066', '']","['5,471', '']","['7,073', '']","['7,573', '']"
12701,r063,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,62,"['10,670', '']","['8,762', '']","['8,234', '']","['8,343', '']","['882', '']","['1,232', '']","['1,267', '']","['914', '']"
